"구별","1월","2월","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
"",9,21,29,4,9,20,7,24,10,13,18,16
"",1,1,0,5,4,0,2,2,2,3,0,3
"",0,5,0,0,0,4,0,7,2,0,0,5
"",40,38,31,43,24,27,28,24,19,23,12,38
"",19,21,15,20,11,17,24,23,22,25,16,20
"",7,14,4,11,3,2,14,19,11,1,9,9
"",20,35,46,55,22,46,32,28,45,49,49,54
"",1,2,1,3,0,4,8,1,7,2,2,0
"",6,4,1,5,0,7,1,0,5,1,2,1
"",40,51,65,29,36,18,25,40,53,43,21,25
"",6,1,5,4,1,1,5,1,2,3,4,0
"",0,5,2,3,15,3,1,18,8,1,1,7
"",8,1,5,10,4,8,18,12,2,3,8,0
"",1,2,0,2,2,3,2,1,0,2,0,0
"",7,6,0,1,6,0,3,6,2,1,1,3
"",50,26,29,59,51,50,36,46,33,53,37,46
"",37,29,16,108,59,37,57,53,52,29,45,53
서초구,13,7,12,18,14,16,32,14,24,17,27,30
"",120,105,239,195,138,133,162,171,145,144,138,145
"",81,89,111,70,85,100,96,153,96,100,63,85
"",156,137,172,157,134,141,145,143,135,133,195,160
"",4,12,11,10,8,23,10,21,1,15,13,8
"",74,64,52,82,62,83,72,50,85,36,85,54
"",4,0,2,11,1,7,6,3,1,2,0,1
"",20,22,26,18,24,17,27,35,34,15,23,26
"",25,27,30,19,5,9,12,22,30,21,17,37
"",37,43,51,50,73,52,81,48,70,54,37,45
성동구,21,8,11,4,4,13,7,6,5,5,0,3
"",5,7,12,5,7,8,15,2,5,8,5,2
"",9,14,3,4,11,12,9,7,4,3,13,0
"",21,20,12,11,8,11,19,16,8,10,3,12
"",18,14,3,5,8,5,7,5,7,6,9,2
"",8,20,13,18,13,6,28,24,29,7,15,20
"",6,19,9,5,5,5,6,2,8,6,4,6
"",4,4,2,3,3,8,8,2,0,0,2,0
"",62,31,36,56,57,39,35,38,41,34,36,54
"",44,49,46,34,60,36,52,39,59,51,72,32
"",10,8,11,6,10,9,10,13,18,10,11,7
"",38,24,23,30,18,29,52,29,52,25,12,27
"",15,31,24,24,37,25,19,29,19,29,23,17
"",11,4,13,3,6,6,4,3,4,7,2,10
"",22,12,12,12,8,10,22,10,11,25,11,16
"",38,31,24,29,33,39,38,31,27,28,32,27
"",5,5,7,4,6,3,3,1,3,2,2,5
성북구,25,25,34,13,23,15,34,23,26,20,23,10
"",16,27,18,7,17,23,15,38,19,13,23,27
"",4,8,9,5,1,7,8,7,23,11,3,5
"",7,2,0,0,2,1,2,1,1,1,1,7
"",1,2,0,0,2,1,9,4,8,2,2,7
"",3,3,5,0,6,2,1,3,4,2,0,6
"",1,4,0,2,1,1,0,2,0,3,10,2
"",0,1,5,0,0,4,1,0,0,1,8,10
"",0,0,2,0,0,1,1,0,0,0,0,1
"",1,3,1,1,1,3,2,6,1,1,0,0
"",0,2,0,3,0,1,1,1,0,13,1,0
"",10,4,11,1,0,8,3,7,1,1,0,1
"",2,2,5,8,6,1,2,3,0,6,5,0
"",0,0,0,0,5,4,1,0,4,2,1,0
"",0,0,0,1,1,5,0,2,0,0,1,0
"",5,0,0,5,0,0,1,3,0,0,21,0
"",1,1,0,0,3,3,0,0,1,0,0,0
"",2,0,0,1,2,5,0,0,0,5,3,1
"",0,3,5,0,2,5,0,0,2,0,1,0
"",2,0,1,1,0,2,6,1,1,0,3,3
"",4,4,1,8,2,2,9,0,0,6,0,3
"",2,3,8,7,1,4,6,2,5,10,1,4
"",1,2,6,0,3,0,12,4,8,1,0,5
"",1,3,1,1,2,0,2,1,0,0,1,8
"",1,2,5,7,3,0,2,0,4,3,5,3
"",6,6,7,17,0,4,8,0,2,5,7,2
"",12,4,11,0,11,5,11,4,6,6,3,2
"",25,33,39,29,28,25,37,31,22,25,24,28
"",3,17,7,16,6,9,18,8,21,15,20,15
"",3,0,2,0,1,1,2,3,0,5,2,1
"",4,1,0,0,1,0,2,4,2,9,1,4
"",0,1,0,0,1,2,2,0,1,1,6,3
"",1,0,6,1,7,0,0,0,0,0,2,2
"",0,0,1,0,1,0,1,1,2,0,1,0
"",2,13,22,2,10,2,2,9,13,3,5,17
"",37,29,47,21,30,25,26,29,41,38,47,33
"",90,50,102,73,101,56,94,77,68,68,78,95
"",42,25,23,31,23,35,39,40,31,32,19,41
"",32,19,42,52,47,36,38,22,16,22,23,69
송파구,86,62,63,72,71,75,77,99,73,81,64,89
"",52,36,78,75,63,34,82,58,60,51,52,76
"",38,46,55,41,30,39,30,30,36,31,20,69
"",45,66,47,40,55,63,78,38,56,48,59,78
"",68,86,99,65,117,57,108,97,63,118,71,118
"",14,45,35,33,30,27,43,50,43,58,58,27
"",27,29,51,52,48,30,20,46,35,34,32,29
"",46,44,35,46,24,40,32,70,44,33,24,9
"",77,70,101,119,88,86,176,91,143,69,69,106
"",17,16,23,30,39,26,31,45,43,23,44,28
"",107,135,155,85,151,164,165,104,135,105,68,92
"",42,33,40,51,67,22,32,22,31,23,21,37
"",56,39,66,66,42,43,46,39,41,63,44,39
