"Column1","월","자치구","진동_x(g)","진동_y(g)","진동_z(g)"
0,"01월",강남구,0.031024548470246258,0.07013383828679697,1.0373450758187275
1,"01월",강동구,0.03189431135958175,0.06676688945173509,1.0383140395762318
2,"01월",강북구,0.027264304411502002,0.054984906603757475,1.0420428893248947
3,"01월",강서구,0.026894469594345823,0.050716826623010636,1.0462008716595839
4,"01월",관악구,0.02861228988357098,0.060161738711870714,1.0420985893188845
5,"01월",광진구,0.0295039977416897,0.059864052017386135,1.0428565050225733
6,"01월",구로구,0.02888053526580965,0.06410751931840761,1.0501707616573235
7,"01월",금천구,0.018935640321613326,0.05503725726099373,1.056603423676812
8,"01월",노원구,0.02899128722323318,0.05859023003599775,1.0316973061860313
9,"01월",도봉구,0.02517324562343831,0.07098608342849203,1.0374477624959464
10,"01월",동대문구,0.028290662075358165,0.059287397883340184,1.0532154373021372
11,"01월",동작구,0.02268000797892445,0.06714820521218222,1.0368893703152169
12,"01월",마포구,0.0317594099558092,0.06423639519758782,1.0435303302707117
13,"01월",서대문구,0.03714294350968829,0.06060634561166982,1.0391158685752666
14,"01월",서초구,0.02553931508733513,0.06644130645902202,1.0441426124674016
15,"01월",성동구,0.025986114440521662,0.06036569765012097,1.0409698744378901
16,"01월",성북구,0.019873331439948964,0.04621084067679918,1.043925845305213
17,"01월",송파구,0.02562651834920687,0.05608714801140098,1.043655012250922
18,"01월",양천구,0.026682434991891327,0.05363309222470256,1.0420706169049763
19,"01월",영등포구,0.02435405008035554,0.05129228571625823,1.0506798949775968
20,"01월",용산구,0.025964660102144096,0.05607394196055653,1.0375945829201287
21,"01월",은평구,0.028379573857696797,0.06035398760936164,1.052412913652223
22,"01월",종로구,0.03180380527446525,0.048223884779733425,1.0439842191284574
23,"01월",중구,0.023529061184876732,0.06096279243674162,1.0399630064022503
24,"01월",중랑구,0.027117739241135565,0.061314508051337695,1.0477401020230865
25,"02월",강남구,0.030911877089999224,0.07037660725726005,1.0377603600094158
26,"02월",강동구,0.027357934832399462,0.060006494829610554,1.0202091408022356
27,"02월",강북구,0.02676721165081724,0.054488123578121925,1.0411713680461372
28,"02월",강서구,0.026771248932774872,0.05121943751806278,1.0452181043586999
29,"02월",관악구,0.02823916448973313,0.060357609745483626,1.041551606396149
30,"02월",광진구,0.029073981787360665,0.05876393928598551,1.041972445419926
31,"02월",구로구,0.028948160606068096,0.06404663406720676,1.0489443560955702
32,"02월",금천구,0.0188090880251514,0.05509982399667295,1.0554731229726242
33,"02월",노원구,0.029372739053415354,0.058379732882155054,1.0312060409359638
34,"02월",도봉구,0.02492475312145658,0.07008294269456512,1.035861972414479
35,"02월",동대문구,0.028008387565428068,0.0588647020196807,1.0526364072134935
36,"02월",동작구,0.022884565839917697,0.06650080055341458,1.0358637328263336
37,"02월",마포구,0.031231652817978083,0.06356936889831427,1.0426524879902914
38,"02월",서대문구,0.03607854631947341,0.06080150521007397,1.0384280959550252
