"자치구","1월","2월","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
강남구,3012,2691,3081,3259,3549,3465,3688,3569,3283,3187,2892,3274
강동구,2035,1850,2014,2097,2247,2032,2283,2261,2215,2006,1924,2136
강북구,1817,1535,1784,1710,1941,1804,2038,1965,1939,1806,1644,1820
강서구,2799,2219,2747,2882,3053,2811,3145,3045,2795,2767,2545,2798
관악구,2510,2267,2435,2533,2754,2632,2647,2838,2597,2557,2224,2409
광진구,1584,1389,1587,1699,1822,1620,1854,1821,1706,1639,1428,1699
구로구,2053,1846,2034,2056,2228,2118,2491,2404,2242,2161,1992,2188
금천구,1297,1194,1335,1449,1591,1383,1506,1563,1404,1347,1325,1404
노원구,2298,2021,2358,2437,2652,2450,2642,2592,2498,2232,2241,2444
도봉구,1444,1361,1530,1624,1608,1585,1769,1765,1615,1598,1393,1629
동대문구,1906,1647,1904,1937,2174,1970,2211,2318,1972,1981,1790,1946
동작구,1702,1522,1678,1797,1918,1821,1945,1907,1897,1780,1592,1798
마포구,2227,2005,2258,2460,2641,2429,2622,2633,2423,2325,2051,2410
서대문구,1488,1325,1514,1624,1781,1629,1672,1753,1644,1531,1567,1686
서초구,1961,1737,2120,2080,2311,2295,2445,2341,2297,2061,1954,2252
성동구,1435,1191,1326,1436,1535,1478,1551,1565,1510,1440,1267,1431
성북구,1995,1745,2071,2074,2195,2064,2250,2166,2089,1961,1852,2128
송파구,2703,2423,2725,2921,3310,3007,3237,3242,2930,2835,2577,3025
양천구,1752,1580,1594,1708,1868,1778,1904,2067,1836,1717,1600,1766
영등포구,2290,2154,2324,2473,2595,2414,2700,2794,2546,2440,2327,2519
용산구,1303,1111,1379,1411,1615,1648,1636,1703,1516,1537,1318,1555
은평구,2345,1863,2204,2295,2411,2262,2373,2397,2264,2234,2067,2392
종로구,1433,1218,1455,1423,1601,1592,1698,1593,1687,1476,1304,1524
중구,1350,1271,1330,1416,1631,1446,1587,1614,1511,1463,1312,1525
중랑구,2046,1873,2004,2061,2206,2177,2313,2375,2136,2179,1854,2150
