"자치구","지역","소음 평균(dB)"
강남구,industrial_area,54.2695530726257
강남구,main_street,60.08188797270401
강남구,residential_area,44.68621505245922
강남구,roads_and_parks,60.3801867219917
강남구,traditional_markets,47.090757701915074
강동구,commercial_area,40.99163179916318
강동구,industrial_area,45.731197771587745
강동구,main_street,64.03074433656958
강동구,parks,54.38741258741259
강동구,residential_area,52.535194622941134
강동구,roads_and_parks,58.00479704797048
강동구,traditional_markets,45.09179869524697
강북구,parks,52.96029411764706
강북구,residential_area,46.869589622053134
강북구,roads_and_parks,50.805647231389806
강북구,traditional_markets,49.60918331580792
강서구,commercial_area,63.86750348675035
강서구,industrial_area,49.43759512937595
강서구,main_street,63.292648108493935
강서구,residential_area,47.852373791621915
강서구,roads_and_parks,51.97757533286615
강서구,traditional_markets,44.933998100664766
관악구,commercial_area,50.46304044630404
관악구,industrial_area,45.94207955338451
관악구,main_street,58.63370473537604
관악구,residential_area,47.07025773064471
관악구,roads_and_parks,51.416593886462884
관악구,traditional_markets,49.04801670146138
광진구,commercial_area,37.5536959553696
광진구,main_street,58.061196105702365
광진구,residential_area,45.76269439760165
광진구,roads_and_parks,55.30218368657675
광진구,traditional_markets,49.96365330848089
구로구,commercial_area,42.38633193863319
구로구,industrial_area,52.02137931034483
구로구,residential_area,46.78763322469832
구로구,roads_and_parks,64.51128349788435
구로구,traditional_markets,43.08660229330115
금천구,commercial_area,53.37508747375787
금천구,industrial_area,39.98983364140481
금천구,public_facilities,44.89179104477612
금천구,residential_area,46.01521921251047
금천구,roads_and_parks,50.059787422497784
노원구,commercial_area,54.58856345885635
노원구,industrial_area,44.60979020979021
노원구,residential_area,47.04763558086244
노원구,roads_and_parks,54.2278447823807
노원구,traditional_markets,44.6767723880597
도봉구,commercial_area,54.801952580195255
도봉구,industrial_area,46.54060324825986
도봉구,main_street,58.77715877437326
도봉구,residential_area,46.9258572115715
도봉구,roads_and_parks,56.01270289343684
도봉구,traditional_markets,43.54050279329609
동대문구,commercial_area,50.86760025461489
동대문구,residential_area,45.37072984333206
동대문구,roads_and_parks,63.626461988304094
동작구,commercial_area,47.48739495798319
동작구,industrial_area,43.81907433380084
동작구,residential_area,50.5837357201743
동작구,roads_and_parks,53.90542486797888
동작구,traditional_markets,48.49326599326599
마포구,commercial_area,53.27793296089386
마포구,industrial_area,47.454164727780366
마포구,main_street,58.22752808988764
마포구,residential_area,45.78794515616093
마포구,roads_and_parks,59.26784466407108
마포구,traditional_markets,44.71528424976701
서대문구,commercial_area,46.16438356164384
서대문구,public_facilities,54.374301675977655
서대문구,residential_area,45.26243259436789
서대문구,roads_and_parks,54.79184795053813
서대문구,traditional_markets,56.16503496503496
서초구,commercial_area,54.20699300699301
서초구,industrial_area,45.6972027972028
서초구,main_street,64.37375533428165
서초구,residential_area,48.44571390392196
서초구,roads_and_parks,48.08740831295844
성동구,commercial_area,51.473684210526315
성동구,industrial_area,49.152961672473864
성동구,main_street,53.623087621696804
성동구,parks,59.375838926174495
성동구,residential_area,46.449454965469116
성동구,roads_and_parks,68.76987447698745
성북구,commercial_area,55.955244755244756
성북구,industrial_area,54.59166666666667
성북구,residential_area,45.96862946772949
성북구,roads_and_parks,57.68898186889819
송파구,commercial_area,43.98907284768212
송파구,industrial_area,50.91201117318436
송파구,parks,56.427769985974756
송파구,residential_area,46.083166658914365
송파구,roads_and_parks,55.97157502329916
송파구,traditional_markets,54.99020293911826
양천구,commercial_area,48.07949790794979
양천구,industrial_area,47.23480662983425
양천구,main_street,63.07281553398058
양천구,residential_area,46.08058133035215
양천구,roads_and_parks,60.819227083998726
양천구,traditional_markets,43.48758307100385
영등포구,commercial_area,49.62628145386766
영등포구,industrial_area,47.38037068239259
영등포구,residential_area,45.86080032946668
영등포구,roads_and_parks,57.80621508379888
용산구,commercial_area,43.0
용산구,main_street,55.53760445682451
용산구,residential_area,45.01398285972034
용산구,roads_and_parks,53.943042537851476
은평구,commercial_area,45.604982206405694
은평구,main_street,68.37011173184358
은평구,parks,58.973490427098675
은평구,residential_area,45.711195577055975
은평구,roads_and_parks,57.55896007428041
종로구,main_street,48.82185206098249
종로구,public_facilities,44.66993006993007
종로구,residential_area,46.14082297101165
종로구,roads_and_parks,59.274934497816595
중구,commercial_area,48.749303621169915
중구,industrial_area,45.21518987341772
중구,main_street,52.981612446958984
중구,residential_area,44.5144
중구,roads_and_parks,49.28624161073825
중랑구,commercial_area,43.561672473867596
중랑구,industrial_area,43.36911764705882
중랑구,residential_area,45.63161565960415
중랑구,roads_and_parks,57.612688398177355
중랑구,traditional_markets,42.802439024390246
