"구별","1월","2월","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
강남구,95,54,76,80,67,99,90,90,54,68,92,59
"",62,130,99,109,124,126,117,154,141,136,125,124
"",94,67,105,86,61,101,117,194,79,110,99,105
"",44,31,40,59,49,51,34,58,47,35,73,49
"",67,78,78,92,52,78,106,123,87,90,76,73
"",5,9,24,6,22,4,15,15,28,16,11,28
"",38,44,27,36,34,30,25,31,17,26,26,39
"",43,44,48,42,48,68,92,56,32,28,71,48
"",46,25,28,47,60,44,40,45,68,59,51,57
"",156,145,144,185,184,210,188,209,160,133,172,181
"",5,6,10,4,7,0,13,4,8,0,10,1
"",29,7,45,38,39,33,43,21,26,31,47,28
"",15,23,32,16,11,18,18,35,25,27,11,20
"",68,34,80,75,90,83,78,96,84,62,69,69
강동구,43,25,35,24,20,22,19,35,26,25,26,19
"",23,11,19,37,34,48,52,65,49,42,25,28
"",29,19,24,26,41,49,35,51,61,28,38,50
"",12,16,12,32,29,31,37,11,45,15,28,36
"",21,10,35,50,15,21,49,32,28,32,26,22
"",29,12,19,39,23,34,28,22,33,28,28,17
"",60,54,44,58,37,60,56,88,89,71,62,67
"",55,54,32,43,72,59,65,61,50,32,34,31
"",86,56,111,109,105,156,130,125,107,94,88,78
강북구,110,86,145,89,122,86,89,109,122,107,110,93
"",42,44,57,62,53,49,76,51,63,52,45,60
"",119,73,116,110,100,136,142,114,111,109,168,122
"",30,41,19,55,38,45,27,31,29,41,30,32
강서구,122,81,53,72,68,55,71,83,84,57,43,94
"",12,26,29,14,17,14,14,18,18,19,18,24
"",31,24,24,16,24,42,26,39,30,17,17,31
"",1,1,0,1,1,0,0,0,6,4,0,4
"",26,14,26,19,20,37,42,27,32,12,17,37
"",110,61,66,43,55,70,67,67,71,55,59,79
"",28,71,50,93,86,67,49,77,77,52,69,56
"",76,36,45,66,52,50,105,95,78,74,68,65
"",24,23,28,22,24,25,53,42,34,32,13,24
"",0,0,11,3,0,4,5,0,1,1,2,0
"",0,0,7,0,0,4,1,0,0,0,0,0
"",1,9,1,4,8,3,1,4,9,1,14,0
"",0,1,0,0,0,0,0,0,0,0,0,0
"",0,0,0,1,0,0,0,0,0,0,0,0
"",206,145,242,192,248,216,297,212,219,200,174,176
관악구,13,18,38,21,33,31,19,35,35,16,18,33
"",222,178,207,168,199,223,272,191,226,260,160,182
"",272,302,282,316,368,314,320,395,324,256,357,337
광진구,24,22,40,25,33,39,39,51,23,35,35,34
"",63,55,64,84,110,101,109,99,76,83,87,102
"",16,9,13,18,14,15,34,14,5,9,29,29
"",9,9,6,13,9,16,9,26,16,10,7,19
"",113,56,100,103,106,102,146,104,144,149,74,85
"",76,64,59,89,69,77,80,85,73,81,50,53
"",45,30,32,18,21,37,39,49,47,34,18,36
구로구,15,16,13,17,23,17,17,19,21,15,27,20
"",72,71,38,65,91,76,95,82,42,79,81,97
"",32,21,39,43,54,71,78,68,56,60,57,56
"",161,103,116,162,150,132,168,140,175,147,114,182
"",27,8,15,3,18,6,8,27,10,13,11,17
"",20,46,27,45,18,14,23,32,22,53,12,46
"",43,47,38,47,47,44,36,56,37,18,53,27
"",10,5,14,4,2,4,3,2,15,8,12,2
"",6,9,5,9,8,2,5,14,12,1,19,21
"",15,5,5,10,11,10,6,4,9,7,9,6
금천구,55,66,70,92,65,63,121,70,68,88,91,81
"",98,155,123,101,98,123,128,141,104,94,111,121
"",73,101,98,90,108,83,113,133,118,97,99,104
남양주시,0,0,0,0,0,0,0,0,1,0,0,0
"",0,0,0,0,0,0,0,0,1,0,0,0
노원구,38,37,34,71,27,88,105,48,49,40,64,73
"",188,185,152,167,174,169,175,187,214,152,137,120
"",67,33,73,74,61,67,59,68,41,61,57,45
"",80,79,61,68,93,106,99,53,110,68,61,56
"",33,15,24,51,27,35,27,57,41,23,24,23
도봉구,79,54,99,71,80,64,59,82,101,112,62,51
"",68,53,94,56,40,52,38,77,48,56,54,56
"",24,58,59,63,63,45,69,95,81,65,40,53
"",136,90,72,76,99,109,103,123,101,82,105,88
동대문구,11,22,30,26,39,36,33,31,52,47,19,39
"",9,9,19,24,16,16,24,17,5,11,6,16
"",39,22,22,40,78,46,69,36,36,39,36,24
"",28,26,33,29,62,43,44,36,51,23,52,38
"",78,65,71,49,66,65,114,65,90,66,47,73
"",40,44,22,31,63,88,55,76,53,18,66,43
"",53,37,16,21,27,54,44,47,46,19,47,39
"",24,21,30,15,25,20,24,28,34,31,28,20
"",9,6,31,15,21,16,9,20,25,15,23,14
"",45,41,43,34,32,63,19,46,44,29,32,29
동작구,36,25,31,36,43,19,31,46,31,30,30,35
"",28,16,21,34,20,20,24,32,19,14,29,25
"",5,0,6,15,8,6,6,12,7,6,16,4
"",38,53,46,63,43,28,52,40,49,42,58,44
"",67,43,62,96,46,92,96,85,68,62,56,72
"",10,2,6,7,1,14,13,11,3,2,11,3
"",55,61,40,86,69,71,91,55,91,55,52,52
"",29,29,56,34,25,35,59,47,27,25,33,26
"",21,14,7,20,27,14,48,25,28,45,24,14
마포구,21,36,32,20,17,47,17,28,21,21,11,23
"",2,0,1,0,0,7,5,1,3,4,1,0
"",14,4,13,17,9,30,19,6,17,14,25,7
"",0,8,1,0,0,3,6,2,3,0,1,0
"",4,16,21,18,14,9,20,18,17,15,23,16
"",4,15,2,9,18,14,21,37,23,25,11,9
"",24,9,16,21,34,32,43,48,38,23,15,15
"",122,72,136,145,178,179,166,162,167,137,112,135
"",33,49,51,44,31,56,48,54,45,55,56,39
"",14,14,18,12,17,16,6,12,4,18,27,29
"",35,52,82,51,57,96,70,85,55,50,55,51
"",83,66,71,49,58,44,83,84,55,31,51,72
"",57,48,55,49,71,60,58,61,78,24,36,54
"",6,5,8,7,13,12,9,3,7,6,12,1
"",19,9,19,10,10,12,9,11,17,10,9,4
"",7,4,6,19,0,18,4,14,7,10,1,4
"",5,15,26,19,8,14,21,21,27,16,15,34
"",18,13,5,18,13,42,25,34,20,12,30,4
"",22,19,11,14,7,3,18,7,13,16,14,15
"",4,13,5,3,12,5,4,1,9,5,8,7
"",8,6,1,0,9,5,6,14,2,4,2,1
"",11,16,8,6,7,11,14,15,26,15,7,23
"",4,0,2,0,2,0,4,0,0,0,6,0
"",13,12,15,28,24,18,28,6,26,31,10,21
"",17,25,46,27,29,28,54,51,28,25,30,50
"",2,8,8,0,8,13,7,10,6,3,2,4
서대문구,36,29,26,38,46,39,26,31,18,53,28,24
