"자치구","지역","소음 평균(dB)"
강남구,industrial_area,55.4619
강남구,main_street,61.1461
강남구,residential_area,44.8704
강남구,roads_and_parks,62.8838
강남구,traditional_markets,46.691
강동구,commercial_area,38.2057
강동구,industrial_area,50.5531
강동구,main_street,65.3435
강동구,parks,54.6596
강동구,residential_area,53.2241
강동구,roads_and_parks,62.373
강동구,traditional_markets,46.1992
강북구,commercial_area,49.3578
강북구,parks,54.4752
강북구,residential_area,47.5346
강북구,roads_and_parks,50.7441
강북구,traditional_markets,49.9445
강서구,commercial_area,64.6776
강서구,industrial_area,50.3147
강서구,main_street,64.1074
강서구,residential_area,48.9423
강서구,roads_and_parks,52.6003
강서구,traditional_markets,54.6687
관악구,commercial_area,49.8199
관악구,industrial_area,44.1726
관악구,main_street,58.4761
관악구,residential_area,46.9679
관악구,roads_and_parks,51.8165
관악구,traditional_markets,48.4662
광진구,commercial_area,36.3681
광진구,main_street,58.7052
광진구,residential_area,46.9285
광진구,roads_and_parks,57.7875
광진구,traditional_markets,48.768
구로구,commercial_area,44.6858
구로구,industrial_area,48.8464
구로구,residential_area,46.5406
구로구,roads_and_parks,65.2399
구로구,traditional_markets,43.7198
금천구,commercial_area,54.1088
금천구,industrial_area,42.6958
금천구,public_facilities,42.9319
금천구,residential_area,47.1
금천구,roads_and_parks,47.2408
노원구,industrial_area,43.1278
노원구,residential_area,47.6929
노원구,roads_and_parks,54.9183
노원구,traditional_markets,43.5381
도봉구,commercial_area,36.3636
도봉구,industrial_area,48.966
도봉구,main_street,58.3582
도봉구,residential_area,46.5377
도봉구,roads_and_parks,53.4766
도봉구,traditional_markets,43.2007
동대문구,commercial_area,51.2401
동대문구,residential_area,45.5438
동대문구,roads_and_parks,64.3499
동작구,commercial_area,48.7436
동작구,industrial_area,48.1491
동작구,residential_area,48.5817
동작구,roads_and_parks,54.9454
동작구,traditional_markets,49.1968
마포구,commercial_area,54.1099
마포구,industrial_area,46.4006
마포구,main_street,60.1451
마포구,residential_area,46.6311
마포구,roads_and_parks,58.0846
마포구,traditional_markets,44.0946
서대문구,commercial_area,44.4122
서대문구,public_facilities,56.8111
서대문구,residential_area,45.2918
서대문구,roads_and_parks,57.0002
서대문구,traditional_markets,56.4299
서초구,commercial_area,54.211
서초구,industrial_area,42.8958
서초구,main_street,65.2684
서초구,residential_area,49.6978
서초구,roads_and_parks,52.3685
성동구,industrial_area,46.3758
성동구,main_street,52.7234
성동구,parks,62.2171
성동구,residential_area,47.1328
성동구,roads_and_parks,68.8557
성북구,commercial_area,57.0281
성북구,industrial_area,54.9338
성북구,residential_area,46.4289
성북구,roads_and_parks,56.4951
송파구,commercial_area,50.2128
송파구,industrial_area,47.6433
송파구,parks,56.5212
송파구,residential_area,46.1755
송파구,roads_and_parks,57.4287
송파구,traditional_markets,55.7361
양천구,commercial_area,48.9509
양천구,industrial_area,46.8961
양천구,main_street,63.3884
양천구,residential_area,46.478
양천구,roads_and_parks,62.0932
양천구,traditional_markets,43.0113
영등포구,commercial_area,49.0291
영등포구,industrial_area,45.1468
영등포구,residential_area,45.1129
영등포구,roads_and_parks,58.2434
용산구,commercial_area,45.7683
용산구,main_street,56.0941
용산구,residential_area,45.0682
용산구,roads_and_parks,54.6725
은평구,commercial_area,57.5113
은평구,main_street,68.725
은평구,parks,59.4542
은평구,residential_area,46.8805
은평구,roads_and_parks,58.8178
종로구,main_street,49.2644
종로구,public_facilities,47.4485
종로구,residential_area,47.9249
종로구,roads_and_parks,61.2612
중구,commercial_area,50.3927
중구,industrial_area,46.6785
중구,main_street,54.4455
중구,residential_area,45.0794
중구,roads_and_parks,51.2811
중랑구,commercial_area,44.3901
중랑구,industrial_area,55.4525
중랑구,residential_area,47.5455
중랑구,roads_and_parks,57.7039
중랑구,traditional_markets,41.4899
