자치구,연도,점수
강남구,2022,6.338866101652363
강남구,2023,4.132792682445689
강남구,2024,5.668114808850615
강동구,2022,10.699100240765814
강동구,2023,6.457244554850615
강동구,2024,8.46231579751665
강북구,2022,10.958637578441339
강북구,2023,8.75707327617322
강북구,2024,11.03956598252046
강서구,2022,6.783131050970681
강서구,2023,4.3109010111512065
강서구,2024,5.6518461240244315
관악구,2022,10.198557880320111
관악구,2023,6.935811952961139
관악구,2024,8.630631757308516
광진구,2022,10.659011009596279
광진구,2023,6.993650056497285
광진구,2024,7.976256134925035
구로구,2022,8.727958737910038
구로구,2023,6.931130248692518
구로구,2024,8.173930636203366
금천구,2022,10.233424781664985
금천구,2023,7.320038878328194
금천구,2024,8.08513270068032
노원구,2022,9.113965480277832
노원구,2023,6.0982651068948845
노원구,2024,6.930226035983204
도봉구,2022,10.524081975942877
도봉구,2023,7.852300496494521
도봉구,2024,10.072183001193187
동대문구,2022,9.787482470275817
동대문구,2023,7.680935505792121
동대문구,2024,9.042223690792381
동작구,2022,9.47434483819316
동작구,2023,7.418151286452996
동작구,2024,8.680085064824555
마포구,2022,9.457227009054352
마포구,2023,6.96734593635325
마포구,2024,7.656529859266121
서대문구,2022,10.190871526826236
서대문구,2023,9.324568397642002
서대문구,2024,9.210781009621389
서초구,2022,8.313538517732697
서초구,2023,5.735807914676421
서초구,2024,7.638745857281225
성동구,2022,8.566903415548651
성동구,2023,6.775194439052144
성동구,2024,8.914587858046744
성북구,2022,10.72205695724986
성북구,2023,7.911251455640989
성북구,2024,9.315434655145152
송파구,2022,7.935620524494714
송파구,2023,5.145783852412259
송파구,2024,6.761837902948172
양천구,2022,9.757200795793551
양천구,2023,6.8589006779823585
양천구,2024,7.649427898499724
영등포구,2022,8.276929157569521
영등포구,2023,6.754442723116995
영등포구,2024,8.232273109314951
용산구,2022,9.25298331783512
용산구,2023,7.621435285228167
용산구,2024,9.103350310964553
은평구,2022,8.212306499280652
은평구,2023,5.441789574314421
은평구,2024,6.544504643511554
종로구,2022,10.605585068659531
종로구,2023,7.265660355067493
종로구,2024,8.585056056172105
중구,2022,8.251231494150934
중구,2023,5.448875703147524
중구,2024,6.92891443773583
중랑구,2022,10.113512028558583
중랑구,2023,7.721143513670956
중랑구,2024,8.397968534365015
