자치구,총점_orig_2022,총점_interp_2022,순위_orig_2022,순위_interp_2022,점수차(orig-interp)_2022,순위차(orig-interp)_2022,절대순위차_2022,총점_orig_2023,총점_interp_2023,순위_orig_2023,순위_interp_2023,점수차(orig-interp)_2023,순위차(orig-interp)_2023,절대순위차_2023,총점_orig_2024,총점_interp_2024,순위_orig_2024,순위_interp_2024,점수차(orig-interp)_2024,순위차(orig-interp)_2024,절대순위차_2024
종로구,13.965277777777779,13.95138888888889,10.0,9.0,0.013888888888889284,1.0,1.0,15.628472222222223,15.281250000000004,4.0,5.0,0.34722222222221966,-1.0,1.0,15.347222222222225,15.201388888888891,6.0,6.0,0.14583333333333393,0.0,0.0
중구,14.392361111111112,16.03125,6.0,2.0,-1.6388888888888875,4.0,4.0,10.347222222222223,11.142361111111112,16.0,15.0,-0.7951388888888893,1.0,1.0,11.468750000000002,11.468750000000002,13.0,13.0,0.0,0.0,0.0
용산구,13.29513888888889,13.843750000000002,11.0,11.0,-0.5486111111111125,0.0,0.0,17.760416666666668,14.777777777777779,2.0,8.0,2.9826388888888893,-6.0,6.0,13.75,13.75,9.0,9.0,0.0,0.0,0.0
성동구,14.13888888888889,14.527777777777777,9.0,6.0,-0.3888888888888875,3.0,3.0,17.659722222222225,15.479166666666668,3.0,4.0,2.180555555555557,-1.0,1.0,16.486111111111114,16.43402777777778,3.0,3.0,0.0520833333333357,0.0,0.0
광진구,11.663194444444446,11.29513888888889,14.0,16.0,0.36805555555555713,-2.0,2.0,10.621527777777777,9.951388888888891,15.0,19.0,0.6701388888888857,-4.0,4.0,9.565972222222223,9.565972222222223,21.0,21.0,0.0,0.0,0.0
동대문구,14.381944444444445,15.510416666666668,7.0,3.0,-1.1284722222222232,4.0,4.0,14.736111111111114,16.42361111111111,6.0,2.0,-1.6874999999999964,4.0,4.0,16.767361111111114,16.767361111111114,2.0,2.0,0.0,0.0,0.0
중랑구,9.13888888888889,10.20138888888889,23.0,21.0,-1.0625,2.0,2.0,11.472222222222221,12.250000000000002,13.0,13.0,-0.7777777777777803,0.0,0.0,11.378472222222221,11.378472222222221,15.0,15.0,0.0,0.0,0.0
성북구,9.982638888888888,10.746527777777779,20.0,18.0,-0.7638888888888911,2.0,2.0,10.958333333333334,12.503472222222221,14.0,12.0,-1.5451388888888875,2.0,2.0,12.34375,12.458333333333334,12.0,12.0,-0.11458333333333393,0.0,0.0
강북구,11.329861111111112,11.645833333333334,15.0,13.0,-0.31597222222222143,2.0,2.0,9.597222222222225,9.493055555555555,19.0,22.0,0.10416666666666963,-3.0,3.0,10.524305555555557,10.48263888888889,17.0,17.0,0.04166666666666785,0.0,0.0
도봉구,9.673611111111112,10.083333333333334,22.0,22.0,-0.40972222222222143,0.0,0.0,9.180555555555555,9.479166666666668,22.0,23.0,-0.2986111111111125,-1.0,1.0,9.420138888888891,9.420138888888891,22.0,22.0,0.0,0.0,0.0
