연도,월,자치구,강수량점수,대기오염점수,불쾌지수점수,쓰레기점수,이상기온점수,환경원점수,환경점수
2022,1,강남구,0.0,63.75132275132274,4.073218798396836,39.68,32.608695652173914,28.022647440378698,3.2219684596673765
2022,1,강동구,0.0200534759358288,71.01851851851852,0.844403949507754,82.13,36.95652173913043,38.1938995366185,7.234619889643048
2022,1,강북구,0.0401069518716577,66.88888888888889,2.2209862991147173,94.72,41.30434782608695,41.03486599319244,8.355406987103615
2022,1,강서구,0.0,76.28571428571428,0.0,32.92,100.0,41.841142857142856,8.673490540679383
2022,1,관악구,0.0200534759358288,62.62433862433861,5.416868960625265,76.93,45.65217391304348,38.12868699478864,7.20889294897242
2022,1,광진구,0.0200534759358288,63.42328042328042,6.202261155354639,94.0,43.47826086956522,41.42477118482722,8.509228130259299
2022,1,구로구,0.0401069518716577,59.22222222222222,5.628124719881432,75.63,32.608695652173914,34.62582990922984,5.826983980403629
2022,1,금천구,0.0200534759358288,76.13756613756613,6.856777563044868,81.56,32.608695652173914,39.43661856574415,7.724883845554875
2022,1,노원구,0.0200534759358288,76.68783068783068,3.2238764057662266,67.33,43.47826086956522,38.148004287819596,7.216513796707832
2022,1,도봉구,0.0401069518716577,63.5,1.455566229422993,97.71,45.65217391304348,41.67156941886763,8.606592277501683
2022,1,동대문구,0.0200534759358288,72.82010582010581,5.431487388443312,83.36,26.08695652173913,37.54372064124482,6.978118403928647
2022,1,동작구,0.0337263004375303,73.78571428571428,5.613658520911422,83.8,23.91304347826087,37.42922851706482,6.932950219966158
2022,1,마포구,0.0401069518716577,59.95767195767194,3.9831160464684032,72.31,45.65217391304348,36.3886137738111,6.522418242382544
2022,1,서대문구,0.0601604278074866,72.45238095238095,2.174808465067208,83.8,32.608695652173914,38.219209099485916,7.244604742311239
2022,1,서초구,0.0,65.35714285714285,2.4556180392180416,59.94,34.78260869565217,32.50707391840261,4.9911154780876315
2022,1,성동구,0.0,55.84656084656084,7.802905537707665,61.96,36.95652173913043,32.51319762467979,4.9935313358913085
2022,1,성북구,0.0401069518716577,61.11904761904762,5.4439285370018204,91.89,26.08695652173913,36.91600792593205,6.730480030512963
2022,1,송파구,0.0,72.14550264550263,5.806635020979252,57.68,30.434782608695656,33.21338405503551,5.269761248829473
2022,1,양천구,0.0601604278074866,75.46031746031746,4.50897259605534,70.47,32.608695652173914,36.621629227270844,6.614344957371482
2022,1,영등포구,0.0601604278074866,67.10582010582009,6.225888062242934,76.31,10.869565217391305,32.11428676265236,4.8361573738853
2022,1,용산구,0.0601604278074866,63.62169312169313,6.051252824214544,82.75,21.73913043478261,34.84444736169956,5.91323055309398
2022,1,은평구,0.0601604278074866,70.58201058201057,1.7372553720085626,67.97,39.130434782608695,35.89597223288707,6.328066675343415
2022,1,종로구,0.0337263004375303,73.93121693121692,6.223389045669406,70.5,43.47826086956522,38.83331862937782,7.486876535396913
2022,1,중구,0.1203208556149732,73.84391534391534,5.783472059476832,61.93,26.08695652173913,33.552932956149256,5.403716377530338
2022,1,중랑구,0.0337263004375303,62.76719576719576,5.584495562467967,86.12,39.130434782608695,38.72717048254199,7.445000126360949
2022,2,강남구,0.2205882352941176,51.7010582010582,7.270488633622335,39.68,28.26086956521739,25.426600927038415,2.1978045066483274
2022,2,강동구,0.1203208556149732,56.24867724867726,5.650694692618303,82.13,28.26086956521739,34.482112472425584,5.770286144891495
2022,2,강북구,0.0802139037433155,55.63492063492063,5.846403209900533,94.72,34.78260869565217,38.21282928884333,7.242087849006882
2022,2,강서구,0.0401069518716577,59.92592592592592,4.160786097640891,32.92,67.3913043478261,32.88762466465291,5.1412462074876135
2022,2,관악구,0.1804812834224598,52.455026455026456,8.412358661641646,76.93,34.78260869565217,34.55209501914855,5.7978948958617975
2022,2,광진구,0.1002673796791443,55.14285714285714,9.329733674017586,94.0,36.95652173913043,39.10587598713686,7.594402891150747
2022,2,구로구,0.0601604278074866,53.46560846560847,8.386273592204002,75.63,30.434782608695656,33.59536501886313,5.420456212067383
2022,2,금천구,0.1002673796791443,64.03703703703702,9.52810457049567,81.56,28.26086956521739,36.69725571048585,6.644180292603109
2022,2,노원구,0.1002673796791443,64.95767195767195,6.772325751613455,67.33,36.95652173913043,35.223357365618995,6.062713994726648
2022,2,도봉구,0.1002673796791443,53.43650793650794,5.234387807908128,97.71,41.30434782608695,39.55710219003643,7.772415730786962
2022,2,동대문구,0.1002673796791443,55.32539682539682,8.41819482799035,83.36,23.91304347826087,34.223380502265435,5.668214030247187
2022,2,동작구,0.0902406417112299,62.51587301587301,8.782834018306868,83.8,21.73913043478261,35.38561562213474,6.126726352189893
2022,2,마포구,0.0601604278074866,53.33068783068783,7.458041795485146,72.31,32.608695652173914,33.15351714123088,5.246143207017768
2022,2,서대문구,0.0802139037433155,62.57407407407407,5.467880711739484,83.8,30.434782608695656,36.471390259650505,6.555074318658015
2022,2,서초구,0.0601604278074866,52.941798941798936,6.184579943313699,59.94,26.08695652173913,29.042699166931854,3.6243881402016784
2022,2,성동구,0.0401069518716577,40.84656084656085,10.459262982712078,61.96,34.78260869565217,29.61770789535935,3.8512343116013694
2022,2,성북구,0.0601604278074866,56.55820105820106,8.421132737800034,91.89,28.26086956521739,37.038072757805196,6.778635716512192
2022,2,송파구,0.1804812834224598,57.56084656084657,9.21769817770166,57.68,26.08695652173913,30.145196508741968,4.059333365558369
2022,2,양천구,0.0802139037433155,64.65608465608466,7.644787066750985,70.47,32.608695652173914,35.091956255750574,6.01087506217194
2022,2,영등포구,0.0802139037433155,55.63756613756614,9.277511384429015,76.31,13.043478260869565,30.869753937321608,4.345177858879346
2022,2,용산구,0.0401069518716577,55.407407407407405,9.365821600440364,82.75,21.73913043478261,33.86049327890041,5.525051721223906
2022,2,은평구,0.0601604278074866,58.92592592592594,5.367339338685431,67.97,28.26086956521739,32.11685905152725,4.837172165233943
2022,2,종로구,0.0902406417112299,60.64285714285713,9.128041132137568,70.5,43.47826086956522,36.76787995725423,6.672042200075727
2022,2,중구,0.0401069518716577,57.62433862433862,8.500201364280132,61.93,28.26086956521739,31.271103301141565,4.503513832013602
2022,2,중랑구,0.0902406417112299,55.10846560846561,8.790706131610337,86.12,30.434782608695656,36.108838998096566,6.412044549623805
2022,3,강남구,3.228609625668449,48.25661375661375,31.236666743303772,34.13,28.26086956521739,29.022551938160674,3.616439875270893
2022,3,강동구,12.038770053475934,49.1031746031746,29.571067742115726,79.77,26.08695652173913,39.313993784101086,7.676507254280297
2022,3,강북구,12.901069518716575,46.42857142857142,30.3543352872678,93.31,34.78260869565217,43.5553169860416,9.349747819967124
2022,3,강서구,12.47994652406417,52.88359788359788,29.506832868366,26.86,32.608695652173914,30.867814585640396,4.344412767008334
2022,3,관악구,1.9050802139037435,51.97883597883598,32.075840313430106,74.18,32.608695652173914,38.54969043166875,7.3749826326256445
2022,3,광진구,3.008021390374332,54.029100529100525,32.8897800477512,92.53,32.608695652173914,43.01311952387999,9.135845991432536
2022,3,구로구,11.878342245989304,54.74074074074075,32.10763860851408,72.78,32.608695652173914,40.823083449483605,8.271856848063083
2022,3,금천구,3.0280748663101607,50.55291005291005,32.80779574141585,79.15,30.434782608695656,39.19471265386635,7.629449763887106
2022,3,노원구,12.419786096256685,57.86507936507937,31.086413519650502,63.85,28.26086956521739,38.69642970924079,7.432872611795535
2022,3,도봉구,21.791443850267378,48.56349206349206,30.07712265925609,96.52,34.78260869565217,46.34693345373355,10.451065898118868
2022,3,동대문구,12.199197860962563,55.158730158730165,32.37940198507518,81.09,21.73913043478261,40.51329208791011,8.149641339269278
2022,3,동작구,12.088903743315509,55.13756613756613,32.364547416510206,81.57,26.08695652173913,41.4495947638262,8.51902125787278
2022,3,마포구,12.379679144385026,49.12169312169312,32.059406699058925,69.21,32.608695652173914,39.075894923462194,7.582575088940356
2022,3,서대문구,12.660427807486627,54.35449735449736,30.13990072398479,81.57,30.434782608695656,41.831921698932895,8.669852709925891
2022,3,서초구,2.5267379679144386,50.08730158730159,30.274919262411505,55.91,23.91304347826087,32.542400459177685,5.005052119615728
2022,3,성동구,11.93850267379679,35.37037037037037,33.798478871035634,58.08,30.434782608695656,33.92442690477969,5.550274117924003
2022,3,성북구,13.101604278074866,56.10846560846561,32.12389587299361,90.26,23.91304347826087,43.10140184755899,9.170674170795335
2022,3,송파구,2.8074866310160425,52.7962962962963,32.778721556374045,53.48,21.73913043478261,32.7203269836938,5.0752457512625275
2022,3,양천구,12.239304812834224,56.85185185185184,31.814389572822943,67.23,36.95652173913043,41.01841359532789,8.348916366559257
2022,3,영등포구,12.279411764705882,53.095238095238095,33.019336107358384,73.52,13.043478260869565,36.99149284563439,6.760259517651737
2022,3,용산구,3.0280748663101607,47.89417989417989,32.74807744769917,80.44,19.565217391304348,36.73510991989871,6.659114122390622
