gu,date,daily_rain_mm,year,month
강남구,2022-05-24,0.0,2022,5
강남구,2022-05-25,13.5,2022,5
강남구,2022-05-26,0.0,2022,5
강남구,2022-05-27,0.0,2022,5
강남구,2022-05-28,0.0,2022,5
강남구,2022-05-29,0.0,2022,5
강남구,2022-05-30,0.0,2022,5
강남구,2022-05-31,0.0,2022,5
강남구,2022-06-01,0.0,2022,6
강남구,2022-06-02,0.0,2022,6
강남구,2022-06-03,0.0,2022,6
강남구,2022-06-04,0.0,2022,6
강남구,2022-06-05,0.0,2022,6
강남구,2022-06-06,22.5,2022,6
강남구,2022-06-07,0.0,2022,6
강남구,2022-06-08,0.0,2022,6
강남구,2022-06-09,6.0,2022,6
강남구,2022-06-10,1.5,2022,6
강남구,2022-06-11,0.0,2022,6
강남구,2022-06-12,0.0,2022,6
강남구,2022-06-13,57.0,2022,6
강남구,2022-06-14,1.5,2022,6
강남구,2022-06-15,63.0,2022,6
강남구,2022-06-16,15.0,2022,6
강남구,2022-06-17,0.0,2022,6
강남구,2022-06-18,0.0,2022,6
강남구,2022-06-19,0.0,2022,6
강남구,2022-06-20,0.0,2022,6
강남구,2022-06-21,0.0,2022,6
강남구,2022-06-22,0.0,2022,6
강남구,2022-06-23,267.0,2022,6
강남구,2022-06-24,61.5,2022,6
강남구,2022-06-25,0.0,2022,6
강남구,2022-06-26,0.0,2022,6
강남구,2022-06-27,25.5,2022,6
강남구,2022-06-28,15.0,2022,6
강남구,2022-06-29,174.0,2022,6
강남구,2022-06-30,583.5,2022,6
강남구,2022-07-01,0.0,2022,7
강남구,2022-07-02,0.0,2022,7
강남구,2022-07-03,0.0,2022,7
강남구,2022-07-04,0.0,2022,7
강남구,2022-07-05,0.0,2022,7
강남구,2022-07-06,121.5,2022,7
강남구,2022-07-07,7.5,2022,7
강남구,2022-07-08,6.0,2022,7
강남구,2022-07-09,0.0,2022,7
강남구,2022-07-10,0.0,2022,7
강남구,2022-07-11,16.5,2022,7
강남구,2022-07-12,0.0,2022,7
강남구,2022-07-13,396.0,2022,7
강남구,2022-07-14,1.5,2022,7
강남구,2022-07-15,0.0,2022,7
강남구,2022-07-16,10.5,2022,7
강남구,2022-07-17,6.0,2022,7
강남구,2022-07-18,0.0,2022,7
강남구,2022-07-19,0.0,2022,7
강남구,2022-07-20,4.5,2022,7
강남구,2022-07-21,54.0,2022,7
강남구,2022-07-22,54.0,2022,7
강남구,2022-07-23,54.0,2022,7
강남구,2022-07-24,18.0,2022,7
강남구,2022-07-25,0.0,2022,7
강남구,2022-07-26,0.0,2022,7
강남구,2022-07-27,0.0,2022,7
강남구,2022-07-28,0.0,2022,7
강남구,2022-07-29,0.0,2022,7
강남구,2022-07-30,0.0,2022,7
강남구,2022-07-31,159.0,2022,7
강남구,2022-08-01,99.0,2022,8
강남구,2022-08-02,63.0,2022,8
강남구,2022-08-03,145.5,2022,8
강남구,2022-08-04,0.0,2022,8
강남구,2022-08-05,0.0,2022,8
강남구,2022-08-06,13.5,2022,8
강남구,2022-08-07,1.5,2022,8
강남구,2022-08-08,906.0,2022,8
강남구,2022-08-09,355.5,2022,8
강남구,2022-08-10,39.0,2022,8
강남구,2022-08-11,148.5,2022,8
강남구,2022-08-12,0.0,2022,8
강남구,2022-08-13,9.0,2022,8
강남구,2022-08-14,1.5,2022,8
강남구,2022-08-15,10.5,2022,8
강남구,2022-08-16,0.0,2022,8
강남구,2022-08-17,0.0,2022,8
강남구,2022-08-18,0.0,2022,8
강남구,2022-08-19,159.0,2022,8
강남구,2022-08-20,0.0,2022,8
강남구,2022-08-21,0.0,2022,8
강남구,2022-08-22,6.0,2022,8
강남구,2022-08-23,7.5,2022,8
강남구,2022-08-24,0.0,2022,8
강남구,2022-08-25,4.5,2022,8
강남구,2022-08-26,0.0,2022,8
강남구,2022-08-27,7.5,2022,8
강남구,2022-08-28,0.0,2022,8
강남구,2022-08-29,9.0,2022,8
강남구,2022-08-30,129.0,2022,8
강남구,2022-08-31,0.0,2022,8
강남구,2022-09-01,0.0,2022,9
강남구,2022-09-02,0.0,2022,9
강남구,2022-09-03,0.0,2022,9
강남구,2022-09-04,60.0,2022,9
강남구,2022-09-05,487.5,2022,9
강남구,2022-09-06,121.5,2022,9
강남구,2022-09-07,0.0,2022,9
강남구,2022-09-08,0.0,2022,9
강남구,2022-09-09,0.0,2022,9
강남구,2022-09-10,0.0,2022,9
강남구,2022-09-11,0.0,2022,9
강남구,2022-09-12,0.0,2022,9
강남구,2022-09-13,0.0,2022,9
강남구,2022-09-14,0.0,2022,9
강남구,2022-09-15,0.0,2022,9
강남구,2022-09-16,30.0,2022,9
강남구,2022-09-17,6.0,2022,9
강남구,2022-09-18,0.0,2022,9
강남구,2022-09-19,0.0,2022,9
강남구,2022-09-20,0.0,2022,9
강남구,2022-09-21,0.0,2022,9
강남구,2022-09-22,0.0,2022,9
강남구,2022-09-23,3.0,2022,9
강남구,2022-09-24,0.0,2022,9
강남구,2022-09-25,0.0,2022,9
강남구,2022-09-26,0.0,2022,9
강남구,2022-09-27,0.0,2022,9
강남구,2022-09-28,0.0,2022,9
강남구,2022-09-29,0.0,2022,9
강남구,2022-09-30,0.0,2022,9
강남구,2022-10-01,0.0,2022,10
강남구,2022-10-02,34.5,2022,10
강남구,2022-10-03,193.5,2022,10
강남구,2022-10-04,37.5,2022,10
강남구,2022-10-05,1.5,2022,10
강남구,2022-10-06,0.0,2022,10
강남구,2022-10-07,0.0,2022,10
강남구,2022-10-08,0.0,2022,10
강남구,2022-10-09,42.0,2022,10
강남구,2022-10-10,9.0,2022,10
강남구,2022-10-11,0.0,2022,10
