자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL
중구,안전,키워드:백화점,옵스 롯데소공점,"카페,디저트>베이커리",서울특별시 중구 남대문로 81 롯데백화점 본점 지하 1층,126.9816422,37.5649944,,http://ops.co.kr
중구,안전,키워드:복합문화공간,동대문디자인플라자,"문화,예술>복합문화공간",서울특별시 중구 을지로 281,127.0099323,37.5675465,,http://www.ddp.or.kr/
중구,안전,키워드:복합문화공간,문화역서울284,"문화,예술>복합문화공간",서울특별시 중구 통일로 1 문화역서울284,126.9715927,37.5558207,,https://www.seoul284.org
중구,안전,키워드:복합문화공간,충무아트센터,"문화,예술>공연장",서울특별시 중구 퇴계로 387,127.0147446,37.56594,,http://www.caci.or.kr/
중구,안전,키워드:복합문화공간,동대문디자인플라자뮤지엄,"문화,예술>복합문화공간",서울특별시 중구 을지로 281 동대문디자인플라자뮤지엄,127.0095258,37.566763,,
중구,안전,키워드:복합문화공간,B the B,"문화,예술>복합문화공간",서울특별시 중구 을지로 281 DDP 지하 2층 DDP마켓 비더비(B the B),127.0090525,37.566288,,http://btheb.sba.kr
중구,안전,키워드:안정,안정카메라 을지로지하쇼핑센터3구역점,"쇼핑,유통>전자,가전",서울특별시 중구 을지로 131 을지로3구역지하쇼핑,126.9948563,37.56647,,
중구,안전,키워드:안정,유노랩,"교육,학문>연구,연구소",서울특별시 중구 한강대로 416 14층 148호,126.9737678,37.5555057,,
중구,안전,키워드:느좋,센몬,음식점>일식>일식당,서울특별시 중구 동호로24길 19-5 1층 101호,127.0048576,37.5600337,,https://app.catchtable.co.kr/ct/shop/senmon
중구,안전,키워드:느좋,을지로 헤이지니,술집>요리주점,서울특별시 중구 을지로12길 7 2층 을지로 헤이지니,126.991305,37.5658766,,https://app.catchtable.co.kr/ct/shop/euljiro_heygenie
중구,안전,키워드:느좋,을지로야키토리 토리노 라스베가스,술집>이자카야,서울특별시 중구 마른내로 13 1층,126.9894373,37.5648703,,https://lasvegas29.com/
중구,안전,키워드:느좋,을지로야장 을지로 라스베가스,술집>이자카야,서울특별시 중구 을지로12길 28 1층 104호,126.9907064,37.5650991,,https://lasvegas29.com/
중구,안전,키워드:느좋,화이트브릭야드,"음식점>카페,디저트",서울특별시 중구 퇴계로80길 51-6 1층 카페 화이트 브릭 야드,127.01774,37.5629853,,https://www.instagram.com/cafe_whitebrickyard
중구,안전,키워드:쉼터,카페쉼터,"음식점>카페,디저트",서울특별시 중구 을지로32길 33,127.0010989,37.5652113,,
중구,안전,키워드:쉼터,서울로7017공중자연쉼터,"도시,테마공원>부속시설",,126.9730049,37.5565954,,
중구,안전,키워드:쉼터,쉼터올래,"카페,디저트>카페",,126.9644889,37.5548369,,
중구,안전,키워드:쉼터,중구청광장,"레져,체육시설>공원",,126.9980473,37.5635807,,
중구,안전,키워드:야경,남산케이블카,"레저,테마>케이블카",서울특별시 중구 소파로 83,126.9840884,37.5569427,,http://www.namsancablecar.com
중구,안전,키워드:야경,더 플라자 호텔 서울,숙박>호텔,서울특별시 중구 소공로 119,126.9779269,37.5647565,,https://www.hoteltheplaza.com/kr/
중구,안전,키워드:야경,숭례문,"여행,명소>기념물",서울특별시 중구 세종대로 40,126.9753562,37.5599757,,
중구,안전,키워드:야경,남산,"여행,명소>산",,126.9903773,37.5501402,,http://parks.seoul.go.kr/template/sub/namsan.do
중구,안전,키워드:야경,남산공원,"여행,명소>도시,테마공원",서울특별시 중구 삼일대로 231 남산제1별관,126.9925089,37.5510509,,http://parks.seoul.go.kr/namsan
