연도,월,자치구코드,총이동인구수,평균이동시간,총이동시간,유입인구_norm,평균이동시간_norm,총이동시간_norm,출퇴근스트레스점수,모형,가중치_유입인구,가중치_평균이동시간,가중치_총이동시간
2022,1,11240,563446.22,44.98130217868624,25344544.68325853,1.0,0.0156551763385012,1.0,65.54793117184754,문헌기반,0.45,0.35,0.2
2022,1,11230,556713.94,44.41355005199707,24725642.43883449,0.9880515301942064,0.0138554010884101,0.97557958431262,64.45884958308604,문헌기반,0.45,0.35,0.2
2022,1,11160,394817.34,42.77684129443693,16889038.693471745,0.7007169813102255,0.0086670314196926,0.6663657742752471,45.162925744154336,문헌기반,0.45,0.35,0.2
2022,1,11220,376024.14,43.85415888879316,16490222.381581804,0.6673627561808132,0.0120821301074188,0.6506294278538123,43.46678713897251,문헌기반,0.45,0.35,0.2
2022,1,11110,381864.84,41.603743908911085,15887007.011177309,0.6777288472516984,0.0049483106238271,0.6268279790353426,43.207548578867225,문헌기반,0.45,0.35,0.2
2022,1,11140,348491.25,46.28187879627248,16128829.794061491,0.6184973042341863,0.0197780065264369,0.6363697328969827,41.25200357690333,문헌기반,0.45,0.35,0.2
2022,1,11190,349737.61,44.57113425542488,15588201.969481427,0.6207093475281593,0.0143549432931898,0.615037840296245,40.73510045995371,문헌기반,0.45,0.35,0.2
2022,1,11250,355181.83,42.50679350593795,15097640.704871155,0.6303717647606716,0.0078109794504705,0.5956814554877552,40.5537428047518,문헌기반,0.45,0.35,0.2
2022,1,11210,317701.83,44.165419080474734,14031434.464583742,0.5638521535262689,0.0130688254679344,0.5536114842913701,36.902985485887214,문헌기반,0.45,0.35,0.2
2022,1,11120,310464.01,43.19394960775704,13410166.802962177,0.5510064498820697,0.0099892655138182,0.5290977348477173,35.72686923463112,문헌기반,0.45,0.35,0.2
2022,1,36350,13.69,355.5,4866.795,1.833371355526628e-05,1.0,0.000156368811589,35.00395239334176,문헌기반,0.45,0.35,0.2
2022,1,11080,300883.41,43.422006213290615,13064961.298496066,0.5340027735909192,0.0107122053584519,0.5154767438227463,34.714586875592104,문헌기반,0.45,0.35,0.2
2022,1,38360,10.35,352.3333333333333,3646.65,1.2405871999158884e-05,0.9899616610417824,0.0001082247817889,34.651380896338125,문헌기반,0.45,0.35,0.2
2022,1,11050,293310.96,44.66610041983158,13101056.793597205,0.5205631676653069,0.0146559862030455,0.5169009865084905,34.276321792215214,문헌기반,0.45,0.35,0.2
2022,1,38370,7.16,347.0,2484.52,6.744250872217993e-06,0.973054984901626,6.236988638593595e-05,34.05847536057387,문헌기반,0.45,0.35,0.2
2022,1,36400,42.45,336.3333333333333,14277.35,6.937704384078983e-05,0.9392416326213135,0.0005276870076683,32.88713284887218,문헌기반,0.45,0.35,0.2
2022,1,36480,13.75,319.6666666666667,4395.416666666667,1.844020172693288e-05,0.8864082696833254,0.0001377693397827,31.027874634789757,문헌기반,0.45,0.35,0.2
2022,1,11200,266521.0,43.1673054245283,11504993.409050709,0.4730162700082844,0.0099048034056556,0.4539241082289416,30.71088243414958,문헌기반,0.45,0.35,0.2
2022,1,11170,265101.37,43.22890032809141,11460040.700570485,0.4704967066225669,0.0101000593593604,0.4521503808959888,30.568861493512905,문헌기반,0.45,0.35,0.2
2022,1,38090,127.62,313.56410256410254,40017.050769230766,0.0002205370035215,0.8670631306383386,0.0015433145936344,30.388000029373007,문헌기반,0.45,0.35,0.2
2022,1,11150,272275.63,40.04276351424548,10902668.662782202,0.4832296037969139,0.0,0.4301578013279847,30.34848819742082,문헌기반,0.45,0.35,0.2
2022,1,11010,226935.95,56.81586540735719,12893562.39129074,0.4027606100111021,0.0531707627948777,0.5087137491817882,30.15947913195609,문헌기반,0.45,0.35,0.2
2022,1,36390,13.11,306.0,4011.66,1.730432789582248e-05,0.8430849120741748,0.0001226272112685,29.5112031615768,문헌기반,0.45,0.35,0.2
2022,1,37070,44.26,305.8181818181818,13535.512727272726,7.258943701939892e-05,0.8425085481148514,0.0004984158671358,29.50103402602839,문헌기반,0.45,0.35,0.2
2022,1,38050,69.71,302.44444444444446,21083.402222222223,0.0001177581698346,0.831813794647404,0.0007962376971416,29.13470668424453,문헌기반,0.45,0.35,0.2
2022,1,36380,27.95,302.375,8451.38125,4.364240235469485e-05,0.8315936556351623,0.0002978080890854,29.11369801711835,문헌기반,0.45,0.35,0.2
2022,1,35360,17.810000000000002,298.0,5307.380000000001,2.5645901343039478e-05,0.8177248978639404,0.0001737532514461,28.625000555827278,문헌기반,0.45,0.35,0.2
2022,1,38340,35.29,297.75,10507.5975,5.666945535524224e-05,0.8169323974198706,0.0003789415088146,28.602762865362745,문헌기반,0.45,0.35,0.2
2022,1,11070,254105.1,40.79104774347468,10365213.265960408,0.4509804951650288,0.0023720623358183,0.4089510852075281,28.556166168330503,문헌기반,0.45,0.35,0.2
2022,1,11060,243929.36,44.155743651753326,10770882.28929625,0.4329205626991174,0.0130381543417013,0.4249578233808144,28.43691719103612,문헌기반,0.45,0.35,0.2
2022,1,38080,27.19,294.125,7997.25875,4.229355218025125e-05,0.8054411409808583,0.0002798894915639,28.197940934009424,문헌기반,0.45,0.35,0.2
2022,1,11040,244069.9,43.16538822679668,10535371.987975445,0.4331699934932178,0.0098987258854409,0.4156651450802752,28.15240801479074,문헌기반,0.45,0.35,0.2
2022,1,37340,10.41,291.75,3037.1175,1.2512360170825486e-05,0.7979123867621949,8.417407400908056e-05,27.929180074364684,문헌기반,0.45,0.35,0.2
2022,1,11030,230693.83,47.59691885295912,10980315.506388346,0.4094301061868101,0.0239466858420119,0.4332215617437183,27.926920017751243,문헌기반,0.45,0.35,0.2
2022,1,38350,69.02,291.3888888888889,20111.661111111112,0.0001165335558604,0.7967676638985386,0.0007578950960481,27.90727014838353,문헌기반,0.45,0.35,0.2
2022,1,38400,7.67,287.0,2201.29,7.649400331384092e-06,0.7828548783248682,5.1194301877313936e-05,27.40128885042285,문헌기반,0.45,0.35,0.2
2022,1,37350,24.49,283.8,6950.262,3.750158445525425e-05,0.7727108726407745,0.0002385774813253,27.051339663354103,문헌기반,0.45,0.35,0.2
2022,1,11130,227741.56,45.17734754986613,10288759.607668689,0.4041904089440409,0.0162766405133727,0.4059344050562997,26.87693892157589,문헌기반,0.45,0.35,0.2
2022,1,36410,23.03,282.0,6494.46,3.4910372278033666e-05,0.7670048694434718,0.0002205926147145,26.85115324956831,문헌기반,0.45,0.35,0.2
2022,1,36360,11.0,281.25,3093.75,1.3559493858880386e-05,0.7646273681112623,8.640865823280168e-05,26.76429623428248,문헌기반,0.45,0.35,0.2
2022,1,38060,55.48,280.3684210526316,15554.84,9.25027251210531e-05,0.7618327612821739,0.0005780937352534,26.679871142211603,문헌기반,0.45,0.35,0.2
2022,1,38111,123.41,278.175,34329.57675,0.0002130650834762,0.7548796126492034,0.0013189003488775,26.4567523784561,문헌기반,0.45,0.35,0.2
2022,1,36460,7.9,276.5,2184.35,8.057604989439392e-06,0.7495698596739356,5.052588962728372e-05,26.236318198604813,문헌기반,0.45,0.35,0.2
2022,1,21310,128.8,276.11538461538464,35563.66153846154,0.0002226312708976,0.7483506282215205,0.0013675944096911,26.229642283137437,문헌기반,0.45,0.35,0.2
