month,자치구,지역,소음 평균(dB)
2023.5,Dongdaemun-gu,roads_and_parks,64.0274750879658
2023.6,Dongdaemun-gu,roads_and_parks,64.19087950261125
2023.7,Dongdaemun-gu,roads_and_parks,64.4789204658764
2023.8,Dongdaemun-gu,roads_and_parks,64.75387188349754
2023.9,Dongdaemun-gu,roads_and_parks,63.90415440416575
2023.10,Dongdaemun-gu,roads_and_parks,64.07731190135668
2023.11,Dongdaemun-gu,roads_and_parks,64.28812759594321
2023.12,Dongdaemun-gu,roads_and_parks,63.70062972866061
2023.1,Dongjak-gu,commercial_area,48.57165115849334
2023.2,Dongjak-gu,commercial_area,48.36483160546136
2023.3,Dongjak-gu,commercial_area,48.3523990227216
2023.4,Dongjak-gu,commercial_area,47.67237939656051
2023.5,Dongjak-gu,commercial_area,48.81356861143112
2023.6,Dongjak-gu,commercial_area,49.31792868909716
2023.7,Dongjak-gu,commercial_area,51.40245426301513
2023.8,Dongjak-gu,commercial_area,52.418993595933486
2023.9,Dongjak-gu,commercial_area,48.57981315233035
2023.10,Dongjak-gu,commercial_area,48.000947971984814
2023.11,Dongjak-gu,commercial_area,48.76263245277428
2023.12,Dongjak-gu,commercial_area,47.49452639211713
2023.1,Dongjak-gu,industrial_area,47.43555722414021
2023.2,Dongjak-gu,industrial_area,47.19517627940203
2023.3,Dongjak-gu,industrial_area,46.81570285621659
2023.4,Dongjak-gu,industrial_area,45.91118991671603
2023.5,Dongjak-gu,industrial_area,45.62769432867911
2023.6,Dongjak-gu,industrial_area,45.12055480865639
2023.7,Dongjak-gu,industrial_area,47.39835182373757
2023.8,Dongjak-gu,industrial_area,49.83016639935806
2023.9,Dongjak-gu,industrial_area,45.25321315040196
2023.10,Dongjak-gu,industrial_area,45.607590099050334
2023.11,Dongjak-gu,industrial_area,47.47539918841112
2023.12,Dongjak-gu,industrial_area,47.99920582063018
2023.1,Dongjak-gu,residential_area,48.37361141594647
2023.2,Dongjak-gu,residential_area,48.29800258271791
2023.3,Dongjak-gu,residential_area,48.62480667369348
2023.4,Dongjak-gu,residential_area,48.51204288017099
2023.5,Dongjak-gu,residential_area,48.812266846474856
2023.6,Dongjak-gu,residential_area,48.704007781555056
2023.7,Dongjak-gu,residential_area,63.90585122262283
2023.8,Dongjak-gu,residential_area,51.94866622784346
2023.9,Dongjak-gu,residential_area,49.31577883460149
2023.10,Dongjak-gu,residential_area,47.86227645016635
2023.11,Dongjak-gu,residential_area,48.24366868848503
2023.12,Dongjak-gu,residential_area,47.92974220928796
2023.1,Dongjak-gu,roads_and_parks,56.48494118911203
2023.2,Dongjak-gu,roads_and_parks,55.441988084028104
2023.3,Dongjak-gu,roads_and_parks,55.20203360299895
2023.4,Dongjak-gu,roads_and_parks,55.275035456880026
2023.5,Dongjak-gu,roads_and_parks,55.21533607373011
2023.6,Dongjak-gu,roads_and_parks,54.86459043731747
2023.7,Dongjak-gu,roads_and_parks,55.003540323385934
2023.8,Dongjak-gu,roads_and_parks,54.84131855973707
2023.9,Dongjak-gu,roads_and_parks,54.21728775056785
2023.10,Dongjak-gu,roads_and_parks,54.29725412487724
2023.11,Dongjak-gu,roads_and_parks,54.898024182608644
2023.12,Dongjak-gu,roads_and_parks,54.6842080414134
2023.1,Dongjak-gu,traditional_markets,48.49192461948789
2023.2,Dongjak-gu,traditional_markets,48.176510590175084
2023.3,Dongjak-gu,traditional_markets,48.025526878956086
2023.4,Dongjak-gu,traditional_markets,47.73556196887514
2023.5,Dongjak-gu,traditional_markets,48.777781491528245
2023.6,Dongjak-gu,traditional_markets,49.19188830159317
2023.7,Dongjak-gu,traditional_markets,49.86849989728439
2023.8,Dongjak-gu,traditional_markets,50.55317757394913
2023.9,Dongjak-gu,traditional_markets,49.421333362290845
2023.10,Dongjak-gu,traditional_markets,48.713149864291886
2023.11,Dongjak-gu,traditional_markets,49.152614074253314
2023.12,Dongjak-gu,traditional_markets,49.00051628702591
2023.1,Eunpyeong-gu,commercial_area,56.34149351497377
2023.2,Eunpyeong-gu,commercial_area,56.24862187462616
2023.3,Eunpyeong-gu,commercial_area,56.326902381552465
2023.4,Eunpyeong-gu,commercial_area,55.63861671577009
2023.5,Eunpyeong-gu,commercial_area,56.11889087451732
2023.6,Eunpyeong-gu,commercial_area,56.67225579907926
2023.7,Eunpyeong-gu,commercial_area,54.74467793792063
2023.8,Eunpyeong-gu,commercial_area,53.95017701254131
2023.9,Eunpyeong-gu,commercial_area,53.51764736788814
2023.10,Eunpyeong-gu,commercial_area,54.93918809340407
2023.11,Eunpyeong-gu,commercial_area,56.63117351373309
2023.12,Eunpyeong-gu,commercial_area,55.71466600276093
2023.1,Eunpyeong-gu,main_street,68.68148760755386
2023.2,Eunpyeong-gu,main_street,69.38808034222636
2023.3,Eunpyeong-gu,main_street,69.29345111278829
2023.4,Eunpyeong-gu,main_street,68.64459548894395
2023.5,Eunpyeong-gu,main_street,68.96429697756412
2023.6,Eunpyeong-gu,main_street,69.12543276368893
2023.7,Eunpyeong-gu,main_street,69.01523201915187
2023.8,Eunpyeong-gu,main_street,68.83066006308712
2023.9,Eunpyeong-gu,main_street,68.82787105511893
2023.10,Eunpyeong-gu,main_street,68.63934034759566
2023.11,Eunpyeong-gu,main_street,68.7653812169441
2023.12,Eunpyeong-gu,main_street,68.4115089943672
2023.1,Eunpyeong-gu,parks,59.930044311066304
2023.2,Eunpyeong-gu,parks,60.32715221231641
2023.3,Eunpyeong-gu,parks,60.403613861498044
2023.4,Eunpyeong-gu,parks,59.816586194091045
2023.5,Eunpyeong-gu,parks,59.95960908819152
2023.6,Eunpyeong-gu,parks,60.35859040563977
2023.7,Eunpyeong-gu,parks,60.85995550223125
2023.8,Eunpyeong-gu,parks,60.3120210266163
2023.9,Eunpyeong-gu,parks,59.854963358314336
2023.10,Eunpyeong-gu,parks,59.74857514889551
2023.11,Eunpyeong-gu,parks,59.92867270008669
2023.12,Eunpyeong-gu,parks,58.7936206479105
2023.1,Eunpyeong-gu,residential_area,47.002597139466886
2023.2,Eunpyeong-gu,residential_area,46.77271340392787
2023.3,Eunpyeong-gu,residential_area,46.43659876679149
2023.4,Eunpyeong-gu,residential_area,45.87014352805054
2023.5,Eunpyeong-gu,residential_area,46.73944033619396
2023.6,Eunpyeong-gu,residential_area,46.56448391142667
2023.7,Eunpyeong-gu,residential_area,83.17888040399916
2023.8,Eunpyeong-gu,residential_area,47.6637790863928
2023.9,Eunpyeong-gu,residential_area,46.45150332269138
2023.10,Eunpyeong-gu,residential_area,46.168190124579716
2023.11,Eunpyeong-gu,residential_area,46.945273511796245
2023.12,Eunpyeong-gu,residential_area,46.63272875030705
2023.1,Eunpyeong-gu,roads_and_parks,54.62178442248601
2023.2,Eunpyeong-gu,roads_and_parks,57.28226125010574
2023.3,Eunpyeong-gu,roads_and_parks,59.947520453831544
2023.4,Eunpyeong-gu,roads_and_parks,58.16929783253481
2023.5,Eunpyeong-gu,roads_and_parks,59.321214445267834
2023.6,Eunpyeong-gu,roads_and_parks,62.06888608666431
2023.7,Eunpyeong-gu,roads_and_parks,59.98592757192054
2023.8,Eunpyeong-gu,roads_and_parks,59.01227188386445
2023.9,Eunpyeong-gu,roads_and_parks,58.86746112048063
2023.10,Eunpyeong-gu,roads_and_parks,59.2031321132257
2023.11,Eunpyeong-gu,roads_and_parks,58.49447831565322
2023.12,Eunpyeong-gu,roads_and_parks,57.27744165013351
2023.1,Gangbuk-gu,commercial_area,49.71357414260221
2023.2,Gangbuk-gu,commercial_area,49.44128301349589
2023.3,Gangbuk-gu,commercial_area,49.57040465453816
2023.4,Gangbuk-gu,commercial_area,48.84056900343665
2023.5,Gangbuk-gu,commercial_area,49.18793264407553
2023.6,Gangbuk-gu,commercial_area,49.397782332373936
2023.7,Gangbuk-gu,commercial_area,50.07056706409173
2023.8,Gangbuk-gu,commercial_area,50.009955772620515
2023.9,Gangbuk-gu,commercial_area,49.73814201543303
2023.10,Gangbuk-gu,commercial_area,49.67926130544619
