자치구,연도,점수
강남구,2022,19.30555555555556
강남구,2023,20.89930555555556
강남구,2024,19.364583333333336
강동구,2022,11.881944444444445
강동구,2023,10.958333333333334
강동구,2024,10.725694444444445
강북구,2022,11.645833333333334
강북구,2023,9.493055555555555
강북구,2024,10.48263888888889
강서구,2022,14.048611111111112
강서구,2023,13.89236111111111
강서구,2024,12.718750000000002
관악구,2022,10.829861111111112
관악구,2023,9.756944444444446
관악구,2024,10.027777777777777
광진구,2022,11.29513888888889
광진구,2023,9.951388888888893
광진구,2024,9.565972222222223
구로구,2022,10.57986111111111
구로구,2023,10.847222222222223
구로구,2024,9.673611111111112
금천구,2022,8.694444444444446
금천구,2023,9.572916666666668
금천구,2024,7.642361111111112
노원구,2022,8.121527777777779
노원구,2023,8.958333333333334
노원구,2024,8.836805555555557
도봉구,2022,10.083333333333334
도봉구,2023,9.479166666666668
도봉구,2024,9.420138888888893
동대문구,2022,15.510416666666668
동대문구,2023,16.42361111111111
동대문구,2024,16.767361111111114
동작구,2022,9.43402777777778
동작구,2023,8.256944444444445
동작구,2024,8.92361111111111
마포구,2022,14.281250000000002
마포구,2023,12.885416666666668
마포구,2024,14.565972222222223
서대문구,2022,11.36111111111111
서대문구,2023,12.520833333333334
서대문구,2024,14.218750000000002
서초구,2022,15.374999999999998
서초구,2023,15.211805555555555
서초구,2024,15.958333333333334
성동구,2022,14.527777777777777
성동구,2023,15.479166666666668
성동구,2024,16.43402777777778
성북구,2022,10.74652777777778
성북구,2023,12.50347222222222
성북구,2024,12.458333333333334
송파구,2022,11.625000000000002
송파구,2023,11.836805555555555
송파구,2024,11.385416666666668
양천구,2022,10.649305555555555
양천구,2023,10.524305555555555
양천구,2024,10.416666666666668
영등포구,2022,13.916666666666668
영등포구,2023,14.940972222222223
영등포구,2024,13.704861111111112
용산구,2022,13.843750000000002
용산구,2023,14.77777777777778
용산구,2024,13.75
은평구,2022,15.395833333333336
은평구,2023,15.986111111111112
은평구,2024,15.524305555555555
종로구,2022,13.95138888888889
종로구,2023,15.281250000000004
종로구,2024,15.201388888888893
중구,2022,16.03125
중구,2023,11.142361111111112
중구,2024,11.468750000000002
중랑구,2022,10.20138888888889
중랑구,2023,12.250000000000002
중랑구,2024,11.37847222222222
