연도,월,자치구,강수량점수,대기오염점수,불쾌지수점수,쓰레기점수,이상기온점수,환경원점수,환경점수
2022,1,강남구,0.0,63.75132275132274,4.073218798396836,39.68,32.608695652173914,28.022647440378698,7.609796855571904
2022,1,강동구,0.0002005347593582,71.01851851851852,0.844403949507754,82.13,36.95652173913043,38.18992894838321,17.028417398146928
2022,1,강북구,0.0004010695187165,66.88888888888889,2.2209862991147173,94.72,41.30434782608695,41.02692481672185,19.6565129754847
2022,1,강서구,0.0,76.28571428571428,0.0,32.92,100.0,41.841142857142856,20.410776615731795
2022,1,관악구,0.0002005347593582,62.62433862433861,5.416868960625265,76.93,45.65217391304348,38.12471640655335,16.968006738165816
2022,1,광진구,0.0002005347593582,63.42328042328042,6.202261155354639,94.0,43.47826086956522,41.42080059659193,20.02138597605879
2022,1,구로구,0.0004010695187165,59.22222222222222,5.628124719881432,75.63,32.608695652173914,34.617888732759255,13.719401971821526
2022,1,금천구,0.0002005347593582,76.13756613756613,6.856777563044868,81.56,32.608695652173914,39.43264797750885,18.17962964373654
2022,1,노원구,0.0002005347593582,76.68783068783068,3.2238764057662266,67.33,43.47826086956522,38.1440336995843,16.985901615260055
2022,1,도봉구,0.0004010695187165,63.5,1.455566229422993,97.71,45.65217391304348,41.66362824239704,20.246333170772
2022,1,동대문구,0.0002005347593582,72.82010582010581,5.431487388443312,83.36,26.08695652173913,37.53975005300953,16.42611399034867
2022,1,동작구,0.0003372630043753,73.78571428571428,5.613658520911422,83.8,23.91304347826087,37.42255070957819,16.3175445420896
2022,1,마포구,0.0004010695187165,59.95767195767194,3.9831160464684032,72.31,45.65217391304348,36.38067259734051,15.35238442696389
2022,1,서대문구,0.0006016042780748,72.45238095238095,2.174808465067208,83.8,32.608695652173914,38.20729733478003,17.04450687504197
2022,1,서초구,0.0,65.35714285714285,2.4556180392180416,59.94,34.78260869565217,32.50707391840261,11.764015592835243
2022,1,성동구,0.0,55.84656084656084,7.802905537707665,61.96,36.95652173913043,32.51319762467979,11.769688384101377
2022,1,성북구,0.0004010695187165,61.11904761904762,5.4439285370018204,91.89,26.08695652173913,36.90806674946146,15.84094426385733
2022,1,송파구,0.0,72.14550264550263,5.806635020979252,57.68,30.434782608695656,33.21338405503551,12.418317055530284
2022,1,양천구,0.0006016042780748,75.46031746031746,4.50897259605534,70.47,32.608695652173914,36.60971746256496,15.56456372691501
2022,1,영등포구,0.0006016042780748,67.10582010582009,6.225888062242934,76.31,10.869565217391305,32.10237499794648,11.389116406384547
2022,1,용산구,0.0006016042780748,63.62169312169313,6.051252824214544,82.75,21.73913043478261,34.83253559699367,13.918243457944044
2022,1,은평구,0.0006016042780748,70.58201058201057,1.7372553720085626,67.97,39.130434782608695,35.88406046818118,14.892339999384157
2022,1,종로구,0.0003372630043753,73.93121693121692,6.223389045669406,70.5,43.47826086956522,38.82664082189119,17.61824541921651
2022,1,중구,0.0012032085561497,73.84391534391534,5.783472059476832,61.93,26.08695652173913,33.52910942673749,12.710794200909142
2022,1,중랑구,0.0003372630043753,62.76719576719576,5.584495562467967,86.12,39.130434782608695,38.72049267505536,17.519913420091957
