자치구,year_month,강수량점수,대기점수,불쾌지수점수,쓰레기점수,이상기온점수,환경점수
강남구,2022-01,0.0340057658665235,49.42,81.79,42.37,1.4925373134328357,35.02130861585987
강남구,2022-02,0.2607108716433475,58.67,79.21,42.37,2.985074626865672,36.6991570997018
강남구,2022-03,20.202882177578108,61.14,60.7,37.12,11.940298507462686,38.22063613700816
강남구,2022-04,6.462247932260514,59.62,43.25,37.12,20.8955223880597,33.46955406406404
강남구,2022-05,0.6461095514639482,69.31,34.31,35.61,16.417910447761194,31.258803999845032
강남구,2022-06,59.99308549427381,77.63,20.99,31.86,16.417910447761194,41.378199188406995
강남구,2022-07,49.96138456364935,71.2,14.88,29.61,50.74626865671642,43.27953064407315
강남구,2022-08,75.0,79.03,15.23,29.61,25.37313432835821,44.84862686567165
강남구,2022-09,37.80768605876952,78.02,25.57,33.36,13.432835820895525,37.63810437593301
강남구,2022-10,27.14121083196995,72.42,45.81,37.12,10.44776119402985,38.587794405199965
강남구,2022-11,14.148703435715875,57.88,56.73,39.37,5.970149253731343,34.81977053788945
강남구,2022-12,0.3740634245317595,65.0,81.87,42.37,0.0,37.922812684906354
강남구,2023-01,8.13986571500901,53.35,86.64,43.4,13.432835820895525,40.9925403071809
강남구,2023-02,0.0566762764442059,49.49,76.59,43.4,4.477611940298507,34.802857643348545
강남구,2023-03,0.5440922538643775,40.59,55.72,38.22,14.925373134328357,29.999893077638546
강남구,2023-04,15.814985963175532,56.72,50.9,38.22,20.8955223880597,36.510101670247046
강남구,2023-05,31.17656171479742,63.85,36.62,36.74,26.86567164179105,39.050446671317694
강남구,2023-06,36.16522645950858,66.61,25.92,33.04,20.8955223880597,36.52614976951366
강남구,2023-07,70.0,70.58,19.83,30.82,44.776119402985074,47.201223880597006
강남구,2023-08,46.94620665681759,75.28,22.95,30.82,55.223880597014926,46.2440174507665
강남구,2023-09,34.362920868582826,78.65,35.99,34.52,16.417910447761194,39.98816626326881
강남구,2023-10,12.561767695278109,71.69,47.43,38.22,17.91044776119403,37.562443091294426
강남구,2023-11,16.585783322816734,69.35,69.29,40.44,11.940298507462686,41.52121636605589
강남구,2023-12,21.404419238195278,62.26,83.73,43.4,11.940298507462686,44.5469435491316
강남구,2024-01,6.405571655816307,59.85,87.49,47.52,1.4925373134328357,40.55162179384983
