,월,자치구,지역,소음(dB)
121,01월,중구,roads_and_parks,53.086506939255216
122,01월,중랑구,commercial_area,44.117390625363655
123,01월,중랑구,industrial_area,38.18258848678203
124,01월,중랑구,residential_area,46.13831875675984
125,01월,중랑구,roads_and_parks,57.020150196345604
126,01월,중랑구,traditional_markets,42.845600814386685
127,02월,강남구,commercial_area,53.48999667067227
128,02월,강남구,industrial_area,54.58189995917166
129,02월,강남구,main_street,62.080286633651276
130,02월,강남구,residential_area,47.40755615992478
131,02월,강남구,roads_and_parks,59.884605919664665
132,02월,강남구,traditional_markets,48.59726733016492
133,02월,강동구,commercial_area,53.06181860440229
134,02월,강동구,industrial_area,51.71962876852614
135,02월,강동구,main_street,66.33181258379902
136,02월,강동구,parks,55.822031039136306
137,02월,강동구,residential_area,53.8974657910799
138,02월,강동구,roads_and_parks,62.69532837414149
139,02월,강동구,traditional_markets,46.634643075824755
140,02월,강북구,commercial_area,49.77128620229735
141,02월,강북구,parks,54.886714770797965
142,02월,강북구,residential_area,47.92251501547368
143,02월,강북구,roads_and_parks,49.882607482194615
144,02월,강북구,traditional_markets,50.1806008987177
145,02월,강서구,commercial_area,65.70813000568164
146,02월,강서구,industrial_area,51.368336219847656
147,02월,강서구,main_street,59.72279424910409
148,02월,강서구,residential_area,50.00974657910995
149,02월,강서구,roads_and_parks,58.59597004776584
150,02월,강서구,traditional_markets,54.58207962290899
151,02월,관악구,commercial_area,49.423121793520274
152,02월,관악구,industrial_area,44.273621315082416
153,02월,관악구,main_street,57.09004862680638
154,02월,관악구,residential_area,47.43734948146659
155,02월,관악구,roads_and_parks,49.3273610813012
156,02월,관악구,traditional_markets,50.48097619226652
157,02월,광진구,commercial_area,55.230354115735906
158,02월,광진구,main_street,58.53704312490012
159,02월,광진구,residential_area,46.86864863549118
160,02월,광진구,roads_and_parks,66.6295983053145
161,02월,광진구,traditional_markets,48.947093566695386
162,02월,구로구,commercial_area,43.86450492182976
163,02월,구로구,industrial_area,51.05654988922226
164,02월,구로구,residential_area,48.020460951442864
165,02월,구로구,roads_and_parks,65.24591598870923
166,02월,구로구,traditional_markets,43.64904522155424
167,02월,금천구,commercial_area,55.47450422998018
168,02월,금천구,industrial_area,47.73126777718448
169,02월,금천구,public_facilities,43.39549784763606
170,02월,금천구,residential_area,50.035316241618794
171,02월,금천구,roads_and_parks,48.459774673776174
172,02월,노원구,commercial_area,52.77747852663551
173,02월,노원구,industrial_area,44.8770723256601
174,02월,노원구,residential_area,48.81474783701111
175,02월,노원구,roads_and_parks,51.288169971903834
176,02월,노원구,traditional_markets,43.745180706794976
177,02월,도봉구,commercial_area,54.87542735042735
178,02월,도봉구,industrial_area,50.31614609030493
179,02월,도봉구,main_street,59.11337579617834
180,02월,도봉구,residential_area,48.36717358420178
181,02월,도봉구,roads_and_parks,53.80182551192236
182,02월,도봉구,traditional_markets,42.53998258206442
183,02월,동대문구,commercial_area,50.7334266102443
184,02월,동대문구,residential_area,47.15331177787822
185,02월,동대문구,roads_and_parks,64.62027043110783
186,02월,동작구,commercial_area,49.10407497221172
187,02월,동작구,industrial_area,46.41869967551977
188,02월,동작구,residential_area,48.49257188863869
189,02월,동작구,roads_and_parks,55.21889087041174
190,02월,동작구,traditional_markets,49.02572292495178
191,02월,마포구,commercial_area,54.121929026387626
192,02월,마포구,industrial_area,45.82908395865104
193,02월,마포구,main_street,58.00250424448217
194,02월,마포구,residential_area,46.75426790876197
195,02월,마포구,roads_and_parks,67.88377500635566
196,02월,마포구,traditional_markets,44.71210808110375
197,02월,서대문구,commercial_area,45.14977303747208
198,02월,서대문구,public_facilities,55.26476828148939
199,02월,서대문구,residential_area,46.06364316757314
200,02월,서대문구,roads_and_parks,46.203172286284236
201,02월,서대문구,traditional_markets,55.32124087217886
202,02월,서초구,commercial_area,54.11209328306103
203,02월,서초구,industrial_area,43.9211031023751
204,02월,서초구,main_street,66.76359667662591
205,02월,서초구,residential_area,47.92082968015812
206,02월,서초구,roads_and_parks,53.04227935763987
207,02월,성동구,commercial_area,50.12945501986598
208,02월,성동구,industrial_area,49.564676959838245
209,02월,성동구,main_street,51.26070365368039
210,02월,성동구,parks,62.697212519690424
211,02월,성동구,residential_area,47.08488213537218
212,02월,성동구,roads_and_parks,70.07722127900396
213,02월,성북구,commercial_area,56.52133157072467
214,02월,성북구,industrial_area,56.29091808745569
215,02월,성북구,residential_area,46.073744833292494
216,02월,성북구,roads_and_parks,57.96491228070175
217,02월,송파구,commercial_area,47.93298352627361
218,02월,송파구,industrial_area,46.39333662118472
219,02월,송파구,parks,56.75512173601345
220,02월,송파구,residential_area,46.377795373739836
221,02월,송파구,roads_and_parks,60.02110238402102
222,02월,송파구,traditional_markets,56.186738236667054
223,02월,양천구,commercial_area,49.24450764289474
224,02월,양천구,industrial_area,50.600748718459236
225,02월,양천구,main_street,65.27573685132757
226,02월,양천구,residential_area,47.10547964882674
227,02월,양천구,roads_and_parks,62.30416800988725
228,02월,양천구,traditional_markets,45.7432922876149
229,02월,영등포구,commercial_area,48.58111559191864
230,02월,영등포구,industrial_area,46.328067864841366
231,02월,영등포구,residential_area,46.82080133132295
232,02월,영등포구,roads_and_parks,67.45891324265581
233,02월,용산구,commercial_area,44.08040442733316
234,02월,용산구,main_street,62.20588710549919
235,02월,용산구,residential_area,46.723855593078596
236,02월,용산구,roads_and_parks,58.70175438596491
237,02월,은평구,commercial_area,56.641056545641625
238,02월,은평구,main_street,69.06066351975537
239,02월,은평구,parks,59.81536587513576
240,02월,은평구,residential_area,46.95545150835489
241,02월,은평구,roads_and_parks,58.24672935313146
242,02월,종로구,main_street,50.59093802893391
243,02월,종로구,public_facilities,44.022603978300175
244,02월,종로구,residential_area,45.725953012515234
