YEAR,MONTH,HOUR,HALF_HOUR,STATION_ID,LINE_NM,"STATION,_NM",GETON_CNT,GETOFF_CNT,gu_name,gu_code
2023,12,0,0,150,1호선,서울역,2188,779,중구,11140
2023,12,0,0,151,1호선,시청,415,244,중구,11140
2023,12,0,0,152,1호선,종각,1639,345,종로구,11110
2023,12,0,0,153,1호선,종로3가,1381,586,종로구,11110
2023,12,0,0,154,1호선,종로5가,326,204,종로구,11110
2023,12,0,0,155,1호선,동대문,424,665,종로구,11110
2023,12,0,0,156,1호선,신설동,241,315,동대문구,11230
2023,12,0,0,157,1호선,제기동,97,167,동대문구,11230
2023,12,0,0,158,1호선,청량리(서울시립대입구),111,456,동대문구,11230
2023,12,0,0,159,1호선,동묘앞,106,469,종로구,11110
2023,12,0,0,201,2호선,시청,1499,487,중구,11140
2023,12,0,0,202,2호선,을지로입구,3655,970,중구,11140
2023,12,0,0,203,2호선,을지로3가,3648,711,중구,11140
2023,12,0,0,204,2호선,을지로4가,830,619,중구,11140
2023,12,0,0,205,2호선,동대문역사문화공원(DDP),1444,1163,중구,11140
2023,12,0,0,206,2호선,신당,1287,1460,중구,11140
2023,12,0,0,207,2호선,상왕십리,394,1519,성동구,11200
2023,12,0,0,208,2호선,왕십리(성동구청),2138,2003,성동구,11200
2023,12,0,0,209,2호선,한양대,1139,512,성동구,11200
2023,12,0,0,210,2호선,뚝섬,1621,932,성동구,11200
2023,12,0,0,211,2호선,성수,3327,1921,성동구,11200
2023,12,0,0,212,2호선,건대입구,6628,3966,광진구,11215
2023,12,0,0,213,2호선,구의(광진구청),1019,2543,광진구,11215
2023,12,0,0,214,2호선,강변(동서울터미널),809,1941,광진구,11215
2023,12,0,0,215,2호선,잠실나루,284,949,광진구,11215
2023,12,0,0,216,2호선,잠실(송파구청),4296,3390,송파구,11710
2023,12,0,0,217,2호선,잠실새내,1932,1768,송파구,11710
2023,12,0,0,218,2호선,종합운동장,267,594,송파구,11710
2023,12,0,0,219,2호선,삼성(무역센터),2362,1070,강남구,11680
2023,12,0,0,220,2호선,선릉,4007,1672,강남구,11680
2023,12,0,0,221,2호선,역삼,3605,1230,강남구,11680
2023,12,0,0,222,2호선,강남,12638,2648,강남구,11680
2023,12,0,0,223,2호선,교대(법원.검찰청),3052,1419,서초구,11650
2023,12,0,0,224,2호선,서초,816,619,서초구,11650
2023,12,0,0,225,2호선,방배,1080,1069,서초구,11650
2023,12,0,0,226,2호선,사당,5671,4171,동작구,11590
2023,12,0,0,227,2호선,낙성대(강감찬),1174,3405,관악구,11620
2023,12,0,0,228,2호선,서울대입구(관악구청),3218,5648,관악구,11620
2023,12,0,0,229,2호선,봉천,677,2781,관악구,11620
2023,12,0,0,230,2호선,신림,3099,6893,관악구,11620
2023,12,0,0,231,2호선,신대방,736,3011,동작구,11590
2023,12,0,0,232,2호선,구로디지털단지,2840,4297,구로구,11530
2023,12,0,0,233,2호선,대림(구로구청),550,1909,구로구,11530
2023,12,0,0,234,2호선,신도림,2139,6601,구로구,11530
2023,12,0,0,235,2호선,문래,1634,1200,영등포구,11560
2023,12,0,0,236,2호선,영등포구청,1403,1651,영등포구,11560
2023,12,0,0,237,2호선,당산,1020,1865,영등포구,11560
2023,12,0,0,238,2호선,합정,5330,2553,마포구,11440
2023,12,0,0,239,2호선,홍대입구,10380,4192,마포구,11440
2023,12,0,0,240,2호선,신촌,5320,2465,마포구,11440
2023,12,0,0,241,2호선,이대,721,1434,서대문구,11410
2023,12,0,0,242,2호선,아현,319,922,마포구,11440
2023,12,0,0,243,2호선,충정로(경기대입구),493,777,서대문구,11410
2023,12,0,0,244,2호선,용답,91,367,성동구,11200
2023,12,0,0,245,2호선,신답,21,200,성동구,11200
2023,12,0,0,246,2호선,신설동,69,251,동대문구,11230
2023,12,0,0,247,2호선,도림천,30,76,구로구,11530
2023,12,0,0,248,2호선,양천구청,131,548,양천구,11470
2023,12,0,0,249,2호선,신정네거리,233,649,양천구,11470
2023,12,0,0,250,2호선,용두(동대문구청),50,196,동대문구,11230
2023,12,0,0,309,3호선,지축,148,78,,
2023,12,0,0,310,3호선,구파발,405,1641,은평구,11380
2023,12,0,0,311,3호선,연신내,1032,2046,은평구,11380
2023,12,0,0,312,3호선,불광,373,949,은평구,11380
