YEAR,MONTH,HOUR,HALF_HOUR,STATION_ID,LINE_NM,"STATION,_NM",GETON_CNT,GETOFF_CNT,gu_name,gu_code
2023,4,0,0,150,1호선,서울역,1882,616,중구,11140
2023,4,0,0,151,1호선,시청,233,208,중구,11140
2023,4,0,0,152,1호선,종각,816,197,종로구,11110
2023,4,0,0,153,1호선,종로3가,1046,416,종로구,11110
2023,4,0,0,154,1호선,종로5가,214,140,종로구,11110
2023,4,0,0,155,1호선,동대문,396,616,종로구,11110
2023,4,0,0,156,1호선,신설동,322,222,동대문구,11230
2023,4,0,0,157,1호선,제기동,111,111,동대문구,11230
2023,4,0,0,158,1호선,청량리(서울시립대입구),118,219,동대문구,11230
2023,4,0,0,159,1호선,동묘앞,63,282,종로구,11110
2023,4,0,0,201,2호선,시청,1076,450,중구,11140
2023,4,0,0,202,2호선,을지로입구,2524,1003,중구,11140
2023,4,0,0,203,2호선,을지로3가,2680,581,중구,11140
2023,4,0,0,204,2호선,을지로4가,706,558,중구,11140
2023,4,0,0,205,2호선,동대문역사문화공원(DDP),1269,1128,중구,11140
2023,4,0,0,206,2호선,신당,937,1170,중구,11140
2023,4,0,0,207,2호선,상왕십리,320,1300,성동구,11200
2023,4,0,0,208,2호선,왕십리(성동구청),2174,1669,성동구,11200
2023,4,0,0,209,2호선,한양대,1457,436,성동구,11200
2023,4,0,0,210,2호선,뚝섬,1182,778,성동구,11200
2023,4,0,0,211,2호선,성수,2348,1887,성동구,11200
2023,4,0,0,212,2호선,건대입구,6291,3384,광진구,11215
2023,4,0,0,213,2호선,구의(광진구청),989,2191,광진구,11215
2023,4,0,0,214,2호선,강변(동서울터미널),664,1605,광진구,11215
2023,4,0,0,215,2호선,잠실나루,289,820,광진구,11215
2023,4,0,0,216,2호선,잠실(송파구청),3604,2862,송파구,11710
2023,4,0,0,217,2호선,잠실새내,1884,1456,송파구,11710
2023,4,0,0,218,2호선,종합운동장,354,420,송파구,11710
2023,4,0,0,219,2호선,삼성(무역센터),2006,1016,강남구,11680
2023,4,0,0,220,2호선,선릉,3220,1368,강남구,11680
2023,4,0,0,221,2호선,역삼,2653,982,강남구,11680
2023,4,0,0,222,2호선,강남,10250,2415,강남구,11680
2023,4,0,0,223,2호선,교대(법원.검찰청),2417,1108,서초구,11650
2023,4,0,0,224,2호선,서초,726,532,서초구,11650
2023,4,0,0,225,2호선,방배,1199,905,서초구,11650
2023,4,0,0,226,2호선,사당,4154,3365,동작구,11590
2023,4,0,0,227,2호선,낙성대(강감찬),1192,3127,관악구,11620
2023,4,0,0,228,2호선,서울대입구(관악구청),3118,5074,관악구,11620
2023,4,0,0,229,2호선,봉천,621,2315,관악구,11620
2023,4,0,0,230,2호선,신림,3257,6298,관악구,11620
2023,4,0,0,231,2호선,신대방,725,2814,동작구,11590
2023,4,0,0,232,2호선,구로디지털단지,2505,3621,구로구,11530
2023,4,0,0,233,2호선,대림(구로구청),549,1611,구로구,11530
2023,4,0,0,234,2호선,신도림,1872,5331,구로구,11530
2023,4,0,0,235,2호선,문래,1366,858,영등포구,11560
2023,4,0,0,236,2호선,영등포구청,1142,1390,영등포구,11560
2023,4,0,0,237,2호선,당산,968,1605,영등포구,11560
2023,4,0,0,238,2호선,합정,4371,2115,마포구,11440
2023,4,0,0,239,2호선,홍대입구,9421,3907,마포구,11440
2023,4,0,0,240,2호선,신촌,5364,1978,마포구,11440
2023,4,0,0,241,2호선,이대,838,1252,서대문구,11410
2023,4,0,0,242,2호선,아현,299,854,마포구,11440
2023,4,0,0,243,2호선,충정로(경기대입구),421,660,서대문구,11410
2023,4,0,0,244,2호선,용답,106,276,성동구,11200
2023,4,0,0,245,2호선,신답,28,147,성동구,11200
2023,4,0,0,246,2호선,신설동,79,248,동대문구,11230
2023,4,0,0,247,2호선,도림천,35,49,구로구,11530
2023,4,0,0,248,2호선,양천구청,134,450,양천구,11470
2023,4,0,0,249,2호선,신정네거리,221,633,양천구,11470
2023,4,0,0,250,2호선,용두(동대문구청),32,184,동대문구,11230
2023,4,0,0,309,3호선,지축,130,42,,
2023,4,0,0,310,3호선,구파발,359,1246,은평구,11380
2023,4,0,0,311,3호선,연신내,1015,1857,은평구,11380
2023,4,0,0,312,3호선,불광,328,885,은평구,11380
2023,4,0,0,313,3호선,녹번,192,765,은평구,11380
2023,4,0,0,314,3호선,홍제,316,831,서대문구,11410
2023,4,0,0,315,3호선,무악재,60,239,서대문구,11410
2023,4,0,0,316,3호선,독립문,109,571,서대문구,11410
2023,4,0,0,317,3호선,경복궁(정부서울청사),821,379,종로구,11110
2023,4,0,0,318,3호선,안국,528,222,종로구,11110
2023,4,0,0,319,3호선,종로3가,526,178,종로구,11110
2023,4,0,0,320,3호선,을지로3가,937,244,중구,11140
2023,4,0,0,322,3호선,동대입구,389,241,중구,11140
2023,4,0,0,323,3호선,약수,641,1056,중구,11140
2023,4,0,0,324,3호선,금호,183,519,성동구,11200
2023,4,0,0,325,3호선,옥수,306,405,성동구,11200
2023,4,0,0,326,3호선,압구정,1430,636,강남구,11680
2023,4,0,0,327,3호선,신사,2834,840,강남구,11680
2023,4,0,0,328,3호선,잠원,87,301,서초구,11650
2023,4,0,0,329,3호선,고속터미널,1526,463,서초구,11650
2023,4,0,0,330,3호선,교대(법원.검찰청),1122,283,서초구,11650
2023,4,0,0,331,3호선,남부터미널(예술의전당),649,682,서초구,11650
2023,4,0,0,332,3호선,양재(서초구청),1253,986,서초구,11650
2023,4,0,0,333,3호선,매봉,271,339,강남구,11680
2023,4,0,0,334,3호선,도곡,142,406,강남구,11680
2023,4,0,0,335,3호선,대치,365,398,강남구,11680
2023,4,0,0,336,3호선,학여울,32,76,강남구,11680
2023,4,0,0,337,3호선,대청,175,598,강남구,11680
2023,4,0,0,338,3호선,일원,93,302,강남구,11680
2023,4,0,0,339,3호선,수서,526,644,강남구,11680
2023,4,0,0,340,3호선,가락시장,249,276,송파구,11710
2023,4,0,0,341,3호선,경찰병원,140,208,송파구,11710
2023,4,0,0,342,3호선,오금,88,317,송파구,11710
2023,4,0,0,409,4호선,불암산,230,771,노원구,11350
2023,4,0,0,410,4호선,상계,404,1246,노원구,11350
2023,4,0,0,411,4호선,노원,1643,1434,노원구,11350
2023,4,0,0,412,4호선,창동,678,1177,도봉구,11320
2023,4,0,0,413,4호선,쌍문,481,2215,도봉구,11320
2023,4,0,0,414,4호선,수유(강북구청),1320,2263,강북구,11305
2023,4,0,0,415,4호선,미아(서울사이버대학),263,829,강북구,11305
2023,4,0,0,416,4호선,미아사거리,765,1162,강북구,11305
2023,4,0,0,417,4호선,길음,456,1130,성북구,11290
2023,4,0,0,418,4호선,성신여대입구(돈암),1608,1286,성북구,11290
2023,4,0,0,419,4호선,한성대입구(삼선교),614,1406,성북구,11290
2023,4,0,0,420,4호선,혜화,3014,1008,종로구,11110
2023,4,0,0,421,4호선,동대문,623,329,종로구,11110
2023,4,0,0,422,4호선,동대문역사문화공원(DDP),1492,711,중구,11140
2023,4,0,0,423,4호선,충무로,3453,843,중구,11140
2023,4,0,0,424,4호선,명동,1136,529,중구,11140
2023,4,0,0,425,4호선,회현(남대문시장),521,336,중구,11140
2023,4,0,0,426,4호선,서울역,380,511,중구,11140
2023,4,0,0,427,4호선,숙대입구(갈월),1061,643,용산구,11170
2023,4,0,0,428,4호선,삼각지,668,318,용산구,11170
2023,4,0,0,429,4호선,신용산,1280,356,용산구,11170
2023,4,0,0,430,4호선,이촌(국립중앙박물관),149,321,용산구,11170
2023,4,0,0,431,4호선,동작(현충원),57,73,동작구,11590
2023,4,0,0,432,4호선,총신대입구(이수),774,948,동작구,11590
2023,4,0,0,433,4호선,사당,1137,1450,동작구,11590
2023,4,0,0,434,4호선,남태령,15,6,서초구,11650
2023,4,0,0,2511,5호선,방화,109,301,강서구,11500
2023,4,0,0,2512,5호선,개화산,91,250,강서구,11500
2023,4,0,0,2513,5호선,김포공항,188,77,강서구,11500
2023,4,0,0,2514,5호선,송정,207,349,강서구,11500
2023,4,0,0,2515,5호선,마곡,401,378,강서구,11500
2023,4,0,0,2516,5호선,발산,1238,475,강서구,11500
2023,4,0,0,2517,5호선,우장산,240,525,강서구,11500
2023,4,0,0,2518,5호선,화곡,640,1347,강서구,11500
2023,4,0,0,2519,5호선,까치산,672,1851,강서구,11500
2023,4,0,0,2520,5호선,신정(은행정),196,614,양천구,11470
2023,4,0,0,2521,5호선,목동,543,671,양천구,11470
2023,4,0,0,2522,5호선,오목교(목동운동장앞),806,526,양천구,11470
2023,4,0,0,2523,5호선,양평,142,312,영등포구,11560
2023,4,0,0,2524,5호선,영등포구청,198,170,영등포구,11560
2023,4,0,0,2525,5호선,영등포시장,445,389,영등포구,11560
2023,4,0,0,2526,5호선,신길,190,449,영등포구,11560
2023,4,0,0,2527,5호선,여의도,942,514,영등포구,11560
2023,4,0,0,2528,5호선,여의나루,733,226,영등포구,11560
2023,4,0,0,2529,5호선,마포,641,408,마포구,11440
2023,4,0,0,2530,5호선,공덕,892,496,마포구,11440
2023,4,0,0,2531,5호선,애오개,107,545,마포구,11440
2023,4,0,0,2532,5호선,충정로(경기대입구),138,187,서대문구,11410
2023,4,0,0,2533,5호선,서대문,563,420,서대문구,11410
2023,4,0,0,2534,5호선,광화문(세종문화회관),1319,179,종로구,11110
2023,4,0,0,2535,5호선,종로3가,1689,340,종로구,11110
2023,4,0,0,2536,5호선,을지로4가,250,143,중구,11140
2023,4,0,0,2537,5호선,동대문역사문화공원(DDP),168,96,중구,11140
2023,4,0,0,2538,5호선,청구,183,251,성동구,11200
2023,4,0,0,2539,5호선,신금호,167,471,성동구,11200
2023,4,0,0,2540,5호선,행당,153,491,성동구,11200
2023,4,0,0,2541,5호선,왕십리(성동구청),429,391,성동구,11200
2023,4,0,0,2542,5호선,마장,145,315,성동구,11200
2023,4,0,0,2543,5호선,답십리,381,968,동대문구,11230
2023,4,0,0,2544,5호선,장한평,500,1101,성동구,11200
2023,4,0,0,2545,5호선,군자(능동),851,1611,광진구,11215
2023,4,0,0,2546,5호선,아차산(어린이대공원후문),309,640,광진구,11215
2023,4,0,0,2547,5호선,광나루(장신대),351,545,광진구,11215
2023,4,0,0,2548,5호선,천호(풍납토성),1405,632,강동구,11740
2023,4,0,0,2549,5호선,강동,528,1050,강동구,11740
2023,4,0,0,2550,5호선,길동,317,526,강동구,11740
2023,4,0,0,2551,5호선,굽은다리(강동구민회관앞),202,605,강동구,11740
2023,4,0,0,2552,5호선,명일,277,517,강동구,11740
2023,4,0,0,2553,5호선,고덕,305,484,강동구,11740
2023,4,0,0,2554,5호선,상일동,418,1024,강동구,11740
2023,4,0,0,2555,5호선,둔촌동,158,176,강동구,11740
2023,4,0,0,2556,5호선,올림픽공원(한국체대),47,89,송파구,11710
2023,4,0,0,2557,5호선,방이,138,171,송파구,11710
2023,4,0,0,2558,5호선,오금,63,95,송파구,11710
2023,4,0,0,2559,5호선,개롱,77,200,송파구,11710
2023,4,0,0,2560,5호선,거여,170,349,송파구,11710
2023,4,0,0,2561,5호선,마천,91,277,송파구,11710
2023,4,0,0,2562,5호선,강일,99,192,강동구,11740
2023,4,0,0,2563,5호선,미사,1407,722,,
2023,4,0,0,2564,5호선,하남풍산,127,213,,
2023,4,0,0,2565,5호선,하남시청(덕풍·신장),285,534,,
2023,4,0,0,2566,5호선,하남검단산,118,367,,
2023,4,0,0,2611,6호선,응암,343,944,은평구,11380
2023,4,0,0,2612,6호선,역촌,60,265,은평구,11380
2023,4,0,0,2613,6호선,불광,153,247,은평구,11380
2023,4,0,0,2614,6호선,독바위,50,215,은평구,11380
2023,4,0,0,2616,6호선,구산,140,207,은평구,11380
2023,4,0,0,2617,6호선,새절(신사),253,1011,은평구,11380
2023,4,0,0,2618,6호선,증산(명지대앞),222,674,은평구,11380
2023,4,0,0,2619,6호선,디지털미디어시티,379,818,마포구,11440
2023,4,0,0,2620,6호선,월드컵경기장(성산),201,85,마포구,11440
2023,4,0,0,2621,6호선,마포구청,433,875,마포구,11440
2023,4,0,0,2622,6호선,망원,967,685,마포구,11440
2023,4,0,0,2623,6호선,합정,2043,924,마포구,11440
2023,4,0,0,2624,6호선,상수,2284,758,마포구,11440
2023,4,0,0,2625,6호선,광흥창(서강),279,452,마포구,11440
2023,4,0,0,2626,6호선,대흥(서강대앞),469,530,마포구,11440
2023,4,0,0,2627,6호선,공덕,1081,1035,마포구,11440
2023,4,0,0,2628,6호선,효창공원앞,359,662,용산구,11170
2023,4,0,0,2629,6호선,삼각지,615,395,용산구,11170
2023,4,0,0,2630,6호선,녹사평(용산구청),558,295,용산구,11170
2023,4,0,0,2631,6호선,이태원,1856,840,용산구,11170
2023,4,0,0,2632,6호선,한강진,449,364,용산구,11170
2023,4,0,0,2633,6호선,버티고개,60,156,용산구,11170
2023,4,0,0,2634,6호선,약수,328,177,중구,11140
2023,4,0,0,2635,6호선,청구,216,183,중구,11140
2023,4,0,0,2636,6호선,신당,1036,496,중구,11140
2023,4,0,0,2637,6호선,동묘앞,315,413,종로구,11110
2023,4,0,0,2638,6호선,창신,118,201,종로구,11110
2023,4,0,0,2639,6호선,보문,418,648,성북구,11290
2023,4,0,0,2640,6호선,안암(고대병원앞),2054,561,성북구,11290
2023,4,0,0,2641,6호선,고려대(종암),509,491,성북구,11290
2023,4,0,0,2642,6호선,월곡(동덕여대),390,668,성북구,11290
2023,4,0,0,2643,6호선,상월곡(한국과학기술연구원),139,392,성북구,11290
2023,4,0,0,2644,6호선,돌곶이,259,632,성북구,11290
