YEAR,MONTH,HOUR,HALF_HOUR,STATION_ID,LINE_NM,"STATION,_NM",GETON_CNT,GETOFF_CNT,gu_name,gu_code
2023,10,0,0,150,1호선,서울역,1697,565,중구,11140
2023,10,0,0,151,1호선,시청,234,172,중구,11140
2023,10,0,0,152,1호선,종각,641,168,종로구,11110
2023,10,0,0,153,1호선,종로3가,980,422,종로구,11110
2023,10,0,0,154,1호선,종로5가,202,143,종로구,11110
2023,10,0,0,155,1호선,동대문,359,513,종로구,11110
2023,10,0,0,156,1호선,신설동,212,182,동대문구,11230
2023,10,0,0,157,1호선,제기동,58,75,동대문구,11230
2023,10,0,0,158,1호선,청량리(서울시립대입구),101,247,동대문구,11230
2023,10,0,0,159,1호선,동묘앞,63,273,종로구,11110
2023,10,0,0,201,2호선,시청,949,398,중구,11140
2023,10,0,0,202,2호선,을지로입구,2497,807,중구,11140
2023,10,0,0,203,2호선,을지로3가,2694,574,중구,11140
2023,10,0,0,204,2호선,을지로4가,772,439,중구,11140
2023,10,0,0,205,2호선,동대문역사문화공원(DDP),1459,1037,중구,11140
2023,10,0,0,206,2호선,신당,922,1026,중구,11140
2023,10,0,0,207,2호선,상왕십리,293,1140,성동구,11200
2023,10,0,0,208,2호선,왕십리(성동구청),1736,1598,성동구,11200
2023,10,0,0,209,2호선,한양대,1044,369,성동구,11200
2023,10,0,0,210,2호선,뚝섬,1130,684,성동구,11200
2023,10,0,0,211,2호선,성수,2203,1671,성동구,11200
2023,10,0,0,212,2호선,건대입구,5175,3033,광진구,11215
2023,10,0,0,213,2호선,구의(광진구청),911,1900,광진구,11215
2023,10,0,0,214,2호선,강변(동서울터미널),574,1400,광진구,11215
2023,10,0,0,215,2호선,잠실나루,283,782,광진구,11215
2023,10,0,0,216,2호선,잠실(송파구청),3123,2595,송파구,11710
2023,10,0,0,217,2호선,잠실새내,1699,1322,송파구,11710
2023,10,0,0,218,2호선,종합운동장,212,454,송파구,11710
2023,10,0,0,219,2호선,삼성(무역센터),1773,760,강남구,11680
2023,10,0,0,220,2호선,선릉,2561,1198,강남구,11680
2023,10,0,0,221,2호선,역삼,2282,935,강남구,11680
2023,10,0,0,222,2호선,강남,8416,1987,강남구,11680
2023,10,0,0,223,2호선,교대(법원.검찰청),2201,905,서초구,11650
2023,10,0,0,224,2호선,서초,604,453,서초구,11650
2023,10,0,0,225,2호선,방배,980,763,서초구,11650
2023,10,0,0,226,2호선,사당,3870,2919,동작구,11590
2023,10,0,0,227,2호선,낙성대(강감찬),961,2600,관악구,11620
2023,10,0,0,228,2호선,서울대입구(관악구청),2468,4417,관악구,11620
2023,10,0,0,229,2호선,봉천,510,2108,관악구,11620
2023,10,0,0,230,2호선,신림,2492,5303,관악구,11620
2023,10,0,0,231,2호선,신대방,623,2393,동작구,11590
2023,10,0,0,232,2호선,구로디지털단지,2264,3336,구로구,11530
2023,10,0,0,233,2호선,대림(구로구청),475,1519,구로구,11530
2023,10,0,0,234,2호선,신도림,1661,4781,구로구,11530
2023,10,0,0,235,2호선,문래,974,932,영등포구,11560
2023,10,0,0,236,2호선,영등포구청,922,1222,영등포구,11560
2023,10,0,0,237,2호선,당산,927,1411,영등포구,11560
2023,10,0,0,238,2호선,합정,4022,2041,마포구,11440
2023,10,0,0,239,2호선,홍대입구,8109,3484,마포구,11440
2023,10,0,0,240,2호선,신촌,4396,1758,마포구,11440
2023,10,0,0,241,2호선,이대,663,1171,서대문구,11410
2023,10,0,0,242,2호선,아현,297,724,마포구,11440
2023,10,0,0,243,2호선,충정로(경기대입구),410,551,서대문구,11410
2023,10,0,0,244,2호선,용답,54,293,성동구,11200
2023,10,0,0,245,2호선,신답,13,141,성동구,11200
2023,10,0,0,246,2호선,신설동,82,214,동대문구,11230
2023,10,0,0,247,2호선,도림천,37,42,구로구,11530
2023,10,0,0,248,2호선,양천구청,109,374,양천구,11470
2023,10,0,0,249,2호선,신정네거리,170,473,양천구,11470
2023,10,0,0,250,2호선,용두(동대문구청),45,187,동대문구,11230
2023,10,0,0,309,3호선,지축,118,59,,
2023,10,0,0,310,3호선,구파발,338,1212,은평구,11380
2023,10,0,0,311,3호선,연신내,839,1705,은평구,11380
2023,10,0,0,312,3호선,불광,283,700,은평구,11380
2023,10,0,0,313,3호선,녹번,155,744,은평구,11380
2023,10,0,0,314,3호선,홍제,251,646,서대문구,11410
2023,10,0,0,315,3호선,무악재,70,224,서대문구,11410
2023,10,0,0,316,3호선,독립문,91,508,서대문구,11410
2023,10,0,0,317,3호선,경복궁(정부서울청사),779,313,종로구,11110
2023,10,0,0,318,3호선,안국,516,220,종로구,11110
2023,10,0,0,319,3호선,종로3가,642,193,종로구,11110
2023,10,0,0,320,3호선,을지로3가,900,209,중구,11140
2023,10,0,0,322,3호선,동대입구,434,294,중구,11140
2023,10,0,0,323,3호선,약수,551,873,중구,11140
2023,10,0,0,324,3호선,금호,177,465,성동구,11200
2023,10,0,0,325,3호선,옥수,289,333,성동구,11200
2023,10,0,0,326,3호선,압구정,1244,546,강남구,11680
2023,10,0,0,327,3호선,신사,2479,759,강남구,11680
2023,10,0,0,328,3호선,잠원,80,276,서초구,11650
2023,10,0,0,329,3호선,고속터미널,1311,432,서초구,11650
2023,10,0,0,330,3호선,교대(법원.검찰청),991,203,서초구,11650
2023,10,0,0,331,3호선,남부터미널(예술의전당),623,587,서초구,11650
2023,10,0,0,332,3호선,양재(서초구청),992,974,서초구,11650
2023,10,0,0,333,3호선,매봉,280,245,강남구,11680
2023,10,0,0,334,3호선,도곡,112,351,강남구,11680
2023,10,0,0,335,3호선,대치,292,342,강남구,11680
2023,10,0,0,336,3호선,학여울,33,90,강남구,11680
2023,10,0,0,337,3호선,대청,148,518,강남구,11680
2023,10,0,0,338,3호선,일원,63,278,강남구,11680
2023,10,0,0,339,3호선,수서,505,598,강남구,11680
2023,10,0,0,340,3호선,가락시장,242,278,송파구,11710
2023,10,0,0,341,3호선,경찰병원,116,155,송파구,11710
