year,quarter,quarter_label,gu_name,quarter_flow_population,monthly_flow_population
2023,1,2023Q1,성북구,43221147.48,14407049.16
2023,1,2023Q1,송파구,85984378.77,28661459.59
2023,1,2023Q1,양천구,37401264.0,12467088.0
2023,1,2023Q1,영등포구,58176776.339999996,19392258.78
2023,1,2023Q1,용산구,33464749.83,11154916.61
2023,1,2023Q1,은평구,43701468.96,14567156.32
2023,1,2023Q1,종로구,40540563.99,13513521.33
2023,1,2023Q1,중구,40966505.43,13655501.81
2023,1,2023Q1,중랑구,35909935.08,11969978.36
2023,2,2023Q2,강남구,117631481.97,39210493.99
2023,2,2023Q2,강동구,66385352.4,22128450.8
2023,2,2023Q2,강북구,35069613.96,11689871.32
2023,2,2023Q2,강서구,67620150.93,22540050.31
2023,2,2023Q2,관악구,55618366.53,18539455.51
2023,2,2023Q2,광진구,50062587.42,16687529.14
2023,2,2023Q2,구로구,49304729.1,16434909.7
2023,2,2023Q2,금천구,27509366.13,9169788.709999999
2023,2,2023Q2,노원구,62518981.17,20839660.39
2023,2,2023Q2,도봉구,32384179.14,10794726.38
2023,2,2023Q2,동대문구,48681675.839999996,16227225.28
2023,2,2023Q2,동작구,47728863.45,15909621.15
2023,2,2023Q2,마포구,61591866.27,20530622.09
2023,2,2023Q2,서대문구,47459188.05,15819729.35
2023,2,2023Q2,서초구,78692614.17,26230871.39
2023,2,2023Q2,성동구,45756715.74,15252238.58
2023,2,2023Q2,성북구,55105313.7,18368437.9
2023,2,2023Q2,송파구,99100143.54,33033381.18
2023,2,2023Q2,양천구,43611232.8,14537077.6
2023,2,2023Q2,영등포구,66317009.82,22105669.94
2023,2,2023Q2,용산구,39028444.95,13009481.65
2023,2,2023Q2,은평구,51600522.54,17200174.18
2023,2,2023Q2,종로구,47329346.28,15776448.76
2023,2,2023Q2,중구,47681418.87,15893806.29
2023,2,2023Q2,중랑구,43353057.24,14451019.08
2023,3,2023Q3,강남구,117301857.63,39100619.21
2023,3,2023Q3,강동구,63468200.07,21156066.69
2023,3,2023Q3,강북구,32703638.310000002,10901212.77
2023,3,2023Q3,강서구,65342225.07,21780741.69
2023,3,2023Q3,관악구,51511219.86,17170406.62
2023,3,2023Q3,광진구,45372693.12,15124231.04
2023,3,2023Q3,구로구,46725736.74,15575245.58
2023,3,2023Q3,금천구,26137589.46,8712529.82
2023,3,2023Q3,노원구,57535383.54,19178461.18
2023,3,2023Q3,도봉구,30156481.71,10052160.57
2023,3,2023Q3,동대문구,42984626.64,14328208.88
2023,3,2023Q3,동작구,42841014.03,14280338.01
2023,3,2023Q3,마포구,58134982.35,19378327.45
2023,3,2023Q3,서대문구,42144317.1,14048105.7
2023,3,2023Q3,서초구,76442570.82,25480856.94
2023,3,2023Q3,성동구,42099307.38,14033102.46
2023,3,2023Q3,성북구,47521614.99,15840538.33
2023,3,2023Q3,송파구,95435062.32,31811687.44
2023,3,2023Q3,양천구,42257737.71,14085912.57
2023,3,2023Q3,영등포구,64363614.480000004,21454538.16
2023,3,2023Q3,용산구,37276893.75,12425631.25
