gu_name,quarter_flow_population,registered_cars,parking_spaces,parking_supply_rate,parking_score_100,complaints_per_10k,complaint_score_100
강남구,1262870911.41,252349.0,423742.3333333333,167.9333333333333,26.28528974739973,1150.6212095962167,57.86810204053281
강동구,696933452.49,156063.0,211980.66666666666,135.9,64.36354631005446,415.04462213646303,20.41833328545111
강북구,361514291.25,74485.66666666667,96199.0,129.13333333333335,72.40713224368497,258.6222776616641,13.203580914939856
강서구,710034017.7,205692.33333333334,320241.0,155.70000000000002,40.82714214957897,1147.8629538370062,57.72767337258605
관악구,570572337.81,117887.66666666667,152275.0,129.16666666666666,72.36750866765726,520.0453000263188,25.76414114983895
광진구,507684580.29,97499.0,136804.33333333334,140.36666666666667,59.053987122337766,585.2833609375307,29.085549602481535
구로구,512832605.94,147422.33333333334,190275.33333333334,129.0666666666667,72.48637939574043,247.36005026175562,12.359338035122477
금천구,286923236.52,91739.0,151867.66666666666,165.5666666666667,29.098563645368955,328.1682559187588,15.99527268156419
노원구,635401543.35,152180.66666666666,179028.0,117.63333333333333,86.07726597325409,205.35096902643474,10.17003780664256
도봉구,338190178.17,94952.66666666667,116940.66666666667,123.16666666666667,79.49975235264981,243.267316129875,11.67278523921234
동대문구,487821354.84,101539.66666666667,151174.66666666666,148.9,48.91035165923724,568.3685739293909,28.22438181547533
동작구,485998185.24,106240.66666666667,136919.0,128.86666666666665,72.7241208519069,317.7739957142969,15.46607878432294
마포구,640021855.95,121960.0,197135.33333333334,161.63333333333333,33.7741456166419,1351.8432183019872,68.11274253471719
서대문구,479931428.82,91345.33333333333,127313.0,139.36666666666667,60.24269440316987,398.2423540420802,19.562894075689755
서초구,840755596.8,177082.33333333334,312248.3333333333,176.33333333333334,16.30014858841008,1412.3376659001176,71.19264354317653
성동구,473428477.77,104337.66666666667,126300.66666666667,121.03333333333335,82.03566121842493,392.6969843917723,19.280567510916047
성북구,547852513.29,122300.33333333333,156566.0,128.03333333333333,73.7147102526003,262.8780760985824,12.671210744401067
송파구,1040518242.9300001,245779.33333333334,335052.3333333333,136.33333333333334,63.84843982169389,432.6817011082453,21.31627449275537
양천구,460447395.36,151162.0,170464.33333333334,112.73333333333333,90.0,455.35495019486945,22.47061783333498
영등포구,703903079.46,144407.66666666666,203915.33333333334,141.20000000000002,58.06339772164435,826.6907527649546,41.37611343204208
용산구,403847240.78999996,74460.66666666667,109378.33333333333,146.83333333333334,51.3670133729569,1796.6974975006203,84.86385881973781
은평구,544242139.59,134314.66666666666,186887.0,139.13333333333333,60.520059435364054,423.31938751347883,20.839619192527035
종로구,486408579.75,50400.333333333336,91536.33333333333,181.63333333333333,10.0,1164.772126409929,58.588555316752554
중구,492526187.19,55324.666666666664,110009.33333333333,199.36666666666667,10.0,1837.376371202061,88.52519159373541
중랑구,441483808.38,116219.33333333333,132870.0,114.33333333333333,90.0,258.58167854229873,12.452472005694917
