year,quarter,quarter_label,gu_name,quarter_flow_population,resident_population,registered_cars,parking_spaces,parking_supply_rate,parking_score_100,traffic_complaints,safety_complaints,environment_complaints,complaints,complaints_per_10k,complaint_score_100
2022,1,2022Q1,강남구,1670141.8199999998,534103,252349.0,423742.3333333333,167.9333333333333,26.28528974739973,65168,164,1060,65168,1220.1391866362856,61.40741012735266
2022,1,2022Q1,강동구,1065545.49,464037,156063.0,211980.66666666666,135.9,64.36354631005446,16929,89,430,16929,364.82004667731235,17.86129331322625
2022,1,2022Q1,강북구,665644.8,297702,74485.66666666667,96199.0,129.13333333333335,72.40713224368497,4950,36,847,4950,166.2736562065421,10.0
2022,1,2022Q1,강서구,1184452.02,574638,205692.33333333334,320241.0,155.70000000000002,40.82714214957897,47054,128,521,47054,818.8459517122084,40.9767179233167
2022,1,2022Q1,관악구,953105.49,501226,117887.66666666667,152275.0,129.16666666666666,72.36750866765726,24025,62,311,24025,479.32469584578615,23.690968571855556
2022,1,2022Q1,광진구,879932.8800000001,351252,97499.0,136804.33333333334,140.36666666666667,59.05398712233777,24489,80,339,24489,697.191759762222,34.7830442334746
2022,1,2022Q1,구로구,795304.11,418418,147422.33333333334,190275.33333333334,129.0666666666667,72.48637939574043,7625,88,369,7625,182.23403390867503,10.0
2022,1,2022Q1,금천구,420199.19999999995,242818,91739.0,151867.66666666666,165.5666666666667,29.098563645368955,8752,33,334,8752,360.4345641591645,17.638019069613815
2022,1,2022Q1,노원구,1145594.52,508014,152180.66666666666,179028.0,117.63333333333333,86.07726597325409,9409,48,135,9409,185.21143118103046,10.0
2022,1,2022Q1,도봉구,636924.33,313989,94952.66666666667,116940.66666666667,123.16666666666667,79.49975235264981,6835,63,120,6835,217.68278506571886,10.37022234040029
2022,1,2022Q1,동대문구,731788.08,353601,101539.66666666667,151174.66666666666,148.9,48.910351659237236,18806,75,614,18806,531.8423873235653,26.36475595840851
2022,1,2022Q1,동작구,799563.0,390432,106240.66666666667,136919.0,128.86666666666665,72.7241208519069,14014,66,420,14014,358.9357429718876,17.561710894740308
2022,1,2022Q1,마포구,1045473.75,375585,121960.0,197135.33333333334,161.63333333333333,33.7741456166419,49825,143,812,49825,1326.5971750735519,66.82741277163872
2022,1,2022Q1,서대문구,683224.6799999999,319554,91345.33333333333,127313.0,139.36666666666667,60.24269440316987,12996,113,337,12996,406.69182673350986,19.993074703772525
