`RAINGAUGE_CODE`|`RAINGAUGE_NAME`|`GU_CODE`|`GU_NAME`|`RAINFALLHOUR`|`RAINFALLACCU`|`RAINFALLMAX`|`RECEIVE_TIME`|`LIST_TIME`
`2202`|`가산2P`|`122`|`금천구`|`0`|`375.5`|`15`|`2020-07-17 11:44:40`|`2020-07-17 11:45:01`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:29:40`|`2020-07-17 11:29:46`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:31:40`|`2020-07-17 11:31:54`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:30:40`|`2020-07-17 11:30:57`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:32:40`|`2020-07-17 11:32:56`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:33:40`|`2020-07-17 11:34:02`
`2202`|`가산2P`|`122`|`금천구`|`0`|`375.5`|`15`|`2020-07-17 11:45:42`|`2020-07-17 11:46:01`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:35:40`|`2020-07-17 11:35:48`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:37:40`|`2020-07-17 11:37:53`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:34:40`|`2020-07-17 11:34:55`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:36:40`|`2020-07-17 11:36:59`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:38:40`|`2020-07-17 11:38:56`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:40:40`|`2020-07-17 11:40:56`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:42:40`|`2020-07-17 11:43:06`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:39:40`|`2020-07-17 11:40:01`
