year,gu_name,transport_score,commute_stress_score,parking_score,complaint_score,transport_score_norm,commute_stress_score_norm,parking_score_norm,complaint_score_norm,traffic_entropy_raw_0_1,traffic_score_25,rank
2022,중구,60.38095238095237,26.710249511377462,10.0,85.57557478120626,74.22222222222219,22.827193349087914,0.0,100.0,0.6492967231857982,16.23,1
2022,마포구,68.87074829931973,33.54028000249352,32.807017543859644,66.82741277163872,97.33333333333331,36.391020722219466,28.508771929824555,75.19282908023646,0.6428932708167588,16.07,2
2022,서초구,52.598639455782305,43.635171663216276,18.187134502923985,72.79551068970697,53.03703703703702,56.43856926751661,10.233918128654981,83.08968985218044,0.6176456603452749,15.44,3
2022,강남구,44.08163265306122,65.57041840108522,28.947368421052644,61.40741012735266,29.851851851851848,100.0,23.684210526315805,68.02119636691984,0.6166288467173711,15.42,4
2022,용산구,45.85034013605442,22.065076339128293,40.17543859649124,74.59157645921343,34.66666666666667,13.602296460465949,37.719298245614056,85.46620604104982,0.5453722348009779,13.63,5
2022,종로구,69.85034013605443,27.565601919320862,10.0,58.33396955019148,100.0,24.525846439967584,0.0,63.95448488499081,0.5291746024564927,13.23,6
2022,영등포구,66.96598639455782,36.38247645802094,59.47368421052632,35.57193931271365,92.14814814814811,42.03536771795315,61.8421052631579,33.836248532340306,0.49884587363154215,12.47,7
2022,강서구,56.35374149659864,36.124511597230565,45.90643274853803,40.9767179233167,63.259259259259245,41.523072663832124,44.88304093567253,40.98773712670437,0.4560054660838453,11.4,8
2022,송파구,56.48979591836734,53.57169979308406,65.3216374269006,17.73579480579906,63.62962962962961,76.17162205799826,69.15204678362574,10.235839857248108,0.41970786587509934,10.49,9
2022,광진구,53.82312925170067,26.17851188687455,64.3859649122807,34.7830442334746,56.37037037037034,21.77121016483451,67.98245614035088,32.79239927082568,0.396706023738581,9.92,10
2022,관악구,51.3469387755102,29.70804188450078,72.10526315789473,23.69096857185556,49.629629629629626,28.780539868173626,77.63157894736841,18.11559966495969,0.3443281603419619,8.61,11
2022,은평구,55.482993197278915,27.931315049378615,69.53216374269006,22.454287262231347,60.88888888888889,25.252119883496587,74.41520467836258,16.479249146681205,0.34456807903549547,8.61,11
2022,강동구,54.31292517006802,34.81843444928208,63.56725146198831,17.86129331322625,57.70370370370368,38.92932070418743,66.9590643274854,10.401896824450159,0.32851054661444107,8.21,13
2022,동대문구,47.10204081632653,25.004396159757587,49.76608187134502,26.36475595840851,38.07407407407407,19.439521739810946,49.70760233918128,21.65349850898919,0.28098820500309485,7.02,14
2022,강북구,62.367346938775505,18.909059935231138,73.62573099415205,10.0,79.6296296296296,7.334731221201915,79.53216374269006,0.0,0.2699409317729377,6.75,15
2022,중랑구,51.23809523809524,22.700969976952415,90.0,11.154932315340671,49.33333333333334,14.865124136321558,100.0,1.5281819803345698,0.26851286502913313,6.71,16
2022,양천구,36.46258503401361,23.41404365243911,90.0,21.723906088144624,9.111111111111125,16.281224437953668,100.0,15.512824245248167,0.26595985264327515,6.65,17
2022,동작구,43.40136054421769,25.12603653206579,72.10526315789473,17.561710894740308,28.000000000000007,19.68108859866143,77.63157894736841,10.005495712909504,0.24877417280300715,6.22,18
2022,노원구,40.35374149659864,32.675682616320536,87.30994152046785,10.0,19.703703703703706,34.67400793456575,96.63742690058481,0.0,0.2457355109887108,6.14,19
2022,도봉구,51.48299319727891,17.432281651414655,88.3625730994152,10.37022234040029,49.999999999999986,4.401982130823675,97.953216374269,0.489870360195202,0.23988165157842908,6.0,20
2022,서대문구,42.285714285714285,24.974153505855405,52.923976608187154,19.993074703772525,24.96296296296297,19.379462544267366,53.654970760233944,13.222624813245284,0.22366399059584194,5.59,21
2022,성동구,33.115646258503396,24.403973704335446,73.27485380116958,19.784219712965907,0.0,18.247136647695942,79.09356725146198,12.946272312571278,0.21207071279605735,5.3,22
2022,성북구,35.72789115646258,28.44545111971322,75.84795321637428,12.251008811190603,7.111111111111117,26.2731479613931,82.30994152046785,2.9784871867760807,0.19930916966617268,4.98,23
2022,구로구,38.58503401360544,26.267553818494434,73.04093567251462,10.0,14.888888888888886,21.948039447080504,78.80116959064327,0.0,0.18498426600908713,4.62,24
2022,금천구,38.61224489795918,15.215674837733843,46.37426900584795,17.638019069613815,14.962962962962962,0.0,45.46783625730993,10.106465073836524,0.13885916507591395,3.47,25
2023,중구,61.17006802721089,26.861821115301776,10.0,90.0,76.24140565317037,23.350276976404885,0.0,100.0,0.6505035793457918,16.26,1
2023,용산구,44.4625850340136,21.69736295814386,60.64327485380118,90.0,29.33537051184108,13.17334642844527,63.30409356725147,100.0,0.6213028649938532,15.53,2
2023,마포구,69.63265306122449,33.041815953028525,34.44444444444444,64.04014617195344,100.0,35.52839447419585,30.555555555555554,67.34194128973063,0.6205598427076072,15.51,3
2023,영등포구,67.26530612244898,36.392491433264645,59.122807017543856,53.0652228007095,93.35370511841099,42.13113780436541,61.403508771929815,53.535249843280255,0.6020445219032371,15.05,4
2023,강서구,56.435374149659864,36.133106671408754,42.631578947368425,67.49753138928592,62.94881588999236,41.62000176138135,40.789473684210535,71.69140682060639,0.5924290220822117,14.81,5
2023,강남구,42.476190476190474,65.7590392350094,30.116959064327503,61.646053435082365,23.75859434682963,100.0,25.14619883040938,64.33012074264826,0.5839085871084062,14.6,6
2023,서초구,47.945578231292515,43.76240948084548,18.304093567251456,75.33486078544045,39.11382734912146,56.65408325807777,10.38011695906432,81.55093704934784,0.5787585019698183,14.47,7
2023,종로구,67.8639455782313,26.973701907934114,13.274853801169598,57.9376711369033,95.03437738731859,23.57074600173562,4.093567251461998,59.664895444529975,0.5142447235305576,12.86,8
2023,송파구,58.44897959183673,53.38661147770163,61.461988304093566,20.21779132288444,68.60198624904507,75.61925488325362,64.32748538011695,12.212469183960845,0.443162931958757,11.08,9
2023,관악구,55.51020408163265,29.416530169226238,70.35087719298244,27.597437668902423,60.351413292589754,28.384512092822323,75.43859649122805,21.496224216853317,0.38225535880854355,9.56,10
2023,광진구,52.38095238095237,25.728956465785704,59.47368421052632,29.42916649220501,51.56608097784565,21.117886954542783,61.8421052631579,23.80057877327533,0.3405863311345927,8.51,11
2023,강동구,55.074829931972786,34.947770017175316,61.92982456140351,18.82744395146654,59.1291061879297,39.284211938132394,64.91228070175438,10.463382059503367,0.33932170323141175,8.48,12
2023,동대문구,50.47619047619048,24.927885266591925,50.35087719298245,28.72229368376265,46.218487394958,19.539319424304097,50.43859649122806,22.911317461107895,0.3067625434161082,7.67,13
2023,은평구,55.37414965986394,27.379913075246588,57.48538011695906,19.72183827418173,59.96944232238348,24.371213874984814,59.35672514619882,11.588549500539077,0.3064929504135162,7.66,14
2023,강북구,62.993197278911566,18.345850198106042,73.50877192982458,11.57517077907029,81.3598166539343,6.568953179129927,79.38596491228071,1.3398652394223098,0.29328935327541544,7.33,15
2023,중랑구,50.965986394557824,22.20244318481837,90.0,12.26554197100434,47.59358288770053,14.168642785119195,100.0,2.208367160403945,0.2737362997858992,6.84,16
2023,양천구,36.02721088435374,22.738971688335763,86.25730994152046,26.10711542050344,5.653170359052704,15.225910198493311,95.32163742690058,19.621366530526466,0.26283416108542207,6.57,17
2023,서대문구,47.12925170068028,24.930394793162527,49.76608187134502,19.19163949939578,36.82200152788389,19.544264624137284,49.70760233918128,10.921547951540933,0.2332481834479382,5.83,18
2023,성동구,34.013605442176875,24.053316288871496,86.95906432748538,21.10476418135028,0.0,17.815919316332483,96.19883040935673,13.328300262135006,0.23006566867331452,5.75,19
2023,노원구,36.97959183673469,31.93601415416447,86.72514619883042,10.51011341992768,8.326967150496545,33.34933371614696,95.90643274853802,0.0,0.22012017583666862,5.5,20
2023,도봉구,48.925170068027214,16.858786449115907,76.90058479532163,12.304506813260456,41.86401833460657,3.638588747212564,83.62573099415205,2.257385776397145,0.217343738945029,5.43,21
2023,구로구,38.965986394557824,26.435303921179525,75.02923976608187,15.650658031942111,13.903743315508013,22.509794639244955,81.28654970760235,6.466916526338505,0.21694957025606149,5.42,22
2023,동작구,41.68707482993198,24.733841373513624,74.67836257309942,13.369183937162692,21.543162719633322,19.15694219071638,80.84795321637428,3.5967726716467157,0.21174577479996046,5.29,23
2023,성북구,36.87074829931972,27.761902613042594,74.91228070175438,13.370140425695222,8.021390374331522,25.123951311884973,81.14035087719299,3.5979759549493866,0.19766371919728148,4.94,24
2023,금천구,38.06802721088435,15.01232211023404,25.67251461988305,16.138227561069904,11.382734912146663,0.0,19.59064327485381,7.080289560449769,0.08154457621180858,2.04,25
