"gu_code","gu_name","202201_geton","202201_getoff","202202_geton","202202_getoff","202203_geton","202203_getoff","202204_geton","202204_getoff","202205_geton","202205_getoff","202206_geton","202206_getoff","202207_geton","202207_getoff","202208_geton","202208_getoff","202209_geton","202209_getoff","202210_geton","202210_getoff","202211_geton","202211_getoff","202212_geton","202212_getoff","202301_geton","202301_getoff","202302_geton","202302_getoff","202303_geton","202303_getoff","202304_geton","202304_getoff","202305_geton","202305_getoff","202306_geton","202306_getoff","202307_geton","202307_getoff","202308_geton","202308_getoff","202309_geton","202309_getoff","202310_geton","202310_getoff","202311_geton","202311_getoff","202312_geton","202312_getoff","202401_geton","202401_getoff","202402_geton","202402_getoff","202403_geton","202403_getoff","202404_geton","202404_getoff","202405_geton","202405_getoff","202406_geton","202406_getoff","202407_geton","202407_getoff","202408_geton","202408_getoff","202409_geton","202409_getoff","202410_geton","202410_getoff","202411_geton","202411_getoff","202412_geton","202412_getoff"
11440,마포구,3662465,3353528,3141127,2871670,3623795,3317450,3996116,3668273,4400975,4037167,4238402,3879800,4490797,4111577,4353685,3989792,4310794,3951523,4435186,4055410,4391496,4013653,4489441,4092458,3943068,3599041,3981698,3638079,4587471,4193150,4382436,4003530,4528081,4128405,4493735,4103765,4594249,4178632,4504662,4116742,4405586,4003151,4519602,4120449,4548173,4145003,4478644,4064393,3978336,3626472,3626865,3306992,4554927,4155299,4628278,4245984,4573694,4177647,4566454,4171384,4895578,4467695,4818670,4406327,4624187,4227011,4918656,4502776,4819625,4410951,4807300,4381145
11470,양천구,3160904,3066612,2743201,2664060,3112054,3031987,3363634,3271820,3610717,3523619,3510880,3425435,3684895,3594477,3565400,3475723,3469278,3388960,3560234,3472082,3578125,3482464,3728141,3621199,3314672,3227637,3314420,3226939,3733126,3637133,3556084,3462717,3642958,3548476,3635055,3541520,3712681,3610863,3652591,3554776,3489576,3399528,3506830,3418764,3605343,3515976,3619876,3529467,3258012,3183308,2992333,2920170,3622707,3546698,3643837,3560386,3585652,3504210,3586474,3503218,3905746,3806423,3781107,3687488,3555865,3470636,3763678,3672864,3765087,3677636,3790425,3706692
11500,강서구,3706031,3619814,3228022,3154760,3682097,3602682,3950817,3878309,4240347,4169975,4134226,4057836,4347459,4259402,4237095,4148831,4095017,4012626,4189892,4113514,4199187,4123028,4394512,4307381,3889632,3826490,3873833,3812549,4379961,4305963,4175785,4105793,4272818,4205552,4279169,4207030,4364687,4287952,4296599,4218569,4074311,3998744,4107169,4038910,4200280,4121938,4226314,4147818,3781619,3712767,3473449,3411293,4226659,4154718,4242906,4180926,4156744,4094624,4184770,4123159,4549387,4474588,4440635,4366468,4165634,4096468,4419293,4348581,4412474,4334956,4479062,4406163
11530,구로구,3425031,3464295,2967197,3002452,3398141,3435280,3718032,3761209,4022539,4074582,3912588,3957553,4051825,4105741,3919605,3971160,3909489,3962190,3981079,4039879,4023232,4089180,4124182,4184897,3650425,3707319,3608259,3671918,4153737,4231517,4000993,4072680,4121066,4198621,4096740,4170370,4147939,4205696,4054665,4114799,3916019,3973173,3932243,3995545,3985645,4054027,3965223,4017539,3513743,3572478,3236073,3289893,3991815,4056383,4055875,4127179,3970970,4037342,4003230,4067131,4283241,4355354,4182182,4245192,3975557,4029910,4183453,4250248,4189750,4255153,4275750,4332775
11545,금천구,2839311,2781644,2451757,2391134,2794939,2725810,3018634,2947928,3251766,3175900,3129538,3056765,3292329,3212101,3178247,3092110,3123645,3040482,3208330,3122681,3215182,3137568,3317509,3244383,2979443,2911740,2934629,2867829,3321400,3245166,3181902,3110774,3255927,3176165,3233000,3157388,3273491,3202564,3228043,3155226,3090913,3019744,3129198,3059966,3195510,3121650,3178943,3109855,2852408,2794986,2597753,2541645,3143700,3091547,3172137,3110132,3096754,3036620,3099128,3036512,3337629,3269125,3254480,3194338,3047512,2992254,3249400,3188464,3219306,3154289,3261812,3198921
11560,영등포구,4268723,4327977,3656993,3715965,4150499,4207273,4690413,4761841,5016406,5076436,4812090,4857918,5140918,5187226,5037265,5090441,4834848,4902252,4991150,5068341,5008534,5089758,5182501,5255261,4605397,4685852,4588950,4677080,5167507,5264281,4989880,5066146,5062743,5148466,5091836,5175865,5217304,5292184,5130953,5216295,4872242,4968193,4954151,5057138,5055794,5156719,5046812,5146023,4538598,4633820,4165985,4248661,5050587,5141649,5199829,5314545,5044013,5163513,5124424,5240063,5503622,5608901,5383871,5494718,5028184,5130640,5382729,5509646,5284124,5415214,5414742,5554113
11590,동작구,3256648,3090546,2808704,2670184,3336353,3183535,3656032,3487445,3948615,3773838,3611002,3446297,3672900,3491813,3583636,3397942,3736620,3558797,3816351,3621349,3785421,3603433,3735433,3546889,3236814,3072039,3205483,3045528,3871423,3699763,3667870,3508746,3804360,3642183,3691189,3525270,3590809,3411405,3537191,3363658,3629977,3457891,3704503,3537188,3744166,3569391,3619089,3438075,3161494,2997646,2899719,2746133,3791416,3606194,3869681,3689792,3830259,3647501,3749415,3575584,3824224,3636560,3750006,3561470,3826950,3648987,4120518,3930802,4048887,3857512,3988782,3781168
11620,관악구,4946911,4908508,4337452,4313796,5071953,5037890,5473931,5424229,5838231,5808599,5254477,5235721,5458467,5426085,5254065,5221978,5298634,5255354,5445064,5392768,5370822,5321814,5391373,5343898,4751595,4726680,4667516,4636605,5553407,5501182,5262055,5222581,5452097,5415165,5315841,5284003,5310380,5274801,5172021,5140745,5125008,5078623,5198257,5163630,5234504,5198435,5138183,5102951,4543363,4519009,4203137,4175272,5373783,5338855,5410236,5378826,5331781,5303450,5269167,5250583,5546783,5522773,5415003,5387914,5318315,5289466,5677615,5640345,5567234,5535240,5504759,5479869
11650,서초구,5166085,4766043,4432157,4078583,5126837,4727306,5823942,5352462,6371790,5840851,5959673,5479338,6222378,5738544,5926987,5496978,5800363,5377782,5944517,5495154,5962537,5523661,6005755,5588392,5343831,4970534,5434369,5059537,6202614,5756694,5891912,5462808,6073357,5628551,6070298,5635905,6132985,5693502,6013976,5591820,5812006,5413334,5957225,5527299,6072121,5639528,5920128,5497527,5396219,5028679,4924510,4600297,6094877,5680242,6259933,5835520,6137386,5729544,6192868,5785498,6627159,6196720,6417350,6021885,6023607,5642460,6513224,6086685,6445257,6022313,6446777,6020827
11680,강남구,6461159,6237529,5547302,5359128,6332629,6113322,6978990,6722955,7519786,7247565,7349224,7058035,7786403,7488208,7493163,7221513,7081125,6823685,7244160,6969064,7337073,7087937,7443168,7213497,6641480,6451078,6727414,6539075,7466135,7241011,7072143,6838460,7260503,7022965,7412288,7164854,7635606,7376004,7503862,7269381,7008081,6787337,7101191,6857845,7368496,7118890,7188715,6942014,6727451,6510237,6067561,5865855,7417486,7160600,7522032,7264949,7386417,7129884,7553880,7288941,8293596,8004640,8044685,7775662,7348517,7090252,7949765,7678493,7985345,7741122,7936941,7722560
11710,송파구,4858776,4827042,4182126,4158106,4829512,4803348,5395830,5367481,5710012,5682855,5516107,5485575,5756653,5726982,5600590,5560812,5440899,5400903,5635400,5597223,5587621,5565580,5831585,5805752,5119670,5099039,5139174,5120395,5810783,5803666,5593636,5573701,5656249,5633326,5685489,5657188,5775148,5743443,5639339,5620557,5390239,5373114,5485283,5474860,5593618,5588180,5644481,5646227,5013299,5017996,4566837,4575516,5593819,5609510,5730855,5751536,5582327,5608757,5586971,5609433,6030849,6048424,5865534,5879316,5540264,5563457,5909655,5936006,5928866,5944447,6054909,6073809
11740,강동구,2350435,2248732,2043086,1949099,2342657,2242804,2548737,2443958,2724471,2613812,2655666,2544398,2786650,2662727,2720720,2596788,2641792,2531862,2723350,2609752,2717288,2599990,2813532,2697884,2476511,2383076,2475743,2386527,2800823,2701928,2664487,2572414,2711779,2619625,2734545,2636828,2782427,2679991,2747866,2645892,2637285,2541038,2667664,2574664,2724029,2619322,2737671,2632713,2466167,2372240,2263831,2185116,2786978,2690332,2806119,2714336,2749809,2662825,2766087,2679908,3016270,2914172,2922134,2846715,2752195,2698893,2930931,2878353,2912335,2863289,2938088,2886959
