자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL,_global_excluded,_tag_match
강동구,소음,키워드:북카페,커피빈 올림픽공원북2문앞점,"카페,디저트>카페",서울특별시 강동구 강동대로 193,127.1279489,37.5245115,,https://www.coffeebeankorea.com/main/main.asp,False,True
강동구,소음,키워드:북카페,윌리엄 커피,브런치카페,서울특별시 강동구 풍성로 92 한스빌딩,127.1224599,37.532669,,https://www.instagram.com/jyj_brunch_cafe/,False,True
강동구,소음,키워드:북카페,오플비,"음식점>카페,디저트",서울특별시 강동구 성내로3길 37 1층 오플비,127.1233469,37.5315828,,,False,True
강동구,소음,키워드:미술관,도쿄장난감미술관 서울,"문화,예술>문화시설",서울특별시 강동구 천호대로 1005 현대백화점 천호점 13F,127.1243983,37.5389825,,https://www.ehyundai.com/newPortal/EV/tokyotoymuseumseoul.do,False,True
강동구,소음,키워드:미술관,60 SPACE,"문화,예술>갤러리,화랑",서울특별시 강동구 고덕비즈밸리로 60 그린스토어 타워 2층,127.158426,37.5678153,,https://www.instagram.com/60space,False,True
강동구,소음,키워드:박물관,서울 암사동 유적,"여행,명소>유적지,사적지",서울특별시 강동구 올림픽로 875,127.1303479,37.5606377,,http://sunsa.gangdong.go.kr/,False,True
강동구,소음,키워드:박물관,암사동선사유적박물관,"여행,명소>박물관",서울특별시 강동구 올림픽로 875,127.1309908,37.5615698,,,False,True
강동구,소음,키워드:전시회,새오름갤러리,"문화,예술>갤러리,화랑",서울특별시 강동구 풍성로65길 73 1층 103호 새오름갤러리,127.1414622,37.5308754,,,False,True
강동구,소음,키워드:전시회,서울메쎄,"문화,예술>박람회,전시회",서울특별시 강동구 고덕비즈밸리로 51 2105호,127.1573288,37.5666604,,http://www.seoulmesse.com,False,True
강동구,소음,키워드:수목원,푸름체험여행,"여행,명소>체험여행",서울특별시 강동구 명일로 176 둔촌푸르지오상가동 2층 207호,127.1453145,37.5344989,,http://pureumedu.kr/,False,True
강동구,소음,키워드:수목원,뜨랑,"여행,명소>식물원,수목원",서울특별시 강동구 동남로 870 강동아트센터,127.1577347,37.5513008,,,False,True
강동구,소음,키워드:조용한,그레인바운더리 천호점,"음식점>카페,디저트>베이커리","서울특별시 강동구 올림픽로70길 50-8 지하1층, 1층",127.1263304,37.5388915,,https://www.instagram.com/grainboundary_official/,False,True
강동구,소음,키워드:조용히,카페인24 암사역사공원역점,"카페,디저트>카페",서울특별시 강동구 고덕로27길 33 1층,127.1378106,37.5562942,,,False,True
강동구,소음,키워드:산책코스,송파둘레길성내천길,"여행,명소>도보코스",,127.1292525,37.5181515,,,False,True
강동구,소음,키워드:산책코스,송파둘레길,"여행,명소>산책로",,127.1058327,37.5245283,,,False,True
강동구,소음,키워드:산책코스,중랑구무장애나눔길,"여행,명소>도보코스",,127.1021064,37.5857055,,,False,True
강북구,소음,키워드:조용한 카페,스타벅스 수유역점,"카페,디저트>카페",서울특별시 강북구 도봉로 342 (번동),127.0260631,37.6380639,,http://www.starbucks.co.kr/,False,True
강북구,소음,키워드:조용한 카페,스타벅스 강북구청사거리점,"카페,디저트>카페",서울특별시 강북구 도봉로 365 (수유동),127.0274331,37.6399878,,http://www.starbucks.co.kr/,False,True
강북구,소음,키워드:조용한 카페,카페 산아래,"카페,디저트>카페",서울특별시 강북구 삼양로181길 56 102호,127.0106168,37.6667756,,http://instagram.com/cafe_sanare,False,True
강북구,소음,키워드:조용한 카페,수유리조트,"음식점>카페,디저트",서울특별시 강북구 노해로8가길 45,127.0233403,37.6401039,,https://www.instagram.com/suyuresort?igsh=Y3R2czllMXlnaGh0,False,True
강북구,소음,키워드:조용한 카페,어니언 미아,"음식점>카페,디저트",서울특별시 강북구 솔매로50길 55 카페 어니언,127.0281149,37.6240797,,http://onionkr.com,False,True
강북구,소음,키워드:도서관,강북문화정보도서관,"교육,학문>도서관",서울특별시 강북구 오현로 145,127.0360502,37.6251529,,http://www.gblib.or.kr/gangbuk/,False,True
강북구,소음,키워드:도서관,강북청소년문화정보도서관,"교육,학문>군구립도서관",서울특별시 강북구 삼양로54길 68 강북청소년문화정보센터,127.0215107,37.6231368,,https://blog.naver.com/gcmc1997,False,True
강북구,소음,키워드:도서관,솔샘문화정보도서관,"교육,학문>도서관",서울특별시 강북구 솔샘로 177,127.0125125,37.620462,,http://www.gblib.or.kr/solsem/,False,True
강북구,소음,키워드:도서관,미아문화정보도서관,"교육,학문>군구립도서관",서울특별시 강북구 솔매로49길 14,127.027082,37.6271523,,https://www.gblib.or.kr/mia/index.do,False,True
강북구,소음,키워드:북카페,알라딘 중고서점 수유점,"쇼핑,유통>서점",서울특별시 강북구 도봉로 342 2층,127.0260482,37.6379286,,https://www.aladin.co.kr/usedstore/wgate.aspx?start=we,False,True
강북구,소음,키워드:북카페,에피네 수유,"음식점>카페,디저트",서울특별시 강북구 도봉로 315 3층 R312호 에피네 카페,127.0233704,37.637035,,https://www.instagram.com/iam.epne_,False,True
강북구,소음,키워드:북카페,칩멍크,브런치카페,서울특별시 강북구 삼양로98길 7 1층,127.0176481,37.6387268,,,False,True
강북구,소음,키워드:미술관,북서울꿈의숲 상상톡톡미술관,"문화,예술>미술관",서울특별시 강북구 월계로 173 북서울꿈의숲공원 상상톡톡미술관,127.0412714,37.6224924,,https://www.sejongpac.or.kr/dfac,False,True
강북구,소음,키워드:박물관,근현대사기념관,"여행,명소>기념관,생가",서울특별시 강북구 4.19로 114,127.0030502,37.6435168,,http://www.mhmh.or.kr,False,True
강북구,소음,키워드:박물관,성신여자대학교 운정그린캠퍼스,"여행,명소>박물관",서울특별시 강북구 도봉로76가길 55,127.0275733,37.6322547,,,False,True
강북구,소음,키워드:박물관,문익환 통일의집,"여행,명소>박물관",서울특별시 강북구 인수봉로 251-38,127.0101861,37.6411413,,https://www.instagram.com/tongil_house/,False,True
강북구,소음,키워드:박물관,박을복자수박물관,"여행,명소>박물관",서울특별시 강북구 삼양로149가길 53,127.0085102,37.6538262,,https://www.youtube.com/@embromuseum,False,True
강북구,소음,키워드:전시회,프리드맨,"문화,예술>박람회,전시회",서울특별시 강북구 덕릉로 193-16 지층B01호,127.0346043,37.6366118,,https://instagram.com/freedman_eve?igshid=1k3zazmzhge2o,False,True
강북구,소음,키워드:힐링,화계사 템플스테이,"여행,명소>템플스테이",서울특별시 강북구 화계사길 117 화계사 템플스테이,127.0071088,37.6325343,,https://www.templestay.com/fe/MI000000000000000019/temple/introView.do?templeId=Hwagyesa,False,True
강북구,소음,키워드:힐링,한빛힐링센터,힐링카페,서울특별시 강북구 삼양로73가길 47 한빛맹학교,127.0158134,37.6280507,,,False,True
강북구,소음,키워드:수목원,북서울꿈의숲계절수목원,"도시,테마공원>부속시설",서울특별시 강북구,127.0433299,37.6218609,,,False,True
강북구,소음,키워드:조용한,미즐카페엠,"음식점>카페,디저트",서울특별시 강북구 4.19로 107,127.0037966,37.6436116,,https://www.instagram.com/mizzlecafem,False,True
