YEAR,MONTH,gu_code,gu_name,total_geton,total_getoff,total_passenger
2022,1,11680.0,강남구,9708350,9683576,19391926
2022,1,11740.0,강동구,3480387,3317290,6797677
2022,1,11305.0,강북구,1629651,1873908,3503559
2022,1,11500.0,강서구,2679278,3464455,6143733
2022,1,11620.0,관악구,3406869,3224837,6631706
2022,1,11215.0,광진구,4397778,4249706,8647484
2022,1,11530.0,구로구,3254522,3118754,6373276
2022,1,11545.0,금천구,589736,573156,1162892
2022,1,11350.0,노원구,3739202,3566577,7305779
2022,1,11320.0,도봉구,1300628,1287171,2587799
2022,1,11230.0,동대문구,1259464,1184241,2443705
2022,1,11590.0,동작구,3886294,4166301,8052595
2022,1,11440.0,마포구,5423217,5190896,10614113
2022,1,11410.0,서대문구,1450343,1396576,2846919
2022,1,11650.0,서초구,4779013,4876058,9655071
2022,1,11200.0,성동구,3350261,3305764,6656025
2022,1,11290.0,성북구,2217254,2263780,4481034
2022,1,11710.0,송파구,6154458,5774243,11928701
2022,1,11470.0,양천구,1450308,1434593,2884901
2022,1,11560.0,영등포구,2654028,3358415,6012443
2022,1,11170.0,용산구,1675761,1638414,3314175
2022,1,11380.0,은평구,2938045,2770727,5708772
2022,1,11110.0,종로구,4342692,4083059,8425751
2022,1,11140.0,중구,6034978,5843985,11878963
2022,1,11260.0,중랑구,1804357,1729566,3533923
2022,2,11680.0,강남구,8142750,8136135,16278885
2022,2,11740.0,강동구,2948987,2822700,5771687
2022,2,11305.0,강북구,1409846,1622942,3032788
2022,2,11500.0,강서구,2303844,2972611,5276455
2022,2,11620.0,관악구,2918658,2796006,5714664
2022,2,11215.0,광진구,3750580,3608749,7359329
2022,2,11530.0,구로구,2759967,2648857,5408824
2022,2,11545.0,금천구,490413,480234,970647
2022,2,11350.0,노원구,3214646,3070428,6285074
2022,2,11320.0,도봉구,1113918,1103632,2217550
2022,2,11230.0,동대문구,1037399,974432,2011831
2022,2,11590.0,동작구,3312686,3565439,6878125
2022,2,11440.0,마포구,4596148,4408126,9004274
2022,2,11410.0,서대문구,1242766,1201361,2444127
2022,2,11650.0,서초구,4086103,4042708,8128811
2022,2,11200.0,성동구,2851007,2822592,5673599
2022,2,11290.0,성북구,1907124,1964473,3871597
2022,2,11710.0,송파구,5147204,4832631,9979835
2022,2,11470.0,양천구,1231802,1216552,2448354
2022,2,11560.0,영등포구,2247247,2839690,5086937
2022,2,11170.0,용산구,1400655,1370633,2771288
2022,2,11380.0,은평구,2522164,2386350,4908514
2022,2,11110.0,종로구,3646743,3436870,7083613
2022,2,11140.0,중구,5042615,4870897,9913512
2022,2,11260.0,중랑구,1553239,1491808,3045047
2022,3,11680.0,강남구,8948284,8983888,17932172
2022,3,11740.0,강동구,3326773,3167095,6493868
2022,3,11305.0,강북구,1605762,1842893,3448655
2022,3,11500.0,강서구,2587349,3302588,5889937
2022,3,11620.0,관악구,3342619,3157696,6500315
2022,3,11215.0,광진구,4329291,4161777,8491068
2022,3,11530.0,구로구,3090768,2977586,6068354
2022,3,11545.0,금천구,549462,541124,1090586
2022,3,11350.0,노원구,3648097,3478846,7126943
2022,3,11320.0,도봉구,1258592,1247753,2506345
2022,3,11230.0,동대문구,1189790,1116220,2306010
2022,3,11590.0,동작구,3810658,4092707,7903365
2022,3,11440.0,마포구,5256622,5044609,10301231
2022,3,11410.0,서대문구,1446200,1395553,2841753
2022,3,11650.0,서초구,4512840,4549118,9061958
2022,3,11200.0,성동구,3360305,3324499,6684804
2022,3,11290.0,성북구,2302329,2342899,4645228
2022,3,11710.0,송파구,5814893,5454125,11269018
2022,3,11470.0,양천구,1372944,1350127,2723071
2022,3,11560.0,영등포구,2573029,3230680,5803709
2022,3,11170.0,용산구,1613398,1581310,3194708
2022,3,11380.0,은평구,2862591,2698554,5561145
2022,3,11110.0,종로구,4166090,3940136,8106226
2022,3,11140.0,중구,5760383,5601476,11361859
2022,3,11260.0,중랑구,1768886,1691093,3459979
2022,4,11680.0,강남구,9864893,9978154,19843047
2022,4,11740.0,강동구,3654191,3450297,7104488
2022,4,11305.0,강북구,1723427,1974654,3698081
2022,4,11500.0,강서구,2832753,3614071,6446824
2022,4,11620.0,관악구,3627231,3391084,7018315
2022,4,11215.0,광진구,4938785,4756844,9695629
