연도,자치구코드,모형,연평균_스트레스점수,연합계_총이동인구수,연평균_평균이동시간,월개수
2022,11010,CRITIC기반,17.21669786929716,13729138.56,62.381300171554734,1
2022,11010,PCA기반,29.20600564754583,13729138.56,62.381300171554734,1
2022,11010,문헌기반,26.193624026842965,13729138.56,62.381300171554734,1
2022,11020,CRITIC기반,16.68830306098708,13731655.64,61.52209536939678,1
2022,11020,PCA기반,28.5482872153235,13731655.64,61.52209536939678,1
2022,11020,문헌기반,25.676803588725644,13731655.64,61.52209536939678,1
2022,11030,CRITIC기반,13.799794227588276,11827765.61,56.955143803470364,1
2022,11030,PCA기반,24.028656072366964,11827765.61,56.955143803470364,1
2022,11030,문헌기반,21.845792013765514,11827765.61,56.955143803470364,1
2022,11040,CRITIC기반,14.141822041775317,13354638.73,53.03825585024979,1
2022,11040,PCA기반,25.581395069485957,13354638.73,53.03825585024979,1
2022,11040,문헌기반,23.475877956107706,13354638.73,53.03825585024979,1
2022,11050,CRITIC기반,14.98468233194052,14296376.12,51.92957857864575,1
2022,11050,PCA기반,27.31319177166478,14296376.12,51.92957857864575,1
2022,11050,문헌기반,25.1185063280619,14296376.12,51.92957857864575,1
2022,11060,CRITIC기반,14.489048362991536,13468203.82,53.513596994903715,1
2022,11060,PCA기반,26.08136507571587,13468203.82,53.513596994903715,1
2022,11060,문헌기반,23.895439378429757,13468203.82,53.513596994903715,1
2022,11070,CRITIC기반,13.094204556887581,12655518.2,51.182861628946505,1
2022,11070,PCA기반,23.952821445423904,12655518.2,51.182861628946505,1
2022,11070,문헌기반,22.08293069140279,12655518.2,51.182861628946505,1
2022,11080,CRITIC기반,16.113367092437866,15289508.61,52.58353737525863,1
2022,11080,PCA기반,29.303114903192284,15289508.61,52.58353737525863,1
2022,11080,문헌기반,26.899518574823635,15289508.61,52.58353737525863,1
2022,11090,CRITIC기반,11.068233435526787,10399684.99,52.2015515089172,1
2022,11090,PCA기반,19.979804405024975,10399684.99,52.2015515089172,1
2022,11090,문헌기반,18.380702319975306,10399684.99,52.2015515089172,1
2022,11100,CRITIC기반,10.054697814577198,9559203.22,51.52884732934478,1
2022,11100,PCA기반,18.24050548288661,9559203.22,51.52884732934478,1
2022,11100,문헌기반,16.81289548874686,9559203.22,51.52884732934478,1
2022,11110,CRITIC기반,18.48053806550636,18243436.7,50.418584281250794,1
2022,11110,PCA기반,34.166065334173574,18243436.7,50.418584281250794,1
2022,11110,문헌기반,31.555982449252124,18243436.7,50.418584281250794,1
2022,11120,CRITIC기반,16.47264875284348,15520392.629999999,52.81074995459248,1
2022,11120,PCA기반,29.900356016741817,15520392.629999999,52.81074995459248,1
2022,11120,문헌기반,27.427928580927983,15520392.629999999,52.81074995459248,1
2022,11130,CRITIC기반,14.633867251034566,13295309.62,55.12289557654868,1
2022,11130,PCA기반,26.067154597000687,13295309.62,55.12289557654868,1
2022,11130,문헌기반,23.796165996222832,13295309.62,55.12289557654868,1
