파일명,원본행수,전처리후행수,커버리지
20220801_OUTPUT.csv,6332637,4322471,0.9687403934696868
20220802_OUTPUT.csv,6276313,4303740,0.9699485664275896
20220803_OUTPUT.csv,6423282,4386839,0.9692208149152894
20220804_OUTPUT.csv,6664095,4522749,0.9696684818509576
20220805_OUTPUT.csv,6780265,4526747,0.968895195328497
20220806_OUTPUT.csv,5828761,3925347,0.9677564080157343
20220807_OUTPUT.csv,4998717,3463067,0.9657474625833602
20220808_OUTPUT.csv,5832474,4130341,0.9692177889061605
20220809_OUTPUT.csv,5445330,3889965,0.9672089933489534
20220810_OUTPUT.csv,6398289,4379774,0.9675051233675916
20220811_OUTPUT.csv,6445501,4417032,0.9682542302181414
20220812_OUTPUT.csv,6926431,4607170,0.9689266131269454
20220813_OUTPUT.csv,5685649,3824347,0.9663918000387858
20220814_OUTPUT.csv,4982988,3381382,0.9687836285320134
20220815_OUTPUT.csv,4758196,3329661,0.9636175315920585
20220816_OUTPUT.csv,6679788,4592905,0.9678093388450036
20220817_OUTPUT.csv,6821542,4668181,0.9684838210267969
20220818_OUTPUT.csv,6862111,4675953,0.9689860572158775
20220819_OUTPUT.csv,6691757,4557154,0.9693030249827146
20220820_OUTPUT.csv,6103337,4094316,0.967350805467073
20220821_OUTPUT.csv,5229658,3623029,0.9657525369329394
20220822_OUTPUT.csv,6666944,4625874,0.9682164592714498
20220823_OUTPUT.csv,6808743,4666875,0.9685182614484575
20220824_OUTPUT.csv,6939634,4736337,0.9688121756323318
20220825_OUTPUT.csv,6831923,4664580,0.9686425469658331
20220826_OUTPUT.csv,7257473,4792486,0.9684052723660264
20220827_OUTPUT.csv,6552026,4310883,0.9689203861761678
20220828_OUTPUT.csv,5538811,3756671,0.9666604352200243
20220829_OUTPUT.csv,6709927,4610050,0.9682293094399779
20220830_OUTPUT.csv,6387875,4407404,0.9696998781163643
20220831_OUTPUT.csv,6948235,4597013,0.9696247566385781
