YEAR,MONTH,HOUR,HALF_HOUR,STATION_ID,LINE_NM,"STATION,_NM",GETON_CNT,GETOFF_CNT,gu_name,gu_code
2022,8,0,0,150,1호선,서울역,1491,553,중구,11140
2022,8,0,0,151,1호선,시청,218,139,중구,11140
2022,8,0,0,152,1호선,종각,775,190,종로구,11110
2022,8,0,0,153,1호선,종로3가,927,363,종로구,11110
2022,8,0,0,154,1호선,종로5가,156,74,종로구,11110
2022,8,0,0,155,1호선,동대문,191,311,종로구,11110
2022,8,0,0,156,1호선,신설동,217,223,동대문구,11230
2022,8,0,0,157,1호선,제기동,67,95,동대문구,11230
2022,8,0,0,158,1호선,청량리(서울시립대입구),102,228,동대문구,11230
2022,8,0,0,159,1호선,동묘앞,71,272,종로구,11110
2022,8,0,0,201,2호선,시청,1000,363,중구,11140
2022,8,0,0,202,2호선,을지로입구,2295,808,중구,11140
2022,8,0,0,203,2호선,을지로3가,2486,482,중구,11140
2022,8,0,0,204,2호선,을지로4가,588,419,중구,11140
2022,8,0,0,205,2호선,동대문역사문화공원(DDP),846,769,중구,11140
2022,8,0,0,206,2호선,신당,692,1064,중구,11140
2022,8,0,0,207,2호선,상왕십리,304,1084,성동구,11200
2022,8,0,0,208,2호선,왕십리(성동구청),1515,1555,성동구,11200
2022,8,0,0,209,2호선,한양대,499,354,성동구,11200
2022,8,0,0,210,2호선,뚝섬,1182,719,성동구,11200
2022,8,0,0,211,2호선,성수,2240,1598,성동구,11200
2022,8,0,0,212,2호선,건대입구,5597,2996,광진구,11215
2022,8,0,0,213,2호선,구의(광진구청),910,1958,광진구,11215
2022,8,0,0,214,2호선,강변(동서울터미널),765,1526,광진구,11215
2022,8,0,0,215,2호선,잠실나루,254,597,광진구,11215
2022,8,0,0,216,2호선,잠실(송파구청),2831,2459,송파구,11710
2022,8,0,0,217,2호선,잠실새내,1689,1319,송파구,11710
2022,8,0,0,218,2호선,종합운동장,249,335,송파구,11710
2022,8,0,0,219,2호선,삼성(무역센터),1924,883,강남구,11680
2022,8,0,0,220,2호선,선릉,3248,1264,강남구,11680
2022,8,0,0,221,2호선,역삼,2647,981,강남구,11680
2022,8,0,0,222,2호선,강남,10514,2090,강남구,11680
2022,8,0,0,223,2호선,교대(법원.검찰청),2118,993,서초구,11650
2022,8,0,0,224,2호선,서초,680,424,서초구,11650
2022,8,0,0,225,2호선,방배,815,849,서초구,11650
2022,8,0,0,226,2호선,사당,3643,3175,동작구,11590
2022,8,0,0,227,2호선,낙성대(강감찬),825,2609,관악구,11620
2022,8,0,0,228,2호선,서울대입구(관악구청),2140,4655,관악구,11620
2022,8,0,0,229,2호선,봉천,514,2147,관악구,11620
2022,8,0,0,230,2호선,신림,2809,5711,관악구,11620
2022,8,0,0,231,2호선,신대방,533,2145,동작구,11590
2022,8,0,0,232,2호선,구로디지털단지,2207,2966,구로구,11530
2022,8,0,0,233,2호선,대림(구로구청),538,1457,구로구,11530
2022,8,0,0,234,2호선,신도림,1683,4913,구로구,11530
2022,8,0,0,235,2호선,문래,1333,830,영등포구,11560
2022,8,0,0,236,2호선,영등포구청,975,1160,영등포구,11560
2022,8,0,0,237,2호선,당산,898,1428,영등포구,11560
2022,8,0,0,238,2호선,합정,4009,1724,마포구,11440
2022,8,0,0,239,2호선,홍대입구,8129,3192,마포구,11440
2022,8,0,0,240,2호선,신촌,3868,1892,마포구,11440
2022,8,0,0,241,2호선,이대,521,1064,서대문구,11410
2022,8,0,0,242,2호선,아현,242,706,마포구,11440
2022,8,0,0,243,2호선,충정로(경기대입구),455,495,서대문구,11410
2022,8,0,0,244,2호선,용답,47,295,성동구,11200
