YEAR,MONTH,HOUR,HALF_HOUR,STATION_ID,LINE_NM,"STATION,_NM",GETON_CNT,GETOFF_CNT,gu_name,gu_code
2022,4,0,0,150,1호선,서울역,81,35,중구,11140
2022,4,0,0,151,1호선,시청,41,13,중구,11140
2022,4,0,0,152,1호선,종각,204,19,종로구,11110
2022,4,0,0,153,1호선,종로3가,152,61,종로구,11110
2022,4,0,0,154,1호선,종로5가,51,39,종로구,11110
2022,4,0,0,155,1호선,동대문,21,59,종로구,11110
2022,4,0,0,156,1호선,신설동,35,20,동대문구,11230
2022,4,0,0,157,1호선,제기동,8,17,동대문구,11230
2022,4,0,0,158,1호선,청량리(서울시립대입구),15,17,동대문구,11230
2022,4,0,0,159,1호선,동묘앞,5,224,종로구,11110
2022,4,0,0,201,2호선,시청,24,13,중구,11140
2022,4,0,0,202,2호선,을지로입구,4,30,중구,11140
2022,4,0,0,203,2호선,을지로3가,20,5,중구,11140
2022,4,0,0,204,2호선,을지로4가,10,3,중구,11140
2022,4,0,0,205,2호선,동대문역사문화공원(DDP),8,9,중구,11140
2022,4,0,0,206,2호선,신당,5,6,중구,11140
2022,4,0,0,207,2호선,상왕십리,4,5,성동구,11200
2022,4,0,0,208,2호선,왕십리(성동구청),23,9,성동구,11200
2022,4,0,0,209,2호선,한양대,4,1,성동구,11200
2022,4,0,0,210,2호선,뚝섬,10,7,성동구,11200
2022,4,0,0,211,2호선,성수,17,75,성동구,11200
2022,4,0,0,212,2호선,건대입구,89,114,광진구,11215
2022,4,0,0,213,2호선,구의(광진구청),28,18,광진구,11215
2022,4,0,0,214,2호선,강변(동서울터미널),12,13,광진구,11215
2022,4,0,0,215,2호선,잠실나루,9,11,광진구,11215
2022,4,0,0,216,2호선,잠실(송파구청),49,53,송파구,11710
2022,4,0,0,217,2호선,잠실새내,38,12,송파구,11710
2022,4,0,0,218,2호선,종합운동장,20,16,송파구,11710
2022,4,0,0,219,2호선,삼성(무역센터),11,33,강남구,11680
2022,4,0,0,220,2호선,선릉,22,16,강남구,11680
2022,4,0,0,221,2호선,역삼,22,6,강남구,11680
2022,4,0,0,222,2호선,강남,76,23,강남구,11680
2022,4,0,0,223,2호선,교대(법원.검찰청),21,5,서초구,11650
2022,4,0,0,224,2호선,서초,3,5,서초구,11650
2022,4,0,0,225,2호선,방배,10,8,서초구,11650
2022,4,0,0,226,2호선,사당,70,24,동작구,11590
2022,4,0,0,227,2호선,낙성대(강감찬),14,23,관악구,11620
2022,4,0,0,228,2호선,서울대입구(관악구청),7,74,관악구,11620
2022,4,0,0,229,2호선,봉천,5,5,관악구,11620
2022,4,0,0,230,2호선,신림,50,30,관악구,11620
2022,4,0,0,231,2호선,신대방,4,8,동작구,11590
2022,4,0,0,232,2호선,구로디지털단지,28,8,구로구,11530
2022,4,0,0,233,2호선,대림(구로구청),14,14,구로구,11530
