YEAR,MONTH,HOUR,HALF_HOUR,STATION_ID,LINE_NM,"STATION,_NM",GETON_CNT,GETOFF_CNT,gu_name,gu_code
2022,12,0,0,150,1호선,서울역,1956,707,중구,11140
2022,12,0,0,151,1호선,시청,343,199,중구,11140
2022,12,0,0,152,1호선,종각,1316,340,종로구,11110
2022,12,0,0,153,1호선,종로3가,1366,517,종로구,11110
2022,12,0,0,154,1호선,종로5가,322,149,종로구,11110
2022,12,0,0,155,1호선,동대문,369,586,종로구,11110
2022,12,0,0,156,1호선,신설동,267,289,동대문구,11230
2022,12,0,0,157,1호선,제기동,112,126,동대문구,11230
2022,12,0,0,158,1호선,청량리(서울시립대입구),124,380,동대문구,11230
2022,12,0,0,159,1호선,동묘앞,89,355,종로구,11110
2022,12,0,0,201,2호선,시청,1343,494,중구,11140
2022,12,0,0,202,2호선,을지로입구,3305,941,중구,11140
2022,12,0,0,203,2호선,을지로3가,3089,633,중구,11140
2022,12,0,0,204,2호선,을지로4가,782,596,중구,11140
2022,12,0,0,205,2호선,동대문역사문화공원(DDP),1190,1331,중구,11140
2022,12,0,0,206,2호선,신당,976,1332,중구,11140
2022,12,0,0,207,2호선,상왕십리,402,1508,성동구,11200
2022,12,0,0,208,2호선,왕십리(성동구청),2169,2016,성동구,11200
2022,12,0,0,209,2호선,한양대,970,434,성동구,11200
2022,12,0,0,210,2호선,뚝섬,1553,948,성동구,11200
2022,12,0,0,211,2호선,성수,3104,2020,성동구,11200
2022,12,0,0,212,2호선,건대입구,6666,3806,광진구,11215
2022,12,0,0,213,2호선,구의(광진구청),1206,2601,광진구,11215
2022,12,0,0,214,2호선,강변(동서울터미널),871,1938,광진구,11215
2022,12,0,0,215,2호선,잠실나루,366,994,광진구,11215
2022,12,0,0,216,2호선,잠실(송파구청),4171,3284,송파구,11710
2022,12,0,0,217,2호선,잠실새내,2031,1740,송파구,11710
2022,12,0,0,218,2호선,종합운동장,1223,554,송파구,11710
2022,12,0,0,219,2호선,삼성(무역센터),2814,1146,강남구,11680
2022,12,0,0,220,2호선,선릉,4072,1692,강남구,11680
2022,12,0,0,221,2호선,역삼,3665,1242,강남구,11680
2022,12,0,0,222,2호선,강남,13180,2826,강남구,11680
2022,12,0,0,223,2호선,교대(법원.검찰청),2797,1314,서초구,11650
2022,12,0,0,224,2호선,서초,791,698,서초구,11650
2022,12,0,0,225,2호선,방배,1117,1130,서초구,11650
2022,12,0,0,226,2호선,사당,5111,4082,동작구,11590
2022,12,0,0,227,2호선,낙성대(강감찬),1169,3527,관악구,11620
2022,12,0,0,228,2호선,서울대입구(관악구청),3269,5697,관악구,11620
2022,12,0,0,229,2호선,봉천,725,2753,관악구,11620
2022,12,0,0,230,2호선,신림,3631,7194,관악구,11620
2022,12,0,0,231,2호선,신대방,660,2869,동작구,11590
