연월,출발_자치구코드,도착_자치구코드,start_arv_place_type,총이동인구수,인구가중평균이동시간
2022-01,11010,21020,EH,176.13,298.3667745415318
2022-01,11010,21020,WH,9.57,237.0
2022-01,11010,21030,EH,192.75,275.58770428015566
2022-01,11010,21040,EH,205.44,358.9404692367601
2022-01,11010,21040,WH,4.12,264.5
2022-01,11010,21050,EH,557.72,291.66913504984575
2022-01,11010,21050,WH,20.71,266.8918396909705
2022-01,11010,21060,EH,509.95,307.570820668693
2022-01,11010,21060,WH,12.08,261.6274834437086
2022-01,11010,21070,EH,644.9,326.41563033028376
2022-01,11010,21070,WH,29.0,299.8141379310345
2022-01,11010,21080,EH,356.82,319.8390785269884
2022-01,11010,21080,WH,17.6,260.45681818181816
2022-01,11010,21090,EH,814.71,318.8716966773453
2022-01,11010,21090,WH,59.83,302.4728397125188
2022-01,11010,21100,EH,449.48,333.4791981845689
2022-01,11010,21100,WH,12.67,269.71507498026835
2022-01,11010,21110,EH,479.55,307.05048482952765
2022-01,11010,21110,WH,6.1,186.0
2022-01,11010,21120,EH,218.24,329.14089992668625
2022-01,11010,21130,EH,486.4,297.6735197368421
2022-01,11010,21130,WH,4.48,257.0
2022-01,11010,21140,EH,404.87,301.7938844567392
2022-01,11010,21140,WH,22.35,244.4845637583892
2022-01,11010,21150,EH,205.58,313.0977235139605
2022-01,11010,21150,WH,8.08,275.5
2022-01,11010,21310,EH,185.55,306.5409323632444
2022-01,11010,22010,EH,333.54,240.11189062781074
2022-01,11010,22010,WH,9.86,208.56795131845843
2022-01,11010,22020,EH,728.33,246.35172243351226
2022-01,11010,22020,WH,35.31,201.97252902860376
2022-01,11010,22030,EH,208.85,272.5717500598516
2022-01,11010,22030,WH,14.440000000000001,253.44806094182826
2022-01,11010,22040,EH,311.78,234.0947142215665
2022-01,11010,22040,WH,10.36,204.15154440154444
2022-01,11010,22050,EH,1046.19,244.55232797101866
2022-01,11010,22050,WH,45.05,203.62597114317427
2022-01,11010,22060,EH,1688.22,242.46617739394154
2022-01,11010,22060,WH,117.18,231.55768902543096
2022-01,11010,22070,EH,1299.05,268.48898040876026
2022-01,11010,22070,WH,51.21,216.37082601054482
2022-01,11010,22310,EH,490.26,268.2528250316159
2022-01,11010,22310,WH,8.6,229.68372093023254
2022-01,11010,23010,EH,7570.16,125.50662601583058
2022-01,11010,23010,WH,3452.52,107.28725105140593
2022-01,11010,23020,EH,1456.63,123.74616752366764
2022-01,11010,23020,WH,1199.65,102.69125161505438
2022-01,11010,23030,EH,12676.5,127.91747879935313
2022-01,11010,23030,WH,8996.15,109.67261439615837
2022-01,11010,23040,EH,11778.14,131.89863934373338
2022-01,11010,23040,WH,5255.13,114.67531345561386
2022-01,11010,23050,EH,16152.22,125.97681742819253
2022-01,11010,23050,WH,9756.59,106.82406558028983
2022-01,11010,23060,EH,23718.25,114.11713511747284
2022-01,11010,23060,WH,21347.26,98.2680667214434
2022-01,11010,23070,EH,13762.06,112.01335483205277
2022-01,11010,23070,WH,10854.45,91.31907742907286
2022-01,11010,23080,EH,25250.16,115.85495339435472
2022-01,11010,23080,WH,18327.31,96.64611064035037
2022-01,11010,23310,EH,1850.47,156.60790501872495
2022-01,11010,23310,WH,213.35,106.2947738457933
2022-01,11010,23320,EH,85.2,221.2225352112676
2022-01,11010,24010,EH,276.99,264.97209285533773
2022-01,11010,24010,WH,3.27,213.0
2022-01,11010,24020,EH,665.34,268.9750653801064
2022-01,11010,24020,WH,39.629999999999995,203.36361342417362
2022-01,11010,24030,EH,563.13,278.2354163337062
2022-01,11010,24030,WH,17.959999999999997,252.52394209354122
2022-01,11010,24040,EH,849.82,292.5226400884893
2022-01,11010,24040,WH,23.340000000000003,252.3033419023136
2022-01,11010,24050,EH,622.51,263.67250325295976
2022-01,11010,24050,WH,10.99,251.1956323930846
2022-01,11010,25010,EH,1164.1,193.91833175844
2022-01,11010,25010,WH,135.92,132.0582695703355
2022-01,11010,25020,EH,1321.11,190.12068639250327
2022-01,11010,25020,WH,82.14,159.12990017044072
2022-01,11010,25030,EH,3248.8,196.98643806944102
2022-01,11010,25030,WH,400.13,158.14085422237773
2022-01,11010,25040,EH,3404.3,206.49024762799988
2022-01,11010,25040,WH,325.55,164.14037782214714
2022-01,11010,25050,EH,808.5,191.08112554112554
2022-01,11010,25050,WH,59.4,128.48737373737373
2022-01,11010,26010,EH,370.82,290.6794401596462
2022-01,11010,26010,WH,42.01,239.877648179005
2022-01,11010,26020,EH,630.73,283.7720102103911
2022-01,11010,26020,WH,29.66,234.8405259608901
2022-01,11010,26030,EH,163.41,295.4942781959489
2022-01,11010,26030,WH,4.08,263.0
2022-01,11010,26040,EH,178.74,320.3190668009399
2022-01,11010,26040,WH,20.73,247.82682103232028
2022-01,11010,26310,EH,429.15999999999997,294.1225417093858
2022-01,11010,26310,WH,24.3,204.7485596707819
2022-01,11010,29010,EH,4716.59,172.89051412143095
2022-01,11010,29010,WH,1310.6299999999999,143.14390026170622
2022-01,11010,31011,EH,11733.99,120.2383127989712
2022-01,11010,31011,WH,7217.54,102.09964891084775
2022-01,11010,31012,EH,11399.58,121.86703457495803
2022-01,11010,31012,WH,7409.87,103.52871642822343
2022-01,11010,31013,EH,7267.91,123.98309555291686
2022-01,11010,31013,WH,4521.48,104.01248263842814
2022-01,11010,31014,EH,14964.74,119.29075680566451
2022-01,11010,31014,WH,8538.58,108.87047963478706
2022-01,11010,31021,EH,16623.57,105.89573178324511
2022-01,11010,31021,WH,12246.39,92.29950867153505
2022-01,11010,31022,EH,10441.97,112.86227694582537
2022-01,11010,31022,WH,7646.85,96.37214670092914
2022-01,11010,31023,EH,56324.78,99.61698350175536
2022-01,11010,31023,WH,41667.29,86.64789454749756
2022-01,11010,31030,EH,56105.27,101.18773013658075
2022-01,11010,31030,WH,63574.8,85.8309186973455
2022-01,11010,31041,EH,13755.960000000001,103.97245048691622
2022-01,11010,31041,WH,12262.460000000001,93.54042663543856
2022-01,11010,31042,EH,23485.05,105.95352490201213
2022-01,11010,31042,WH,19667.54,89.75269759207303
2022-01,11010,31050,EH,55694.99,105.4801404937859
2022-01,11010,31050,WH,52605.3,88.53199164342757
2022-01,11010,31060,EH,20766.829999999998,99.00168634307693
2022-01,11010,31060,WH,20782.42,82.78341502096484
2022-01,11010,31070,EH,8872.88,161.44650553146218
2022-01,11010,31070,WH,1869.99,131.9920320429521
2022-01,11010,31080,EH,9293.59,134.22915687048814
2022-01,11010,31080,WH,6089.73,107.91860066045622
2022-01,11010,31091,EH,11700.289999999999,129.93041027188215
2022-01,11010,31091,WH,6699.07,120.58514987901306
2022-01,11010,31092,EH,8878.3,132.88747845871396
