자치구코드,총이동인구수,평균이동시간,총이동시간,유입인구_norm,평균이동시간_norm,총이동시간_norm,출퇴근스트레스점수,모형,가중치_유입인구,가중치_평균이동시간,가중치_총이동시간
11240,41.9,986.3333333333334,41327.36666666667,1.0,0.33136386016740527,1.0,76.59773510585919,문헌기반,0.45,0.35,0.2
11200,19.13,1095.5,20956.914999999997,0.429037111334002,0.49261447562776955,0.48378904629881303,46.22395758297829,문헌기반,0.45,0.35,0.2
39020,16.2,1141.6,18493.92,0.35556670010030095,0.560709010339734,0.42137388640367146,44.05279459447766,문헌기반,0.45,0.35,0.2
11030,13.82,1197.5,16549.45,0.29588766298896696,0.6432791728212703,0.37209875350193766,43.27169095328673,문헌기반,0.45,0.35,0.2
11220,16.509999999999998,1079.8333333333333,17828.04833333333,0.36334002006018057,0.4694731659281141,0.40449992338521445,40.87186017789641,문헌기반,0.45,0.35,0.2
35030,18.87,1003.8333333333334,18942.335000000003,0.422517552657974,0.3572131954702118,0.43273724439846245,40.170496599035495,문헌기반,0.45,0.35,0.2
36020,18.439999999999998,1013.4,18687.095999999998,0.41173520561685056,0.3713441654357459,0.4262691910745717,40.050513864500815,문헌기반,0.45,0.35,0.2
35012,14.79,1106.4,16363.656,0.3202106318956871,0.508714918759232,0.3673905173026933,39.56231093793291,문헌기반,0.45,0.35,0.2
33030,3.17,1439.0,4561.63,0.028836509528585758,1.0,0.06831344249067825,37.663911778599925,문헌기반,0.45,0.35,0.2
36060,3.51,1423.0,4994.73,0.03736208625877633,0.9763663220088626,0.07928870056086751,37.439889163172474,문헌기반,0.45,0.35,0.2
11080,14.22,1072.4,15249.528000000002,0.3059177532597794,0.45849335302806515,0.33915721708744545,36.59671059442126,문헌기반,0.45,0.35,0.2
24010,11.3,1148.75,12980.875,0.2326980942828486,0.5712703101920237,0.2816669096602713,36.09921329265444,문헌기반,0.45,0.35,0.2
34040,6.5,1288.5,8375.25,0.11233701103309932,0.7776957163958641,0.1649550118317894,35.5736158069805,문헌기반,0.45,0.35,0.2
29010,6.82,1271.0,8668.220000000001,0.12036108324974928,0.7518463810930576,0.17237921260949285,35.178456336685585,문헌기반,0.45,0.35,0.2
24050,7.66,1241.3333333333333,9508.613333333333,0.1414242728184554,0.7080256031511569,0.19367575778104656,35.01850354274192,문헌기반,0.45,0.35,0.2
31350,5.91,1286.0,7600.26,0.09754262788365096,0.7740029542097489,0.14531586324759177,34.385838917057335,문헌기반,0.45,0.35,0.2
25030,2.24,1409.0,3156.1600000000003,0.005516549648946846,0.9556868537666174,0.03269719691250018,34.35122855428422,문헌기반,0.45,0.35,0.2
39010,10.86,1120.25,12165.914999999999,0.2216649949849549,0.5291728212703102,0.2610148747563658,33.71627101391114,문헌기반,0.45,0.35,0.2
11230,14.4,1006.5,14493.6,0.310431293881645,0.36115214180206795,0.32000112176885376,33.00975562312347,문헌기반,0.45,0.35,0.2
11040,7.38,1212.0,8944.56,0.13440320962888666,0.6646971935007385,0.17938198983211137,32.900186002467976,문헌기반,0.45,0.35,0.2
31191,19.48,851.0,16577.48,0.437813440320963,0.13146233382570163,0.37280906632509025,31.758967824844696,문헌기반,0.45,0.35,0.2
34012,5.82,1232.0,7170.240000000001,0.09528585757271817,0.6942392909896603,0.13441865596210853,31.274611894652597,문헌기반,0.45,0.35,0.2
36010,9.99,1100.3333333333333,10992.33,0.19984954864593785,0.4997538158542589,0.23127486496116129,31.110110543189485,문헌기반,0.45,0.35,0.2
34370,3.31,1306.0,4322.86,0.03234704112337011,0.8035450516986706,0.06226273279449007,30.824948315894922,문헌기반,0.45,0.35,0.2
32340,2.2,1341.0,2950.2000000000003,0.0045135406218656015,0.8552437223042836,0.02747793080274219,30.68619822468872,문헌기반,0.45,0.35,0.2
32320,4.57,1261.0,5762.77,0.0639418254764293,0.7370753323485968,0.09875172805619926,30.650053339764188,문헌기반,0.45,0.35,0.2
25010,6.03,1203.0,7254.09,0.1005516549648947,0.6514032496307238,0.13654351255223868,30.05480846154037,문헌기반,0.45,0.35,0.2
35310,7.75,1142.6666666666667,8855.666666666668,0.1436810431293882,0.5622845888724767,0.17712932930555245,29.6881941374702,문헌기반,0.45,0.35,0.2
11070,6.859999999999999,1163.0,7978.179999999999,0.1213640922768305,0.5923190546528804,0.15489279589567748,29.290406983221732,문헌기반,0.45,0.35,0.2
24020,7.26,1136.0,8247.36,0.13139418254764296,0.552437223042836,0.16171413038501845,28.48232362884356,문헌기반,0.45,0.35,0.2
35011,12.68,960.0,12172.8,0.2673019057171515,0.29246676514032494,0.26118934866958043,27.4887095105748,문헌기반,0.45,0.35,0.2
11150,7.88,1097.0,8644.36,0.1469408224674022,0.4948301329394387,0.1717745724396597,27.366883112706645,문헌기반,0.45,0.35,0.2
11140,2.7,1260.0,3402.0,0.01705115346038115,0.7355982274741507,0.03892706863721809,27.291781240056785,문헌기반,0.45,0.35,0.2
11010,2.02,1267.0,2559.34,0.0,0.7459379615952733,0.01757308349423565,26.459290325719277,문헌기반,0.45,0.35,0.2
