start_dt,arv_dt,start_emd,arv_emd,start_arv_place_type,mvmn_time_sum,popl_cnt,연도,출발_자치구코드,도착_자치구코드
2019-09-30 08:00:00,2019-10-01 01:00:00,1112071,3501258,EH,1016,2.63,2019,11120,35012
2019-09-30 08:00:00,2019-10-01 01:00:00,1119055,3501174,HE,1027,2.19,2019,11190,35011
2019-09-30 08:00:00,2019-10-01 04:00:00,1103073,3404012,EH,1185,3.19,2019,11030,34040
2019-09-30 08:00:00,2019-10-01 07:40:00,1116063,3606011,HE,1423,3.51,2019,11160,36060
2019-09-30 08:20:00,2019-10-01 00:00:00,1124066,2204057,HE,928,8.78,2019,11240,22040
2019-09-30 08:20:00,2019-10-01 00:20:00,1115051,3337012,EH,979,6.05,2019,11150,33370
2019-09-30 08:20:00,2019-10-01 01:00:00,1116054,3602052,HE,997,2.06,2019,11160,36020
2019-09-30 08:20:00,2019-10-01 01:00:00,1124080,3502073,EH,998,2.28,2019,11240,35020
2019-09-30 08:20:00,2019-10-01 01:20:00,1114074,3501268,HE,1010,2.37,2019,11140,35012
2019-09-30 08:20:00,2019-10-01 01:40:00,1115065,2401064,HE,1030,2.74,2019,11150,24010
2019-09-30 08:20:00,2019-10-01 01:40:00,3534031,1107060,HE,1048,3.85,2019,35340,11070
2019-09-30 08:20:00,2019-10-01 02:00:00,1120056,2402066,HE,1067,2.2,2019,11200,24020
2019-09-30 08:20:00,2019-10-01 07:20:00,1112071,3901059,HE,1374,3.26,2019,11120,39010
2019-09-30 08:40:00,2019-10-01 00:00:00,3901011,1108058,EH,919,3.3,2019,39010,11080
2019-09-30 08:40:00,2019-10-01 01:00:00,1106073,3602031,HE,979,6.02,2019,11060,36020
2019-09-30 08:40:00,2019-10-01 01:00:00,1124080,3638011,EH,988,3.15,2019,11240,36380
2019-09-30 08:40:00,2019-10-01 01:20:00,1117071,3602066,EH,997,2.3,2019,11170,36020
2019-09-30 08:40:00,2019-10-01 02:20:00,3401159,1108064,EH,1065,2.72,2019,34011,11080
2019-09-30 08:40:00,2019-10-01 06:00:00,1123077,3135036,EH,1286,5.91,2019,11230,31350
2019-09-30 08:40:00,2019-10-01 07:40:00,1117064,2501077,HE,1375,2.74,2019,11170,25010
2019-09-30 09:00:00,2019-10-01 00:40:00,2207061,1124063,HE,926,2.67,2019,22070,11240
2019-09-30 09:00:00,2019-10-01 01:00:00,1117056,3501269,EH,957,2.74,2019,11170,35012
2019-09-30 09:00:00,2019-10-01 01:00:00,1125072,3501169,HE,973,2.06,2019,11250,35011
2019-09-30 09:00:00,2019-10-01 01:20:00,2405054,1102067,EH,988,5.72,2019,24050,11020
2019-09-30 09:00:00,2019-10-01 02:00:00,1117071,3602052,HE,1022,2.05,2019,11170,36020
2019-09-30 09:00:00,2019-10-01 02:40:00,1116071,2401051,HE,1062,2.28,2019,11160,24010
2019-09-30 09:00:00,2019-10-01 06:20:00,2101053,1101061,EH,1267,2.02,2019,21010,11010
2019-09-30 09:00:00,2019-10-01 08:40:00,3702067,1115063,EH,1425,3.54,2019,37020,11150
2019-09-30 09:20:00,2019-10-01 00:40:00,3701267,1122052,HE,928,2.06,2019,37012,11220
2019-09-30 09:20:00,2019-10-01 01:00:00,1109072,2404068,HE,931,3.52,2019,11090,24040
2019-09-30 09:20:00,2019-10-01 01:00:00,1119070,3603062,HE,934,3.02,2019,11190,36030
2019-09-30 09:20:00,2019-10-01 06:20:00,1123067,3232033,HE,1261,4.57,2019,11230,32320
2019-09-30 09:20:00,2019-10-01 07:40:00,1110061,3234037,HE,1341,2.2,2019,11100,32340
2019-09-30 09:20:00,2019-10-01 07:40:00,3203059,1103073,EH,1353,2.99,2019,32030,11030
2019-09-30 09:20:00,2019-10-01 09:00:00,1114072,2401068,HE,1421,2.25,2019,11140,24010
2019-09-30 09:40:00,2019-10-01 00:00:00,3902013,1122064,EH,863,2.4,2019,39020,11220
2019-09-30 09:40:00,2019-10-01 00:20:00,1102054,2301064,WH,866,2.36,2019,11020,23010
2019-09-30 09:40:00,2019-10-01 01:00:00,1119054,3503071,EH,914,3.14,2019,11190,35030
2019-09-30 09:40:00,2019-10-01 01:40:00,3231037,1108063,EH,967,2.39,2019,32310,11080
2019-09-30 09:40:00,2019-10-01 01:40:00,3631041,1102067,EH,955,3.52,2019,36310,11020
2019-09-30 09:40:00,2019-10-01 08:00:00,3408012,1108065,EH,1355,3.54,2019,34080,11080
2019-09-30 09:40:00,2019-10-01 08:40:00,1123076,3401252,HW,1378,3.53,2019,11230,34012
2019-09-30 10:00:00,2019-10-01 01:00:00,1102068,2405069,EH,906,3.18,2019,11020,24050
2019-09-30 10:00:00,2019-10-01 01:00:00,1103058,3501174,HE,905,3.03,2019,11030,35011
2019-09-30 10:00:00,2019-10-01 09:20:00,1124075,3404033,HE,1392,3.31,2019,11240,34040
2019-09-30 10:00:00,2019-10-01 10:00:00,1111079,3303033,HE,1439,3.17,2019,11110,33030
2019-09-30 10:20:00,2019-10-01 00:20:00,3107033,1112051,EH,833,3.3,2019,31070,11120
2019-09-30 10:20:00,2019-10-01 00:20:00,3404033,1124065,WH,851,2.69,2019,34040,11240
2019-09-30 10:20:00,2019-10-01 00:40:00,1113075,3201067,EH,855,3.31,2019,11130,32010
2019-09-30 10:20:00,2019-10-01 01:00:00,1108083,3503059,HE,875,3.96,2019,11080,35030
2019-09-30 10:20:00,2019-10-01 06:00:00,1125054,3438012,HE,1185,2.73,2019,11250,34380
2019-09-30 10:20:00,2019-10-01 06:40:00,3237032,1116069,HE,1230,3.28,2019,32370,11160
2019-09-30 10:20:00,2019-10-01 07:20:00,2204057,1114061,EH,1260,2.7,2019,22040,11140
2019-09-30 10:20:00,2019-10-01 08:20:00,1116069,3901012,HE,1324,2.4,2019,11160,39010
