연도,자치구코드,출퇴근스트레스점수
2019,11240,76.59773510585919
2019,11200,46.22395758297829
2019,39020,44.05279459447766
2019,11030,43.27169095328673
2019,11220,40.87186017789641
2019,35030,40.170496599035495
2019,36020,40.050513864500815
2019,35012,39.56231093793291
2019,33030,37.663911778599925
2019,36060,37.439889163172474
2019,11080,36.59671059442126
2019,24010,36.09921329265444
2019,34040,35.5736158069805
2019,29010,35.178456336685585
2019,24050,35.01850354274192
2019,31350,34.385838917057335
2019,25030,34.35122855428422
2019,39010,33.71627101391114
2019,11230,33.00975562312347
2019,11040,32.900186002467976
2019,31191,31.758967824844696
2019,34012,31.274611894652597
2019,36010,31.110110543189485
2019,34370,30.824948315894922
2019,32340,30.68619822468872
2019,32320,30.650053339764188
2019,25010,30.05480846154037
2019,35310,29.6881941374702
2019,11070,29.290406983221732
2019,24020,28.48232362884356
2019,35011,27.4887095105748
2019,11150,27.366883112706645
2019,11140,27.291781240056785
2019,11010,26.459290325719277
2019,24030,26.35547631580139
2019,36350,26.21493769710101
2019,36040,25.581035138680587
2019,35020,24.996860268408224
2019,34310,24.10468373822447
2019,34380,23.363618353152578
2019,11020,22.581721138187266
2019,11130,22.01150648620052
2019,32020,21.61190251411432
2019,35370,20.77435356727934
2019,36320,20.431983155503065
2019,11050,20.295777957035543
2019,11160,19.613089003260672
2019,22040,19.393706526626904
2019,11120,18.79401768420109
2019,11210,18.66160356534045
2019,23010,18.285497649964878
2019,33370,17.822221211631412
2019,31220,16.57719987114371
2019,38112,16.34013429633479
2019,32010,14.393471232167036
2019,36380,13.59063876952494
2019,36030,11.46141280785407
2019,24040,11.144902347421848
2019,21030,9.169358885162113
2019,32350,6.729313217200887
2019,31230,6.595614792858282
2019,31380,5.00483263874222
2019,35040,4.8447058309344575
2019,23040,4.565773193163755
2019,11190,4.240233280693711
2019,31270,4.083045362492017
2019,11110,3.9243306324751717
2019,11060,3.890680475584269
2019,25040,3.214689658949351
2019,11170,2.0911821389381644
