연도,월,자치구코드,자치구명,총이동인구수,평균이동시간,총이동시간,유입인구_norm,평균이동시간_norm,총이동시간_norm,출퇴근스트레스점수,가중치_유입인구,가중치_평균이동시간,가중치_총이동시간,원본파일
2022,1,11240,송파구,563446.22,44.98130217868624,25344544.68325853,1.0,0.0156551763385012,1.0,65.54793117184754,0.45,0.35,0.2,
2022,1,11230,강남구,556713.94,44.41355005199707,24725642.43883449,0.9880515301942064,0.0138554010884101,0.97557958431262,64.45884958308604,0.45,0.35,0.2,
2022,1,11160,강서구,394817.34,42.77684129443693,16889038.693471745,0.7007169813102255,0.0086670314196926,0.6663657742752471,45.162925744154336,0.45,0.35,0.2,
2022,1,11220,서초구,376024.14,43.85415888879316,16490222.381581804,0.6673627561808132,0.0120821301074188,0.6506294278538123,43.46678713897251,0.45,0.35,0.2,
2022,1,11110,노원구,381864.84,41.603743908911085,15887007.011177309,0.6777288472516984,0.0049483106238271,0.6268279790353426,43.207548578867225,0.45,0.35,0.2,
2022,1,11140,마포구,348491.25,46.28187879627248,16128829.794061491,0.6184973042341863,0.0197780065264369,0.6363697328969827,41.25200357690333,0.45,0.35,0.2,
2022,1,11190,영등포구,349737.61,44.57113425542488,15588201.969481427,0.6207093475281593,0.0143549432931898,0.615037840296245,40.73510045995371,0.45,0.35,0.2,
2022,1,11250,강동구,355181.83,42.50679350593795,15097640.704871155,0.6303717647606716,0.0078109794504705,0.5956814554877552,40.5537428047518,0.45,0.35,0.2,
2022,1,11210,관악구,317701.83,44.165419080474734,14031434.464583742,0.5638521535262689,0.0130688254679344,0.5536114842913701,36.902985485887214,0.45,0.35,0.2,
2022,1,11120,은평구,310464.01,43.19394960775704,13410166.802962177,0.5510064498820697,0.0099892655138182,0.5290977348477173,35.72686923463112,0.45,0.35,0.2,
2022,1,11080,성북구,300883.41,43.422006213290615,13064961.298496066,0.5340027735909192,0.0107122053584519,0.5154767438227463,34.714586875592104,0.45,0.35,0.2,
2022,1,11050,광진구,293310.96,44.66610041983158,13101056.793597205,0.5205631676653069,0.0146559862030455,0.5169009865084905,34.276321792215214,0.45,0.35,0.2,
2022,1,11200,동작구,266521.0,43.1673054245283,11504993.409050709,0.4730162700082844,0.0099048034056556,0.4539241082289416,30.71088243414958,0.45,0.35,0.2,
2022,1,11170,구로구,265101.37,43.22890032809141,11460040.700570485,0.4704967066225669,0.0101000593593604,0.4521503808959888,30.568861493512905,0.45,0.35,0.2,
2022,1,11150,양천구,272275.63,40.04276351424548,10902668.662782202,0.4832296037969139,0.0,0.4301578013279847,30.34848819742082,0.45,0.35,0.2,
2022,1,11010,종로구,226935.95,56.81586540735719,12893562.39129074,0.4027606100111021,0.0531707627948777,0.5087137491817882,30.15947913195609,0.45,0.35,0.2,
2022,1,11070,중랑구,254105.1,40.79104774347468,10365213.265960408,0.4509804951650288,0.0023720623358183,0.4089510852075281,28.556166168330503,0.45,0.35,0.2,
2022,1,11060,동대문구,243929.36,44.155743651753326,10770882.28929625,0.4329205626991174,0.0130381543417013,0.4249578233808144,28.43691719103612,0.45,0.35,0.2,
2022,1,11040,성동구,244069.9,43.16538822679668,10535371.987975445,0.4331699934932178,0.0098987258854409,0.4156651450802752,28.15240801479074,0.45,0.35,0.2,
2022,1,11030,용산구,230693.83,47.59691885295912,10980315.506388346,0.4094301061868101,0.0239466858420119,0.4332215617437183,27.926920017751243,0.45,0.35,0.2,
2022,1,11130,서대문구,227741.56,45.17734754986613,10288759.607668689,0.4041904089440409,0.0162766405133727,0.4059344050562997,26.87693892157589,0.45,0.35,0.2,
2022,1,11090,강북구,221881.6,43.44479490058789,9639600.60421428,0.3937901351700508,0.0107844455376633,0.3803201293699756,25.704414263870024,0.45,0.35,0.2,
2022,1,11020,중구,192610.66,55.97619091631699,10781611.07667782,0.3418399871106717,0.0505089931667839,0.4253811559022908,25.658237298863483,0.45,0.35,0.2,
2022,1,11100,도봉구,212308.11,42.40895794286115,9003765.707918338,0.3767990777272428,0.0075008405417338,0.3552315913722839,24.32311974413229,0.45,0.35,0.2,
2022,1,11180,금천구,140066.4,43.42013112024559,6081701.453540767,0.2485842841277641,0.0107062613101685,0.2399338615611053,16.35968916282739,0.45,0.35,0.2,
2022,5,11240,송파구,876406.6,55.3851266180603,48539890.50990372,1.0,0.0127282838324545,1.0,65.44548993413592,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11230,강남구,868101.21,53.39965218120102,46356302.67207974,0.9905233253257196,0.0082592088565635,0.9550131096727664,63.96288414309242,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11220,서초구,640109.75,53.48140121113783,34233966.358911134,0.7303789016521512,0.0084432165361445,0.7052653299938801,47.26786975298947,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11160,강서구,583380.69,52.69980872322754,30744050.7758245,0.6656495095106943,0.0066839415919706,0.6333651083183103,42.85546805006643,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11250,강동구,585793.79,52.1452572560648,30546367.8785552,0.6684029218918718,0.0054357099155855,0.6292923897104405,42.85422912638853,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11190,영등포구,566341.79,54.69452566442303,30975795.56799028,0.6462076636602773,0.0111738203838549,0.6381395796578553,42.233220171304495,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11110,노원구,565885.02,52.308939126195845,29600845.06360612,0.6456864767333573,0.0058041390105311,0.6098124629398279,41.45528557716624,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11140,마포구,530943.98,54.6233168297012,29001921.23836254,0.6058178048394404,0.0110135374734281,0.5974732659659839,39.59674034866448,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11210,관악구,492049.37,54.94109126026074,27033729.341723803,0.5614380026202773,0.0117288112282684,0.5569240233555869,36.81369897801361,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11120,은평구,469125.23,54.1596403168245,25407653.720347565,0.5352809387174794,0.0099698548844527,0.523423156399147,34.90505029122536,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11080,성북구,462200.33,55.31519380995983,25566700.83297739,0.5273794404793564,0.0125708731114331,0.5266998897133751,34.7060531747387,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11050,광진구,445446.51,54.38312372423784,24224772.665859945,0.5082628786211592,0.010472890373128,0.4990531084685692,33.219442870383034,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11010,종로구,375352.9,65.05299587709531,24417830.656155773,0.4282841733808407,0.0344895474244884,0.5030305434431519,30.540532830857963,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11170,구로구,410576.18,53.39112456344586,21921123.96916377,0.4684748887501476,0.0082400141681777,0.4515926905840199,30.40162430132326,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11200,동작구,400209.31,54.62232328625877,21860362.312990557,0.4566460096270049,0.0110113011212225,0.4503408618666143,29.941283209790303,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11060,동대문구,393011.85,55.324217833398514,21743073.20050694,0.4484335130553633,0.0125911851520129,0.4479244386073892,29.57868833995959,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11150,양천구,411494.6,49.73033623956836,20463764.818766683,0.4695228308160051,0.0,0.4215677677800721,29.55988274232168,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11070,중랑구,388483.89,52.20152530846206,20279451.615764797,0.443266988201244,0.0055623628405703,0.4177704953710216,28.497107075896377,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11130,서대문구,366680.24,55.724967170059095,20433244.33590939,0.4183884337008683,0.0134932258929191,0.4209389762145339,27.718521947081925,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11040,성동구,364089.44,54.8223597473386,19960242.25988705,0.4154322608124037,0.0114615602259893,0.4111940545081666,27.319487434631128,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11030,용산구,359774.28,55.73792026921557,20053070.133554436,0.4105085465151259,0.0135223818317848,0.4131065204505242,27.20829836630362,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11020,중구,323523.52,61.65079059223576,19945480.783183,0.3691454486695801,0.0268315739854238,0.4108899344164303,25.768448967949556,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11090,강북구,322399.38,53.85425023187463,17362576.885121237,0.367862774518415,0.0092824568695513,0.3576762223893094,24.03223529154916,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11100,도봉구,308626.75,52.87218928928044,16317771.94573543,0.3521478310998356,0.0070719504526113,0.3361508573880365,22.81718781309473,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11180,금천구,205492.4,54.58423927740819,11216646.331288874,0.2344687476740876,0.0109255783902842,0.2310560338194832,15.55460956538356,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11230,강남구,1344348.85,57.83628776098773,77752146.93975294,1.0,0.0261350267345056,1.0,65.91472593570771,0.45,0.35,0.2,20220502_OUTPUT.csv
2022,5,11240,송파구,1063490.61,52.86954634252225,56226266.09023226,0.7910818543537874,0.012134382775221,0.7231446221900066,50.48627928685331,0.45,0.35,0.2,20220502_OUTPUT.csv
2022,5,11220,서초구,890991.98,56.531971478916525,50369533.20130336,0.6627676774006307,0.0224583167274808,0.6478181810547196,43.5669501895846,0.45,0.35,0.2,20220502_OUTPUT.csv
