연도,월,자치구코드,자치구명,총이동인구수,평균이동시간,총이동시간,유입인구_norm,평균이동시간_norm,총이동시간_norm,출퇴근스트레스점수,가중치_유입인구,가중치_평균이동시간,가중치_총이동시간,원본파일
2022,1,11240,송파구,563446.22,44.98130217868624,25344544.68325853,1.0,0.2944320433937683,1.0,75.30512151878189,0.45,0.35,0.2,
2022,1,11230,강남구,556713.94,44.41355005199707,24725642.43883449,0.9840987225135104,0.26058307912304307,0.9678706701267638,72.76226368494974,0.45,0.35,0.2,
2022,1,11160,강서구,394817.34,42.77684129443693,16889038.693471745,0.6017077998663235,0.16300370662592026,0.5610457973959915,44.00289667381159,0.45,0.35,0.2,
2022,1,11220,서초구,376024.14,43.85415888879316,16490222.381581804,0.5573192883874344,0.22723258934669227,0.5403418801635309,43.8393462078394,0.45,0.35,0.2,
2022,1,11110,노원구,381864.84,41.603743908911085,15887007.011177309,0.5711147026327331,0.09306450319166434,0.5090269095119563,39.13795742042036,0.45,0.35,0.2,
2022,1,11140,마포구,348491.25,46.28187879627248,16128829.794061491,0.4922881066934178,0.3719714648957835,0.5215807563143385,45.603581198842996,0.45,0.35,0.2,
2022,1,11190,영등포구,349737.61,44.57113425542488,15588201.969481427,0.49523194090828426,0.26997813344466054,0.4935149189852982,41.604970391141876,0.45,0.35,0.2,
2022,1,11250,강동구,355181.83,42.50679350593795,15097640.704871155,0.50809089105853,0.14690365606759867,0.46804820782744283,37.36668221654866,0.45,0.35,0.2,
2022,1,11210,관악구,317701.83,44.165419080474734,14031434.464583742,0.41956517908671237,0.2457896930753355,0.41269779939747003,35.7370283044882,0.45,0.35,0.2,
2022,1,11120,은평구,310464.01,43.19394960775704,13410166.802962177,0.40246984374456024,0.18787139752639762,0.38044567263649925,32.29555533465911,0.45,0.35,0.2,
2022,1,11080,성북구,300883.41,43.422006213290615,13064961.298496066,0.37984099005946953,0.201467964636458,0.3625248755688294,31.39472082632875,0.45,0.35,0.2,
2022,1,11050,광진구,293310.96,44.66610041983158,13101056.793597205,0.3619552769425809,0.27563994632887723,0.3643987160331204,33.22335990458925,0.45,0.35,0.2,
2022,1,11200,동작구,266521.0,43.1673054245283,11504993.409050709,0.298678855312471,0.18628289091631842,0.28154161308560904,25.591281932844524,0.45,0.35,0.2,
2022,1,11170,구로구,265101.37,43.22890032809141,11460040.700570485,0.29532576682563666,0.18995513377012277,0.2792079644157765,25.522248477423478,0.45,0.35,0.2,
2022,1,11150,양천구,272275.63,40.04276351424548,10902668.662782202,0.3122709769209124,0.0,0.2502728777755864,19.05765151695278,0.45,0.35,0.2,
2022,1,11010,종로구,226935.95,56.81586540735719,12893562.39129074,0.2051811302673803,1.0,0.353626972743098,51.30569031689407,0.45,0.35,0.2,
2022,1,11070,중랑구,254105.1,40.79104774347468,10365213.265960408,0.26935317795732455,0.04461215546162637,0.22237173200949129,18.12975308942635,0.45,0.35,0.2,
2022,1,11060,동대문구,243929.36,44.155743651753326,10770882.28929625,0.24531863611260452,0.245212851130234,0.24343139690413138,24.49041635270802,0.45,0.35,0.2,
2022,1,11040,성동구,244069.9,43.16538822679668,10535371.987975445,0.24565058391304528,0.1861685889974581,0.23120525258513114,22.194281942700695,0.45,0.35,0.2,
2022,1,11030,용산구,230693.83,47.59691885295912,10980315.506388346,0.21405703748468694,0.4503731860006135,0.25430379069327835,30.481704010697946,0.45,0.35,0.2,
2022,1,11130,서대문구,227741.56,45.17734754986613,10288759.607668689,0.20708393706624945,0.3061201242525864,0.21840276141776832,24.401036745177116,0.45,0.35,0.2,
2022,1,11090,강북구,221881.6,43.44479490058789,9639600.60421428,0.1932430317533793,0.20282660941441827,0.18470269981663784,19.488921754739465,0.45,0.35,0.2,
2022,1,11020,중구,192610.66,55.97619091631699,10781611.07667782,0.1241066709320251,0.949939224337209,0.2439883649100287,43.71244034194402,0.45,0.35,0.2,
2022,1,11100,도봉구,212308.11,42.40895794286115,9003765.707918338,0.1706309714997753,0.1410707717448141,0.15169433813745398,15.649757491307462,0.45,0.35,0.2,
2022,1,11180,금천구,140066.4,43.42013112024559,6081701.453540767,0.0,0.20135617296804914,0.0,7.0474660538817195,0.45,0.35,0.2,
2022,5,11240,송파구,876406.6,55.3851266180603,48539890.50990372,0.5658229238259237,0.32102900591087474,0.5063246489699972,46.82453975844712,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11230,강남구,868101.21,53.39965218120102,46356302.67207974,0.558818481151563,0.2324904925645284,0.47673497507194407,42.81869839301771,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11220,서초구,640109.75,53.48140121113783,34233966.358911134,0.36653935737606214,0.2361359374233201,0.3124658890402873,31.008346672544747,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11160,강서구,583380.69,52.69980872322754,30744050.7758245,0.3186962761071066,0.201282284494041,0.2651742425827878,26.68969723376699,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11250,강동구,585793.79,52.1452572560648,30546367.8785552,0.3207313907275519,0.17655310059465443,0.2624954529485453,25.86218016252365,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11190,영등포구,566341.79,54.69452566442303,30975795.56799028,0.3043263310131177,0.2902329500083196,0.2683146030065714,29.21913020601291,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11110,노원구,565885.02,52.308939126195845,29600845.06360612,0.3039411089729284,0.1838521869863567,0.24968272736321084,25.105830995568482,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11140,마포구,530943.98,54.6233168297012,29001921.23836254,0.27447319576686036,0.28705752541138063,0.24156674486333,27.229642096173638,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11210,관악구,492049.37,54.94109126026074,27033729.341723803,0.24167099549852647,0.3012280808911727,0.21489588904451062,25.71609540951495,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11120,은평구,469125.23,54.1596403168245,25407653.720347565,0.22233766804623106,0.26638073987257443,0.19286103130412072,23.18574158370292,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11080,성북구,462200.33,55.31519380995983,25566700.83297739,0.2164974769082255,0.3179104833308786,0.1950162696305227,24.76957877006135,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11050,광진구,445446.51,54.38312372423784,24224772.665859945,0.20236795719072176,0.2763465637999038,0.17683187779072065,22.315325362393526,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11010,종로구,375352.9,65.05299587709531,24417830.656155773,0.1432537346094826,0.7521495257881458,0.17944799557509142,36.36061137151365,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11170,구로구,410576.18,53.39112456344586,21921123.96916377,0.17295967804657064,0.2321102194245617,0.14561526606108086,18.819348513176955,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11200,동작구,400209.31,54.62232328625877,21860362.31299056,0.16421666337446614,0.28701322020265824,0.14479188833359607,20.331050325615934,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11060,동대문구,393011.85,55.324217833398514,21743073.20050694,0.158146605740688,0.3183128927524411,0.1432025102787884,21.121598710242168,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11150,양천구,411494.6,49.73033623956836,20463764.818766683,0.17373423772901617,0.06886422146324463,0.12586667556903686,12.745621960400028,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11070,중랑구,388483.89,52.20152530846206,20279451.6157648,0.15432790050808629,0.17906226899071198,0.12336905789712023,15.679316095481205,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11130,서대문구,366680.24,55.724967170059095,20433244.33590939,0.1359395507115294,0.33618355874227335,0.12545309425148454,20.392766223028083,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11040,성동구,364089.44,54.8223597473386,19960242.25988705,0.13375457082729353,0.29593347147876564,0.11904347017309133,18.757496592446834,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11030,용산구,359774.28,55.73792026921557,20053070.13355444,0.13011533283236565,0.33676117793557625,0.12030137537978315,20.047858712797286,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11020,중구,323523.52,61.65079059223576,19945480.783183,0.09954285275352419,0.600434554077383,0.1188434382465709,27.871506531548413,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11090,강북구,322399.38,53.85425023187463,17362576.885121237,0.09859479682984619,0.25276244108704726,0.08384265525548214,14.960304400499375,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11100,도봉구,308626.75,52.87218928928044,16317771.94573543,0.08697949672832407,0.20896927293609227,0.0696845632804373,12.621693171146559,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11180,금천구,205492.4,54.58423927740819,11216646.331288874,0.0,0.2853149351664462,0.0005595018426080147,9.997212767677775,0.45,0.35,0.2,20220501_OUTPUT.csv
2022,5,11230,강남구,1344348.85,57.83628776098773,77752146.93975294,0.9604672048333632,0.4303339455959319,0.9021782650292115,76.32627761394319,0.45,0.35,0.2,20220502_OUTPUT.csv
2022,5,11240,송파구,1063490.61,52.86954634252225,56226266.09023226,0.7236022964182439,0.20885141567614482,0.6104822848297615,52.081548584081276,0.45,0.35,0.2,20220502_OUTPUT.csv
2022,5,11220,서초구,890991.98,56.531971478916525,50369533.20130336,0.5781236656446423,0.3721704042255913,0.5311180324330698,49.663889750566,0.45,0.35,0.2,20220502_OUTPUT.csv
